,label,value,percent
0,-- Table/Item --,Value,Percent
1,GENDER AND AGE,,
2,Total population,"3,078",100.0
3,Male,"1,512",49.1
4,Female,"1,566",50.9
5,,,
6,Under 5 years,215,7.0
7,5 to 9 years,153,5.0
8,10 to 14 years,172,5.6
9,15 to 19 years,217,7.1
10,20 to 24 years,191,6.2
11,25 to 34 years,148,4.8
12,35 to 44 years,489,15.9
13,45 to 54 years,594,19.3
14,55 to 59 years,266,8.6
15,60 to 64 years,289,9.4
16,65 to 74 years,219,7.1
17,75 to 84 years,109,3.5
18,85 years and over,16,0.5
19,,,
20,Median age (years),44.5,
21,,,
22,18 years and over,"2,381",77.4
23,21 years and over,"2,316",75.2
24,62 years and over,494,16.0
25,65 years and over,344,11.2
26,,,
27,18 years and over,"2,381",77.4
28,Male,"1,194",38.8
29,Female,"1,187",38.6
30,,,
31,65 years and over,344,11.2
32,Male,153,5.0
33,Female,191,6.2
34,,,
35,RACE,,
36,Total population,"3,078",100.0
37,One race,"3,038",98.7
38,Two or more races,40,1.3
39,,,
40,One race,"3,038",98.7
41,White,"2,802",91.0
42,Black or African American,0,0.0
43,American Indian and Alaska Native,67,2.2
44,Cherokee tribal grouping,0,0.0
45,Chippewa tribal grouping,0,0.0
46,Navajo tribal grouping,0,0.0
47,Sioux tribal grouping,0,0.0
48,Asian,48,1.6
49,Asian Indian,0,0.0
50,Chinese,16,0.5
51,Filipino,32,1.0
52,Japanese,0,0.0
53,Korean,0,0.0
54,Vietnamese,0,0.0
55,Other Asian,0,0.0
56,Native Hawaiian and Other Pacific Islander,0,0.0
57,Native Hawaiian,0,0.0
58,Guamanian or Chamorro,0,0.0
59,Samoan,0,0.0
60,Other Pacific Islander,0,0.0
61,Some other race,121,3.9
62,Two or more races,40,1.3
63,White and Black or African American,0,0.0
64,White and American Indian and Alaska Native,30,1.0
65,White and Asian,10,0.3
66,Black or African American and American Indian and Alaska Native,0,0.0
67,,,
68,Race alone or in combination with one or more other races,,
69,Total population,"3,078",100.0
70,White,"2,842",92.3
71,Black or African American,0,0.0
72,American Indian and Alaska Native,97,3.2
73,Asian,58,1.9
74,Native Hawaiian and Other Pacific Islander,0,0.0
75,Some other race,121,3.9
76,,,
77,HISPANIC OR LATINO AND RACE,,
78,Total population,"3,078",100.0
79,Hispanic or Latino (of any race),207,6.7
80,Mexican,148,4.8
81,Puerto Rican,0,0.0
82,Cuban,4,0.1
83,Other Hispanic or Latino,55,1.8
84,Not Hispanic or Latino,"2,871",93.3
85,White alone,"2,734",88.8
86,Black or African American alone,0,0.0
87,American Indian and Alaska Native alone,49,1.6
88,Asian alone,48,1.6
89,Native Hawaiian and Other Pacific Islander alone,0,0.0
90,Some other race alone,0,0.0
91,Two or more races,40,1.3
92,Two races including Some other race,0,0.0
93,Two races excl Some other race & three or more races,40,1.3
94,,,
95,Total housing units,"1,332",100.0
96,,,
97,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
