,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"3,046",100.0
3,In labor force,"1,804",59.2
4,Civilian labor force,"1,804",59.2
5,Employed,"1,789",58.7
6,Unemployed,15,0.5
7,Armed Forces,0,0.0
8,Not in labor force,"1,242",40.8
9,,,
10,Civilian labor force,"1,804",59.2
11,Percent Unemployed,0.8,
12,,,
13,Females 16 years and over,"1,437",47.2
14,In labor force,655,21.5
15,Civilian labor force,655,21.5
16,Employed,655,21.5
17,,,
18,Own children under 6 years,564,18.5
19,All parents in family in labor force,203,6.7
20,,,
21,Own children 6 to 17 years,560,18.4
22,All parents in family in labor force,359,11.8
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"1,702",100.0
26,"Car, truck, or van -- drove alone","1,140",67.0
27,"Car, truck, or van -- carpooled",266,15.6
28,Public transportation (excluding taxicab),0,0.0
29,Walked,118,6.9
30,Other means,52,3.1
31,Worked at home,126,7.4
32,,,
33,Mean travel time to work (minutes),21.7,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"1,789",100.0
37,"Management, professional, and related occupations",575,32.1
38,Service occupations,337,18.8
39,Sales and office occupations,294,16.4
40,"Farming, fishing, and forestry occupations",225,12.6
41,"Construction, extraction, maintenance, and repair occupations",153,8.6
42,"Production, transportation, and material moving occupations",205,11.5
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"1,789",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",332,18.6
47,Construction,123,6.9
48,Manufacturing,166,9.3
49,Wholesale trade,57,3.2
50,Retail trade,164,9.2
51,"Transportation and warehousing, and utilities",81,4.5
52,Information,27,1.5
53,"Finance and insurance, & real estate & rental & leasing",36,2.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",108,6.0
55,Educational services & health care & social assistance,311,17.4
56,"Arts, entertainment & recreation & accommodation & food services",213,11.9
57,"Other services, except public administration",77,4.3
58,Public administration,94,5.3
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"1,789",100.0
62,Private wage and salary workers,"1,389",77.6
63,Government workers,239,13.4
64,Self-employed in own not incorporated business workers,149,8.3
65,Unpaid family workers,12,0.7
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"1,374",100.0
69,"Less than $10,000",109,7.9
70,"$10,000 to $14,999",117,8.5
71,"$15,000 to $24,999",161,11.7
72,"$25,000 to $34,999",196,14.3
73,"$35,000 to $49,999",189,13.8
74,"$50,000 to $74,999",256,18.6
75,"$75,000 to $99,999",165,12.0
76,"$100,000 to $149,999",140,10.2
77,"$150,000 to $199,999",17,1.2
78,"$200,000 or more",24,1.7
79,Median household income (dollars),"43,443",
80,Mean household income (dollars),"58,460",
81,,,
82,With earnings,"1,001",72.9
83,Mean earnings (dollars),"64,041",
84,With Social Security,495,36.0
85,Mean Social Security income (dollars),"13,219",
86,With retirement income,243,17.7
87,Mean retirement income (dollars),"16,045",
88,,,
89,With Supplemental Security Income,22,1.6
90,Mean Supplemental Security Income (dollars),"7,045",
91,With cash public assistance income,43,3.1
92,Mean cash public assistance income (dollars),"4,912",
93,With Food Stamp/SNAP benefits in the past 12 months,196,14.3
94,,,
95,Families,"1,024",100.0
96,"Less than $10,000",68,6.6
97,"$10,000 to $14,999",46,4.5
98,"$15,000 to $24,999",57,5.6
99,"$25,000 to $34,999",175,17.1
100,"$35,000 to $49,999",126,12.3
101,"$50,000 to $74,999",225,22.0
102,"$75,000 to $99,999",171,16.7
103,"$100,000 to $149,999",115,11.2
104,"$150,000 to $199,999",17,1.7
105,"$200,000 or more",24,2.3
106,Median family income (dollars),"55,203",
107,Mean family income (dollars),"68,124",
108,,,
109,Per capita income (dollars),"20,146",
110,,,
111,Nonfamily households,350,34.2
112,Median nonfamily income (dollars),"18,750",
113,Mean nonfamily income (dollars),"25,326",
114,,,
115,Median earnings for workers (dollars),"21,350",
116,"Median earnings for male full-time, year-round workers (dollars)","33,011",
117,"Median earnings for female full-time, year-round workers (dollars)","22,253",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,14.1,
121,With related children under 18 years,18.8,
122,With related children under 5 years only,15.3,
123,Married couple families,8.5,
124,With related children under 18 years,8.1,
125,With related children under 5 years only,4.8,
126,"Families with female householder, no husband present",51.4,
127,With related children under 18 years,61.2,
128,With related children under 5 years only,76.9,
129,,,
130,All people,15.0,
131,Under 18 years,24.1,
132,Related children under 18 years,23.2,
133,Related children under 5 years,24.7,
134,Related children 5 to 17 years,22.1,
135,18 years and over,11.2,
136,18 to 64 years,9.4,
137,65 years and over,17.4,
138,People in families,13.8,
139,Unrelated individuals 15 years and over,23.3,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
