,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"26,499",100.0
3,In labor force,"18,363",69.3
4,Civilian labor force,"18,321",69.1
5,Employed,"17,388",65.6
6,Unemployed,933,3.5
7,Armed Forces,42,0.2
8,Not in labor force,"8,136",30.7
9,,,
10,Civilian labor force,"18,321",69.1
11,Percent Unemployed,5.1,
12,,,
13,Females 16 years and over,"13,540",51.1
14,In labor force,"8,372",31.6
15,Civilian labor force,"8,372",31.6
16,Employed,"8,068",30.4
17,,,
18,Own children under 6 years,"2,740",10.3
19,All parents in family in labor force,"1,732",6.5
20,,,
21,Own children 6 to 17 years,"5,390",20.3
22,All parents in family in labor force,"3,869",14.6
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"16,888",100.0
26,"Car, truck, or van -- drove alone","12,557",74.4
27,"Car, truck, or van -- carpooled","1,985",11.8
28,Public transportation (excluding taxicab),100,0.6
29,Walked,897,5.3
30,Other means,210,1.2
31,Worked at home,"1,139",6.7
32,,,
33,Mean travel time to work (minutes),23.5,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"17,388",100.0
37,"Management, professional, and related occupations","6,213",35.7
38,Service occupations,"2,467",14.2
39,Sales and office occupations,"4,564",26.2
40,"Farming, fishing, and forestry occupations",182,1.0
41,"Construction, extraction, maintenance, and repair occupations","1,897",10.9
42,"Production, transportation, and material moving occupations","2,065",11.9
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"17,388",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",396,2.3
47,Construction,"1,761",10.1
48,Manufacturing,"2,809",16.2
49,Wholesale trade,690,4.0
50,Retail trade,"1,950",11.2
51,"Transportation and warehousing, and utilities",687,4.0
52,Information,320,1.8
53,"Finance and insurance, & real estate & rental & leasing",992,5.7
54,"Professional, scientific & mgmt, & admin & waste mgmt services","1,397",8.0
55,Educational services & health care & social assistance,"3,886",22.3
56,"Arts, entertainment & recreation & accommodation & food services",988,5.7
57,"Other services, except public administration",894,5.1
58,Public administration,618,3.6
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"17,388",100.0
62,Private wage and salary workers,"14,298",82.2
63,Government workers,"1,755",10.1
64,Self-employed in own not incorporated business workers,"1,310",7.5
65,Unpaid family workers,25,0.1
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"12,272",100.0
69,"Less than $10,000",608,5.0
70,"$10,000 to $14,999",695,5.7
71,"$15,000 to $24,999",962,7.8
72,"$25,000 to $34,999","1,013",8.3
73,"$35,000 to $49,999","1,958",16.0
74,"$50,000 to $74,999","2,546",20.7
75,"$75,000 to $99,999","2,111",17.2
76,"$100,000 to $149,999","1,644",13.4
77,"$150,000 to $199,999",392,3.2
78,"$200,000 or more",343,2.8
79,Median household income (dollars),"60,157",
80,Mean household income (dollars),"74,423",
81,,,
82,With earnings,"10,120",82.5
83,Mean earnings (dollars),"71,738",
84,With Social Security,"2,932",23.9
85,Mean Social Security income (dollars),"15,809",
86,With retirement income,"1,843",15.0
87,Mean retirement income (dollars),"23,991",
88,,,
89,With Supplemental Security Income,266,2.2
90,Mean Supplemental Security Income (dollars),"8,967",
91,With cash public assistance income,291,2.4
92,Mean cash public assistance income (dollars),"4,686",
93,With Food Stamp/SNAP benefits in the past 12 months,"1,039",8.5
94,,,
95,Families,"8,919",100.0
96,"Less than $10,000",332,3.7
97,"$10,000 to $14,999",228,2.6
98,"$15,000 to $24,999",670,7.5
99,"$25,000 to $34,999",727,8.2
100,"$35,000 to $49,999","1,057",11.9
101,"$50,000 to $74,999","1,950",21.9
102,"$75,000 to $99,999","1,826",20.5
103,"$100,000 to $149,999","1,444",16.2
104,"$150,000 to $199,999",359,4.0
105,"$200,000 or more",326,3.7
106,Median family income (dollars),"69,387",
107,Mean family income (dollars),"85,093",
108,,,
109,Per capita income (dollars),"27,821",
110,,,
111,Nonfamily households,"3,353",37.6
112,Median nonfamily income (dollars),"36,265",
113,Mean nonfamily income (dollars),"42,055",
114,,,
115,Median earnings for workers (dollars),"28,599",
116,"Median earnings for male full-time, year-round workers (dollars)","49,064",
117,"Median earnings for female full-time, year-round workers (dollars)","34,712",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,8.3,
121,With related children under 18 years,12.6,
122,With related children under 5 years only,31.0,
123,Married couple families,4.3,
124,With related children under 18 years,5.8,
125,With related children under 5 years only,13.8,
126,"Families with female householder, no husband present",33.5,
127,With related children under 18 years,42.8,
128,With related children under 5 years only,69.4,
129,,,
130,All people,9.8,
131,Under 18 years,13.8,
132,Related children under 18 years,13.4,
133,Related children under 5 years,21.9,
134,Related children 5 to 17 years,10.3,
135,18 years and over,8.4,
136,18 to 64 years,8.0,
137,65 years and over,10.2,
138,People in families,8.7,
139,Unrelated individuals 15 years and over,16.1,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
