,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"88,695",100.0
3,In labor force,"59,425",67.0
4,Civilian labor force,"59,362",66.9
5,Employed,"54,770",61.8
6,Unemployed,"4,592",5.2
7,Armed Forces,63,0.1
8,Not in labor force,"29,270",33.0
9,,,
10,Civilian labor force,"59,362",66.9
11,Percent Unemployed,7.7,
12,,,
13,Females 16 years and over,"45,754",51.6
14,In labor force,"27,070",30.5
15,Civilian labor force,"27,070",30.5
16,Employed,"25,118",28.3
17,,,
18,Own children under 6 years,"8,185",9.2
19,All parents in family in labor force,"5,056",5.7
20,,,
21,Own children 6 to 17 years,"18,826",21.2
22,All parents in family in labor force,"12,713",14.3
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"53,529",100.0
26,"Car, truck, or van -- drove alone","40,195",75.1
27,"Car, truck, or van -- carpooled","5,536",10.3
28,Public transportation (excluding taxicab),"2,686",5.0
29,Walked,"1,351",2.5
30,Other means,846,1.6
31,Worked at home,"2,915",5.4
32,,,
33,Mean travel time to work (minutes),23.9,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"54,770",100.0
37,"Management, professional, and related occupations","17,245",31.5
38,Service occupations,"8,587",15.7
39,Sales and office occupations,"16,203",29.6
40,"Farming, fishing, and forestry occupations",190,0.3
41,"Construction, extraction, maintenance, and repair occupations","5,070",9.3
42,"Production, transportation, and material moving occupations","7,475",13.6
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"54,770",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",318,0.6
47,Construction,"4,661",8.5
48,Manufacturing,"7,414",13.5
49,Wholesale trade,"2,254",4.1
50,Retail trade,"7,704",14.1
51,"Transportation and warehousing, and utilities","2,860",5.2
52,Information,625,1.1
53,"Finance and insurance, & real estate & rental & leasing","4,501",8.2
54,"Professional, scientific & mgmt, & admin & waste mgmt services","6,250",11.4
55,Educational services & health care & social assistance,"9,517",17.4
56,"Arts, entertainment & recreation & accommodation & food services","4,303",7.9
57,"Other services, except public administration","2,450",4.5
58,Public administration,"1,913",3.5
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"54,770",100.0
62,Private wage and salary workers,"44,705",81.6
63,Government workers,"6,091",11.1
64,Self-employed in own not incorporated business workers,"3,925",7.2
65,Unpaid family workers,49,0.1
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"42,787",100.0
69,"Less than $10,000","2,532",5.9
70,"$10,000 to $14,999","2,259",5.3
71,"$15,000 to $24,999","4,219",9.9
72,"$25,000 to $34,999","4,045",9.5
73,"$35,000 to $49,999","6,348",14.8
74,"$50,000 to $74,999","8,982",21.0
75,"$75,000 to $99,999","6,027",14.1
76,"$100,000 to $149,999","5,640",13.2
77,"$150,000 to $199,999","1,695",4.0
78,"$200,000 or more","1,040",2.4
79,Median household income (dollars),"54,993",
80,Mean household income (dollars),"67,177",
81,,,
82,With earnings,"34,410",80.4
83,Mean earnings (dollars),"66,892",
84,With Social Security,"11,013",25.7
85,Mean Social Security income (dollars),"16,054",
86,With retirement income,"7,920",18.5
87,Mean retirement income (dollars),"20,490",
88,,,
89,With Supplemental Security Income,"1,421",3.3
90,Mean Supplemental Security Income (dollars),"9,025",
91,With cash public assistance income,"1,260",2.9
92,Mean cash public assistance income (dollars),"3,337",
93,With Food Stamp/SNAP benefits in the past 12 months,"3,874",9.1
94,,,
95,Families,"28,171",100.0
96,"Less than $10,000","1,185",4.2
97,"$10,000 to $14,999",777,2.8
98,"$15,000 to $24,999","1,916",6.8
99,"$25,000 to $34,999","2,200",7.8
100,"$35,000 to $49,999","3,540",12.6
101,"$50,000 to $74,999","6,445",22.9
102,"$75,000 to $99,999","4,801",17.0
103,"$100,000 to $149,999","4,809",17.1
104,"$150,000 to $199,999","1,511",5.4
105,"$200,000 or more",987,3.5
106,Median family income (dollars),"66,675",
107,Mean family income (dollars),"78,994",
108,,,
109,Per capita income (dollars),"26,532",
110,,,
111,Nonfamily households,"14,616",51.9
112,Median nonfamily income (dollars),"33,558",
113,Mean nonfamily income (dollars),"40,830",
114,,,
115,Median earnings for workers (dollars),"30,999",
116,"Median earnings for male full-time, year-round workers (dollars)","47,438",
117,"Median earnings for female full-time, year-round workers (dollars)","37,744",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,8.2,
121,With related children under 18 years,12.2,
122,With related children under 5 years only,17.6,
123,Married couple families,3.8,
124,With related children under 18 years,5.0,
125,With related children under 5 years only,5.2,
126,"Families with female householder, no husband present",28.6,
127,With related children under 18 years,33.5,
128,With related children under 5 years only,55.5,
129,,,
130,All people,11.9,
131,Under 18 years,16.5,
132,Related children under 18 years,16.3,
133,Related children under 5 years,20.6,
134,Related children 5 to 17 years,14.9,
135,18 years and over,10.4,
136,18 to 64 years,10.8,
137,65 years and over,8.1,
138,People in families,9.4,
139,Unrelated individuals 15 years and over,21.7,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
