,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"1,110",100.0
3,Occupied housing units,956,86.1
4,Vacant housing units,154,13.9
5,,,
6,Homeowner vacancy rate,4.7,
7,Rental vacancy rate,9.6,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"1,110",100.0
11,"1-unit, detached",720,64.9
12,"1-unit, attached",26,2.3
13,2 units,3,0.3
14,3 or 4 units,43,3.9
15,5 to 9 units,4,0.4
16,10 to 19 units,16,1.4
17,20 or more units,0,0.0
18,Mobile home,298,26.8
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"1,110",100.0
23,Built 2005 or later,10,0.9
24,Built 2000 to 2004,34,3.1
25,Built 1990 to 1999,110,9.9
26,Built 1980 to 1989,76,6.8
27,Built 1970 to 1979,286,25.8
28,Built 1960 to 1969,166,15.0
29,Built 1950 to 1959,206,18.6
30,Built 1940 to 1949,104,9.4
31,Built 1939 or earlier,118,10.6
32,,,
33,ROOMS,,
34,Total housing units,"1,110",100.0
35,1 room,0,0.0
36,2 rooms,34,3.1
37,3 rooms,113,10.2
38,4 rooms,293,26.4
39,5 rooms,188,16.9
40,6 rooms,241,21.7
41,7 rooms,125,11.3
42,8 rooms,58,5.2
43,9 rooms or more,58,5.2
44,Median rooms,5.1,
45,,,
46,BEDROOMS,,
47,Total housing units,"1,110",100.0
48,No bedroom,7,0.6
49,1 bedroom,115,10.4
50,2 bedrooms,386,34.8
51,3 bedrooms,441,39.7
52,4 bedrooms,112,10.1
53,5 or more bedrooms,49,4.4
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,956,100.0
57,Owner-occupied,692,72.4
58,Renter-occupied,264,27.6
59,,,
60,Average household size of owner-occupied unit,2.74,
61,Average household size of renter-occupied unit,2.65,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,956,100.0
65,Moved in 2005 or later,198,20.7
66,Moved in 2000 to 2004,226,23.6
67,Moved in 1990 to 1999,328,34.3
68,Moved in 1980 to 1989,62,6.5
69,Moved in 1970 to 1979,102,10.7
70,Moved in 1969 or earlier,40,4.2
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,956,100.0
74,No vehicles available,18,1.9
75,1 vehicle available,266,27.8
76,2 vehicles available,329,34.4
77,3 or more vehicles available,343,35.9
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,956,100.0
81,Utility gas,0,0.0
82,"Bottled, tank, or LP gas",31,3.2
83,Electricity,598,62.6
84,"Fuel oil, kerosene, etc.",13,1.4
85,Coal or coke,0,0.0
86,Wood,297,31.1
87,Solar energy,0,0.0
88,Other fuel,17,1.8
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,956,100.0
93,Lacking complete plumbing facilities,6,0.6
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,63,6.6
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,956,100.0
99,1.00 or less,887,92.8
100,1.01 to 1.50,69,7.2
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,692,100.0
105,"Less than $50,000",54,7.8
106,"$50,000 to $99,999",50,7.2
107,"$100,000 to $149,999",108,15.6
108,"$150,000 to $199,999",202,29.2
109,"$200,000 to $299,999",165,23.8
110,"$300,000 to $499,999",58,8.4
111,"$500,000 to $999,999",38,5.5
112,"$1,000,000 or more",17,2.5
113,Median (dollars),"183,500",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,692,100.0
117,Housing units with a mortgage,392,56.6
118,Housing units without a mortgage,300,43.4
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,392,100.0
122,Less than $300,0,0.0
123,$300 to $499,0,0.0
124,$500 to $699,28,7.1
125,$700 to $999,127,32.4
126,"$1,000 to $1,499",169,43.1
127,"$1,500 to $1,999",62,15.8
128,"$2,000 or more",6,1.5
129,Median (dollars),"1,078",
130,,,
131,Housing units without a mortgage,300,100.0
132,Less than $100,0,0.0
133,$100 to $199,46,15.3
134,$200 to $299,152,50.7
135,$300 to $399,48,16.0
136,$400 or more,54,18.0
137,Median (dollars),268,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),385,100.0
141,Less than 20.0 percent,140,36.4
142,20.0 to 24.9 percent,91,23.6
143,25.0 to 29.9 percent,30,7.8
144,30.0 to 34.9 percent,19,4.9
145,35.0 percent or more,105,27.3
146,,,
147,Not computed,7,1.8
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),300,100.0
150,Less than 10.0 percent,168,56.0
151,10.0 to 14.9 percent,46,15.3
152,15.0 to 19.9 percent,25,8.3
153,20.0 to 24.9 percent,17,5.7
154,25.0 to 29.9 percent,3,1.0
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,41,13.7
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,247,100.0
162,Less than $200,11,4.5
163,$200 to $299,13,5.3
