,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"3,245",100.0
3,Occupied housing units,"3,012",92.8
4,Vacant housing units,233,7.2
5,,,
6,Homeowner vacancy rate,1.3,
7,Rental vacancy rate,9.1,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"3,245",100.0
11,"1-unit, detached","2,143",66.0
12,"1-unit, attached",30,0.9
13,2 units,56,1.7
14,3 or 4 units,49,1.5
15,5 to 9 units,22,0.7
16,10 to 19 units,2,0.1
17,20 or more units,0,0.0
18,Mobile home,929,28.6
19,"Boat, RV, van, etc.",14,0.4
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"3,245",100.0
23,Built 2005 or later,159,4.9
24,Built 2000 to 2004,350,10.8
25,Built 1990 to 1999,484,14.9
26,Built 1980 to 1989,414,12.8
27,Built 1970 to 1979,838,25.8
28,Built 1960 to 1969,238,7.3
29,Built 1950 to 1959,232,7.1
30,Built 1940 to 1949,79,2.4
31,Built 1939 or earlier,451,13.9
32,,,
33,ROOMS,,
34,Total housing units,"3,245",100.0
35,1 room,2,0.1
36,2 rooms,68,2.1
37,3 rooms,137,4.2
38,4 rooms,412,12.7
39,5 rooms,891,27.5
40,6 rooms,701,21.6
41,7 rooms,401,12.4
42,8 rooms,335,10.3
43,9 rooms or more,298,9.2
44,Median rooms,5.7,
45,,,
46,BEDROOMS,,
47,Total housing units,"3,245",100.0
48,No bedroom,2,0.1
49,1 bedroom,119,3.7
50,2 bedrooms,615,19.0
51,3 bedrooms,"1,912",58.9
52,4 bedrooms,460,14.2
53,5 or more bedrooms,137,4.2
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"3,012",100.0
57,Owner-occupied,"2,532",84.1
58,Renter-occupied,480,15.9
59,,,
60,Average household size of owner-occupied unit,2.81,
61,Average household size of renter-occupied unit,3.32,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"3,012",100.0
65,Moved in 2005 or later,682,22.6
66,Moved in 2000 to 2004,957,31.8
67,Moved in 1990 to 1999,675,22.4
68,Moved in 1980 to 1989,274,9.1
69,Moved in 1970 to 1979,270,9.0
70,Moved in 1969 or earlier,154,5.1
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"3,012",100.0
74,No vehicles available,57,1.9
75,1 vehicle available,605,20.1
76,2 vehicles available,"1,127",37.4
77,3 or more vehicles available,"1,223",40.6
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"3,012",100.0
81,Utility gas,"1,171",38.9
82,"Bottled, tank, or LP gas",117,3.9
83,Electricity,"1,258",41.8
84,"Fuel oil, kerosene, etc.",80,2.7
85,Coal or coke,0,0.0
86,Wood,358,11.9
87,Solar energy,0,0.0
88,Other fuel,26,0.9
89,No fuel used,2,0.1
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"3,012",100.0
93,Lacking complete plumbing facilities,4,0.1
94,Lacking complete kitchen facilities,2,0.1
95,No telephone service available,39,1.3
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"3,012",100.0
99,1.00 or less,"2,873",95.4
100,1.01 to 1.50,123,4.1
101,1.51 or more,16,0.5
102,,,
103,VALUE,,
104,Owner-occupied units,"2,532",100.0
105,"Less than $50,000",274,10.8
106,"$50,000 to $99,999",123,4.9
107,"$100,000 to $149,999",273,10.8
108,"$150,000 to $199,999",400,15.8
109,"$200,000 to $299,999",565,22.3
110,"$300,000 to $499,999",505,19.9
111,"$500,000 to $999,999",276,10.9
112,"$1,000,000 or more",116,4.6
113,Median (dollars),"229,600",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"2,532",100.0
117,Housing units with a mortgage,"1,864",73.6
118,Housing units without a mortgage,668,26.4
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"1,864",100.0
122,Less than $300,0,0.0
123,$300 to $499,19,1.0
124,$500 to $699,67,3.6
125,$700 to $999,205,11.0
126,"$1,000 to $1,499",580,31.1
127,"$1,500 to $1,999",398,21.4
128,"$2,000 or more",595,31.9
129,Median (dollars),"1,590",
130,,,
131,Housing units without a mortgage,668,100.0
132,Less than $100,14,2.1
133,$100 to $199,59,8.8
134,$200 to $299,99,14.8
135,$300 to $399,105,15.7
136,$400 or more,391,58.5
137,Median (dollars),454,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"1,843",100.0
141,Less than 20.0 percent,419,22.7
142,20.0 to 24.9 percent,195,10.6
143,25.0 to 29.9 percent,341,18.5
144,30.0 to 34.9 percent,238,12.9
145,35.0 percent or more,650,35.3
146,,,
147,Not computed,21,1.1
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),668,100.0
150,Less than 10.0 percent,244,36.5
151,10.0 to 14.9 percent,121,18.1
152,15.0 to 19.9 percent,70,10.5
153,20.0 to 24.9 percent,40,6.0
154,25.0 to 29.9 percent,28,4.2
155,30.0 to 34.9 percent,25,3.7
156,35.0 percent or more,140,21.0
157,,,
158,Not computed,0,0.0
159,,,
