,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,501,100.0
3,In labor force,304,60.7
4,Civilian labor force,304,60.7
5,Employed,284,56.7
6,Unemployed,20,4.0
7,Armed Forces,0,0.0
8,Not in labor force,197,39.3
9,,,
10,Civilian labor force,304,60.7
11,Percent Unemployed,6.6,
12,,,
13,Females 16 years and over,235,46.9
14,In labor force,119,23.8
15,Civilian labor force,119,23.8
16,Employed,107,21.4
17,,,
18,Own children under 6 years,37,7.4
19,All parents in family in labor force,33,6.6
20,,,
21,Own children 6 to 17 years,135,26.9
22,All parents in family in labor force,103,20.6
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,278,100.0
26,"Car, truck, or van -- drove alone",182,65.5
27,"Car, truck, or van -- carpooled",28,10.1
28,Public transportation (excluding taxicab),0,0.0
29,Walked,41,14.7
30,Other means,0,0.0
31,Worked at home,27,9.7
32,,,
33,Mean travel time to work (minutes),18.5,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,284,100.0
37,"Management, professional, and related occupations",100,35.2
38,Service occupations,26,9.2
39,Sales and office occupations,77,27.1
40,"Farming, fishing, and forestry occupations",21,7.4
41,"Construction, extraction, maintenance, and repair occupations",24,8.5
42,"Production, transportation, and material moving occupations",36,12.7
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,284,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",70,24.6
47,Construction,23,8.1
48,Manufacturing,30,10.6
49,Wholesale trade,13,4.6
50,Retail trade,21,7.4
51,"Transportation and warehousing, and utilities",32,11.3
52,Information,0,0.0
53,"Finance and insurance, & real estate & rental & leasing",7,2.5
54,"Professional, scientific & mgmt, & admin & waste mgmt services",14,4.9
55,Educational services & health care & social assistance,35,12.3
56,"Arts, entertainment & recreation & accommodation & food services",11,3.9
57,"Other services, except public administration",15,5.3
58,Public administration,13,4.6
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,284,100.0
62,Private wage and salary workers,191,67.3
63,Government workers,38,13.4
64,Self-employed in own not incorporated business workers,54,19.0
65,Unpaid family workers,1,0.4
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,252,100.0
69,"Less than $10,000",14,5.6
70,"$10,000 to $14,999",25,9.9
71,"$15,000 to $24,999",28,11.1
72,"$25,000 to $34,999",25,9.9
73,"$35,000 to $49,999",46,18.3
74,"$50,000 to $74,999",52,20.6
75,"$75,000 to $99,999",29,11.5
76,"$100,000 to $149,999",16,6.3
77,"$150,000 to $199,999",3,1.2
78,"$200,000 or more",14,5.6
79,Median household income (dollars),"43,750",
80,Mean household income (dollars),"59,798",
81,,,
82,With earnings,205,81.3
83,Mean earnings (dollars),"56,595",
84,With Social Security,82,32.5
85,Mean Social Security income (dollars),"13,627",
86,With retirement income,56,22.2
87,Mean retirement income (dollars),"19,277",
88,,,
89,With Supplemental Security Income,7,2.8
90,Mean Supplemental Security Income (dollars),"5,614",
91,With cash public assistance income,0,0.0
92,Mean cash public assistance income (dollars),0,
93,With Food Stamp/SNAP benefits in the past 12 months,29,11.5
94,,,
95,Families,190,100.0
96,"Less than $10,000",6,3.2
97,"$10,000 to $14,999",5,2.6
98,"$15,000 to $24,999",23,12.1
99,"$25,000 to $34,999",15,7.9
100,"$35,000 to $49,999",31,16.3
101,"$50,000 to $74,999",48,25.3
102,"$75,000 to $99,999",29,15.3
103,"$100,000 to $149,999",16,8.4
104,"$150,000 to $199,999",3,1.6
105,"$200,000 or more",14,7.4
106,Median family income (dollars),"56,250",
107,Mean family income (dollars),"71,517",
108,,,
109,Per capita income (dollars),"23,203",
110,,,
111,Nonfamily households,62,32.6
112,Median nonfamily income (dollars),"22,500",
113,Mean nonfamily income (dollars),"23,884",
114,,,
115,Median earnings for workers (dollars),"21,786",
116,"Median earnings for male full-time, year-round workers (dollars)","50,833",
117,"Median earnings for female full-time, year-round workers (dollars)","24,609",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,7.9,
121,With related children under 18 years,10.1,
122,With related children under 5 years only,0.0,
123,Married couple families,6.6,
124,With related children under 18 years,7.1,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",0.0,
127,With related children under 18 years,0.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,10.0,
131,Under 18 years,11.5,
132,Related children under 18 years,11.0,
133,Related children under 5 years,0.0,
134,Related children 5 to 17 years,13.4,
135,18 years and over,9.4,
136,18 to 64 years,9.1,
137,65 years and over,10.6,
138,People in families,9.7,
139,Unrelated individuals 15 years and over,12.0,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
