,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"5,699",100.0
3,Occupied housing units,"5,517",96.8
4,Vacant housing units,182,3.2
5,,,
6,Homeowner vacancy rate,0.0,
7,Rental vacancy rate,4.8,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"5,699",100.0
11,"1-unit, detached","3,860",67.7
12,"1-unit, attached",124,2.2
13,2 units,331,5.8
14,3 or 4 units,180,3.2
15,5 to 9 units,295,5.2
16,10 to 19 units,179,3.1
17,20 or more units,162,2.8
18,Mobile home,568,10.0
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"5,699",100.0
23,Built 2005 or later,151,2.6
24,Built 2000 to 2004,441,7.7
25,Built 1990 to 1999,"1,333",23.4
26,Built 1980 to 1989,771,13.5
27,Built 1970 to 1979,"1,092",19.2
28,Built 1960 to 1969,733,12.9
29,Built 1950 to 1959,300,5.3
30,Built 1940 to 1949,308,5.4
31,Built 1939 or earlier,570,10.0
32,,,
33,ROOMS,,
34,Total housing units,"5,699",100.0
35,1 room,72,1.3
36,2 rooms,137,2.4
37,3 rooms,348,6.1
38,4 rooms,"1,043",18.3
39,5 rooms,918,16.1
40,6 rooms,"1,457",25.6
41,7 rooms,798,14.0
42,8 rooms,408,7.2
43,9 rooms or more,518,9.1
44,Median rooms,5.7,
45,,,
46,BEDROOMS,,
47,Total housing units,"5,699",100.0
48,No bedroom,86,1.5
49,1 bedroom,484,8.5
50,2 bedrooms,"1,330",23.3
51,3 bedrooms,"2,640",46.3
52,4 bedrooms,976,17.1
53,5 or more bedrooms,183,3.2
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"5,517",100.0
57,Owner-occupied,"3,743",67.8
58,Renter-occupied,"1,774",32.2
59,,,
60,Average household size of owner-occupied unit,2.72,
61,Average household size of renter-occupied unit,2.37,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"5,517",100.0
65,Moved in 2005 or later,"1,210",21.9
66,Moved in 2000 to 2004,"1,699",30.8
67,Moved in 1990 to 1999,"1,463",26.5
68,Moved in 1980 to 1989,463,8.4
69,Moved in 1970 to 1979,293,5.3
70,Moved in 1969 or earlier,389,7.1
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"5,517",100.0
74,No vehicles available,272,4.9
75,1 vehicle available,"1,707",30.9
76,2 vehicles available,"1,688",30.6
77,3 or more vehicles available,"1,850",33.5
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"5,517",100.0
81,Utility gas,"1,938",35.1
82,"Bottled, tank, or LP gas",68,1.2
83,Electricity,"2,622",47.5
84,"Fuel oil, kerosene, etc.",87,1.6
85,Coal or coke,9,0.2
86,Wood,719,13.0
87,Solar energy,0,0.0
88,Other fuel,74,1.3
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"5,517",100.0
93,Lacking complete plumbing facilities,32,0.6
94,Lacking complete kitchen facilities,39,0.7
95,No telephone service available,75,1.4
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"5,517",100.0
99,1.00 or less,"5,359",97.1
100,1.01 to 1.50,92,1.7
101,1.51 or more,66,1.2
102,,,
103,VALUE,,
104,Owner-occupied units,"3,743",100.0
105,"Less than $50,000",132,3.5
106,"$50,000 to $99,999",102,2.7
107,"$100,000 to $149,999",297,7.9
108,"$150,000 to $199,999",661,17.7
109,"$200,000 to $299,999","1,395",37.3
110,"$300,000 to $499,999",744,19.9
111,"$500,000 to $999,999",378,10.1
112,"$1,000,000 or more",34,0.9
113,Median (dollars),"248,900",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"3,743",100.0
117,Housing units with a mortgage,"2,546",68.0
118,Housing units without a mortgage,"1,197",32.0
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"2,546",100.0
122,Less than $300,0,0.0
123,$300 to $499,27,1.1
124,$500 to $699,96,3.8
125,$700 to $999,261,10.3
126,"$1,000 to $1,499",886,34.8
127,"$1,500 to $1,999",602,23.6
128,"$2,000 or more",674,26.5
129,Median (dollars),"1,502",
130,,,
131,Housing units without a mortgage,"1,197",100.0
132,Less than $100,0,0.0
133,$100 to $199,42,3.5
134,$200 to $299,250,20.9
135,$300 to $399,395,33.0
136,$400 or more,510,42.6
137,Median (dollars),380,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"2,533",100.0
141,Less than 20.0 percent,789,31.1
142,20.0 to 24.9 percent,441,17.4
143,25.0 to 29.9 percent,412,16.3
144,30.0 to 34.9 percent,298,11.8
145,35.0 percent or more,593,23.4
146,,,
147,Not computed,13,0.5
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"1,186",100.0
150,Less than 10.0 percent,538,45.4
151,10.0 to 14.9 percent,202,17.0
152,15.0 to 19.9 percent,148,12.5
153,20.0 to 24.9 percent,111,9.4
154,25.0 to 29.9 percent,41,3.5
155,30.0 to 34.9 percent,22,1.9
