,label,value,percent
0,-- Table/Item --,Value,Percent
1,GENDER AND AGE,,
2,Total population,"4,541",100.0
3,Male,"2,357",51.9
4,Female,"2,184",48.1
5,,,
6,Under 5 years,371,8.2
7,5 to 9 years,326,7.2
8,10 to 14 years,392,8.6
9,15 to 19 years,437,9.6
10,20 to 24 years,272,6.0
11,25 to 34 years,529,11.6
12,35 to 44 years,572,12.6
13,45 to 54 years,571,12.6
14,55 to 59 years,203,4.5
15,60 to 64 years,281,6.2
16,65 to 74 years,290,6.4
17,75 to 84 years,212,4.7
18,85 years and over,85,1.9
19,,,
20,Median age (years),34.5,
21,,,
22,18 years and over,"3,196",70.4
23,21 years and over,"2,960",65.2
24,62 years and over,745,16.4
25,65 years and over,587,12.9
26,,,
27,18 years and over,"3,196",70.4
28,Male,"1,557",34.3
29,Female,"1,639",36.1
30,,,
31,65 years and over,587,12.9
32,Male,300,6.6
33,Female,287,6.3
34,,,
35,RACE,,
36,Total population,"4,541",100.0
37,One race,"4,122",90.8
38,Two or more races,419,9.2
39,,,
40,One race,"4,122",90.8
41,White,"3,226",71.0
42,Black or African American,24,0.5
43,American Indian and Alaska Native,47,1.0
44,Cherokee tribal grouping,0,0.0
45,Chippewa tribal grouping,0,0.0
46,Navajo tribal grouping,0,0.0
47,Sioux tribal grouping,0,0.0
48,Asian,60,1.3
49,Asian Indian,0,0.0
50,Chinese,31,0.7
51,Filipino,7,0.2
52,Japanese,15,0.3
53,Korean,2,0.0
54,Vietnamese,5,0.1
55,Other Asian,0,0.0
56,Native Hawaiian and Other Pacific Islander,0,0.0
57,Native Hawaiian,0,0.0
58,Guamanian or Chamorro,0,0.0
59,Samoan,0,0.0
60,Other Pacific Islander,0,0.0
61,Some other race,765,16.8
62,Two or more races,419,9.2
63,White and Black or African American,0,0.0
64,White and American Indian and Alaska Native,128,2.8
65,White and Asian,13,0.3
66,Black or African American and American Indian and Alaska Native,0,0.0
67,,,
68,Race alone or in combination with one or more other races,,
69,Total population,"4,541",100.0
70,White,"3,645",80.3
71,Black or African American,24,0.5
72,American Indian and Alaska Native,175,3.9
73,Asian,73,1.6
74,Native Hawaiian and Other Pacific Islander,0,0.0
75,Some other race,"1,043",23.0
76,,,
77,HISPANIC OR LATINO AND RACE,,
78,Total population,"4,541",100.0
79,Hispanic or Latino (of any race),"1,897",41.8
80,Mexican,"1,681",37.0
81,Puerto Rican,12,0.3
82,Cuban,26,0.6
83,Other Hispanic or Latino,178,3.9
84,Not Hispanic or Latino,"2,644",58.2
85,White alone,"2,517",55.4
86,Black or African American alone,0,0.0
87,American Indian and Alaska Native alone,5,0.1
88,Asian alone,55,1.2
89,Native Hawaiian and Other Pacific Islander alone,0,0.0
90,Some other race alone,0,0.0
91,Two or more races,67,1.5
92,Two races including Some other race,0,0.0
93,Two races excl Some other race & three or more races,67,1.5
94,,,
95,Total housing units,"1,759",100.0
96,,,
97,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
