,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"1,274",100.0
3,Occupied housing units,"1,139",89.4
4,Vacant housing units,135,10.6
5,,,
6,Homeowner vacancy rate,4.1,
7,Rental vacancy rate,0.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"1,274",100.0
11,"1-unit, detached",888,69.7
12,"1-unit, attached",38,3.0
13,2 units,8,0.6
14,3 or 4 units,0,0.0
15,5 to 9 units,17,1.3
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,323,25.4
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"1,274",100.0
23,Built 2005 or later,24,1.9
24,Built 2000 to 2004,129,10.1
25,Built 1990 to 1999,182,14.3
26,Built 1980 to 1989,239,18.8
27,Built 1970 to 1979,288,22.6
28,Built 1960 to 1969,85,6.7
29,Built 1950 to 1959,103,8.1
30,Built 1940 to 1949,84,6.6
31,Built 1939 or earlier,140,11.0
32,,,
33,ROOMS,,
34,Total housing units,"1,274",100.0
35,1 room,39,3.1
36,2 rooms,30,2.4
37,3 rooms,57,4.5
38,4 rooms,217,17.0
39,5 rooms,308,24.2
40,6 rooms,277,21.7
41,7 rooms,187,14.7
42,8 rooms,58,4.6
43,9 rooms or more,101,7.9
44,Median rooms,5.5,
45,,,
46,BEDROOMS,,
47,Total housing units,"1,274",100.0
48,No bedroom,39,3.1
49,1 bedroom,61,4.8
50,2 bedrooms,352,27.6
51,3 bedrooms,589,46.2
52,4 bedrooms,182,14.3
53,5 or more bedrooms,51,4.0
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"1,139",100.0
57,Owner-occupied,843,74.0
58,Renter-occupied,296,26.0
59,,,
60,Average household size of owner-occupied unit,2.94,
61,Average household size of renter-occupied unit,2.73,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"1,139",100.0
65,Moved in 2005 or later,217,19.1
66,Moved in 2000 to 2004,339,29.8
67,Moved in 1990 to 1999,298,26.2
68,Moved in 1980 to 1989,139,12.2
69,Moved in 1970 to 1979,113,9.9
70,Moved in 1969 or earlier,33,2.9
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"1,139",100.0
74,No vehicles available,49,4.3
75,1 vehicle available,205,18.0
76,2 vehicles available,424,37.2
77,3 or more vehicles available,461,40.5
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"1,139",100.0
81,Utility gas,229,20.1
82,"Bottled, tank, or LP gas",19,1.7
83,Electricity,551,48.4
84,"Fuel oil, kerosene, etc.",12,1.1
85,Coal or coke,0,0.0
86,Wood,328,28.8
87,Solar energy,0,0.0
88,Other fuel,0,0.0
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"1,139",100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,17,1.5
95,No telephone service available,44,3.9
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"1,139",100.0
99,1.00 or less,"1,119",98.2
100,1.01 to 1.50,20,1.8
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,843,100.0
105,"Less than $50,000",23,2.7
106,"$50,000 to $99,999",96,11.4
107,"$100,000 to $149,999",122,14.5
108,"$150,000 to $199,999",158,18.7
109,"$200,000 to $299,999",126,14.9
110,"$300,000 to $499,999",183,21.7
111,"$500,000 to $999,999",118,14.0
112,"$1,000,000 or more",17,2.0
113,Median (dollars),"213,200",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,843,100.0
117,Housing units with a mortgage,531,63.0
118,Housing units without a mortgage,312,37.0
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,531,100.0
122,Less than $300,0,0.0
123,$300 to $499,4,0.8
124,$500 to $699,9,1.7
125,$700 to $999,107,20.2
126,"$1,000 to $1,499",256,48.2
127,"$1,500 to $1,999",77,14.5
128,"$2,000 or more",78,14.7
129,Median (dollars),"1,295",
130,,,
131,Housing units without a mortgage,312,100.0
132,Less than $100,5,1.6
133,$100 to $199,54,17.3
134,$200 to $299,140,44.9
135,$300 to $399,54,17.3
136,$400 or more,59,18.9
137,Median (dollars),268,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),531,100.0
141,Less than 20.0 percent,102,19.2
142,20.0 to 24.9 percent,96,18.1
143,25.0 to 29.9 percent,76,14.3
144,30.0 to 34.9 percent,52,9.8
145,35.0 percent or more,205,38.6
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),312,100.0
150,Less than 10.0 percent,128,41.0
151,10.0 to 14.9 percent,41,13.1
152,15.0 to 19.9 percent,36,11.5
153,20.0 to 24.9 percent,3,1.0
154,25.0 to 29.9 percent,44,14.1
155,30.0 to 34.9 percent,17,5.4
156,35.0 percent or more,43,13.8
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,217,100.0
