,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"3,302",100.0
3,In labor force,"1,759",53.3
4,Civilian labor force,"1,759",53.3
5,Employed,"1,577",47.8
6,Unemployed,182,5.5
7,Armed Forces,0,0.0
8,Not in labor force,"1,543",46.7
9,,,
10,Civilian labor force,"1,759",53.3
11,Percent Unemployed,10.3,
12,,,
13,Females 16 years and over,"1,807",54.7
14,In labor force,908,27.5
15,Civilian labor force,908,27.5
16,Employed,816,24.7
17,,,
18,Own children under 6 years,263,8.0
19,All parents in family in labor force,211,6.4
20,,,
21,Own children 6 to 17 years,677,20.5
22,All parents in family in labor force,583,17.7
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"1,544",100.0
26,"Car, truck, or van -- drove alone","1,160",75.1
27,"Car, truck, or van -- carpooled",168,10.9
28,Public transportation (excluding taxicab),12,0.8
29,Walked,47,3.0
30,Other means,16,1.0
31,Worked at home,141,9.1
32,,,
33,Mean travel time to work (minutes),28.0,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"1,577",100.0
37,"Management, professional, and related occupations",412,26.1
38,Service occupations,421,26.7
39,Sales and office occupations,323,20.5
40,"Farming, fishing, and forestry occupations",33,2.1
41,"Construction, extraction, maintenance, and repair occupations",223,14.1
42,"Production, transportation, and material moving occupations",165,10.5
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"1,577",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",109,6.9
47,Construction,173,11.0
48,Manufacturing,134,8.5
49,Wholesale trade,13,0.8
50,Retail trade,145,9.2
51,"Transportation and warehousing, and utilities",51,3.2
52,Information,0,0.0
53,"Finance and insurance, & real estate & rental & leasing",59,3.7
54,"Professional, scientific & mgmt, & admin & waste mgmt services",86,5.5
55,Educational services & health care & social assistance,327,20.7
56,"Arts, entertainment & recreation & accommodation & food services",274,17.4
57,"Other services, except public administration",47,3.0
58,Public administration,159,10.1
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"1,577",100.0
62,Private wage and salary workers,984,62.4
63,Government workers,439,27.8
64,Self-employed in own not incorporated business workers,154,9.8
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"1,814",100.0
69,"Less than $10,000",224,12.3
70,"$10,000 to $14,999",140,7.7
71,"$15,000 to $24,999",325,17.9
72,"$25,000 to $34,999",212,11.7
73,"$35,000 to $49,999",304,16.8
74,"$50,000 to $74,999",304,16.8
75,"$75,000 to $99,999",133,7.3
76,"$100,000 to $149,999",109,6.0
77,"$150,000 to $199,999",24,1.3
78,"$200,000 or more",39,2.1
79,Median household income (dollars),"35,203",
80,Mean household income (dollars),"47,478",
81,,,
82,With earnings,"1,068",58.9
83,Mean earnings (dollars),"54,940",
84,With Social Security,778,42.9
85,Mean Social Security income (dollars),"14,607",
86,With retirement income,407,22.4
87,Mean retirement income (dollars),"19,873",
88,,,
89,With Supplemental Security Income,135,7.4
90,Mean Supplemental Security Income (dollars),"6,422",
91,With cash public assistance income,60,3.3
92,Mean cash public assistance income (dollars),"6,588",
93,With Food Stamp/SNAP benefits in the past 12 months,459,25.3
94,,,
95,Families,"1,246",100.0
96,"Less than $10,000",102,8.2
97,"$10,000 to $14,999",69,5.5
98,"$15,000 to $24,999",181,14.5
99,"$25,000 to $34,999",135,10.8
100,"$35,000 to $49,999",230,18.5
101,"$50,000 to $74,999",262,21.0
102,"$75,000 to $99,999",121,9.7
103,"$100,000 to $149,999",109,8.7
104,"$150,000 to $199,999",14,1.1
105,"$200,000 or more",23,1.8
106,Median family income (dollars),"43,175",
107,Mean family income (dollars),"53,139",
108,,,
109,Per capita income (dollars),"20,504",
110,,,
111,Nonfamily households,568,45.6
112,Median nonfamily income (dollars),"20,174",
113,Mean nonfamily income (dollars),"31,512",
114,,,
115,Median earnings for workers (dollars),"24,154",
116,"Median earnings for male full-time, year-round workers (dollars)","44,904",
117,"Median earnings for female full-time, year-round workers (dollars)","29,464",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,17.7,
121,With related children under 18 years,30.6,
122,With related children under 5 years only,13.8,
123,Married couple families,6.7,
124,With related children under 18 years,11.7,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",55.0,
127,With related children under 18 years,63.2,
128,With related children under 5 years only,100.0,
129,,,
130,All people,22.7,
131,Under 18 years,37.0,
132,Related children under 18 years,36.4,
133,Related children under 5 years,17.3,
134,Related children 5 to 17 years,43.5,
135,18 years and over,17.9,
136,18 to 64 years,21.1,
137,65 years and over,9.7,
138,People in families,21.6,
139,Unrelated individuals 15 years and over,28.2,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
