,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"6,393",100.0
3,Occupied housing units,"5,807",90.8
4,Vacant housing units,586,9.2
5,,,
6,Homeowner vacancy rate,0.8,
7,Rental vacancy rate,7.7,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"6,393",100.0
11,"1-unit, detached","3,894",60.9
12,"1-unit, attached",171,2.7
13,2 units,218,3.4
14,3 or 4 units,251,3.9
15,5 to 9 units,373,5.8
16,10 to 19 units,244,3.8
17,20 or more units,291,4.6
18,Mobile home,940,14.7
19,"Boat, RV, van, etc.",11,0.2
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"6,393",100.0
23,Built 2005 or later,97,1.5
24,Built 2000 to 2004,252,3.9
25,Built 1990 to 1999,784,12.3
26,Built 1980 to 1989,895,14.0
27,Built 1970 to 1979,"1,523",23.8
28,Built 1960 to 1969,760,11.9
29,Built 1950 to 1959,911,14.2
30,Built 1940 to 1949,545,8.5
31,Built 1939 or earlier,626,9.8
32,,,
33,ROOMS,,
34,Total housing units,"6,393",100.0
35,1 room,163,2.5
36,2 rooms,168,2.6
37,3 rooms,578,9.0
38,4 rooms,"1,353",21.2
39,5 rooms,"1,193",18.7
40,6 rooms,"1,208",18.9
41,7 rooms,697,10.9
42,8 rooms,450,7.0
43,9 rooms or more,583,9.1
44,Median rooms,5.3,
45,,,
46,BEDROOMS,,
47,Total housing units,"6,393",100.0
48,No bedroom,171,2.7
49,1 bedroom,610,9.5
50,2 bedrooms,"1,939",30.3
51,3 bedrooms,"2,667",41.7
52,4 bedrooms,828,13.0
53,5 or more bedrooms,178,2.8
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"5,807",100.0
57,Owner-occupied,"3,805",65.5
58,Renter-occupied,"2,002",34.5
59,,,
60,Average household size of owner-occupied unit,2.65,
61,Average household size of renter-occupied unit,2.66,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"5,807",100.0
65,Moved in 2005 or later,"1,735",29.9
66,Moved in 2000 to 2004,"1,535",26.4
67,Moved in 1990 to 1999,"1,183",20.4
68,Moved in 1980 to 1989,541,9.3
69,Moved in 1970 to 1979,515,8.9
70,Moved in 1969 or earlier,298,5.1
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"5,807",100.0
74,No vehicles available,394,6.8
75,1 vehicle available,"1,844",31.8
76,2 vehicles available,"2,090",36.0
77,3 or more vehicles available,"1,479",25.5
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"5,807",100.0
81,Utility gas,"2,266",39.0
82,"Bottled, tank, or LP gas",131,2.3
83,Electricity,"2,742",47.2
84,"Fuel oil, kerosene, etc.",326,5.6
85,Coal or coke,0,0.0
86,Wood,294,5.1
87,Solar energy,0,0.0
88,Other fuel,30,0.5
89,No fuel used,18,0.3
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"5,807",100.0
93,Lacking complete plumbing facilities,14,0.2
94,Lacking complete kitchen facilities,93,1.6
95,No telephone service available,168,2.9
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"5,807",100.0
99,1.00 or less,"5,490",94.5
100,1.01 to 1.50,273,4.7
101,1.51 or more,44,0.8
102,,,
103,VALUE,,
104,Owner-occupied units,"3,805",100.0
105,"Less than $50,000",494,13.0
106,"$50,000 to $99,999",904,23.8
107,"$100,000 to $149,999","1,035",27.2
108,"$150,000 to $199,999",572,15.0
109,"$200,000 to $299,999",470,12.4
110,"$300,000 to $499,999",250,6.6
111,"$500,000 to $999,999",66,1.7
112,"$1,000,000 or more",14,0.4
113,Median (dollars),"125,300",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"3,805",100.0
117,Housing units with a mortgage,"2,273",59.7
118,Housing units without a mortgage,"1,532",40.3
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"2,273",100.0
122,Less than $300,15,0.7
123,$300 to $499,81,3.6
124,$500 to $699,334,14.7
125,$700 to $999,583,25.6
126,"$1,000 to $1,499",846,37.2
127,"$1,500 to $1,999",244,10.7
128,"$2,000 or more",170,7.5
129,Median (dollars),"1,050",
130,,,
131,Housing units without a mortgage,"1,532",100.0
132,Less than $100,34,2.2
133,$100 to $199,273,17.8
134,$200 to $299,524,34.2
135,$300 to $399,288,18.8
136,$400 or more,413,27.0
137,Median (dollars),287,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"2,273",100.0
141,Less than 20.0 percent,967,42.5
142,20.0 to 24.9 percent,476,20.9
143,25.0 to 29.9 percent,278,12.2
144,30.0 to 34.9 percent,202,8.9
145,35.0 percent or more,350,15.4
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"1,532",100.0
150,Less than 10.0 percent,620,40.5
151,10.0 to 14.9 percent,339,22.1
152,15.0 to 19.9 percent,207,13.5
153,20.0 to 24.9 percent,75,4.9
154,25.0 to 29.9 percent,56,3.7
155,30.0 to 34.9 percent,76,5.0
