,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"19,900",100.0
2,Family households (families),"14,163",71.2
3,With own children under 18 years,"6,263",31.5
4,Married-couple family,"11,130",55.9
5,With own children under 18 years,"4,395",22.1
6,"Male householder, no wife present, family","1,030",5.2
7,With own children under 18 years,651,3.3
8,"Female householder, no husband present, family","2,003",10.1
9,With own children under 18 years,"1,217",6.1
10,Nonfamily households,"5,737",28.8
11,Householder living alone,"4,310",21.7
12,65 years and over,"1,410",7.1
13,,,
14,Households with one or more people under 18 years,"6,749",33.9
15,Households with one or more people 65 years and over,"4,271",21.5
16,,,
17,Average household size,2.73,
18,Average family size,3.17,
19,,,
20,RELATIONSHIP,,
21,Population in households,"54,264",100.0
22,Householder,"19,900",36.7
23,Spouse,"11,203",20.6
24,Child,"16,555",30.5
25,Other relatives,"3,027",5.6
26,Nonrelatives,"3,579",6.6
27,Unmarried partner,"1,364",2.5
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"22,259",100.0
31,Never married,"6,755",30.3
32,"Now married, except separated","11,878",53.4
33,Separated,259,1.2
34,Widowed,771,3.5
35,Divorced,"2,596",11.7
36,,,
37,Females 15 years and over,"22,226",100.0
38,Never married,"5,440",24.5
39,"Now married, except separated","11,596",52.2
40,Separated,288,1.3
41,Widowed,"2,006",9.0
42,Divorced,"2,896",13.0
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,773,100.0
46,"Unmarried women (widowed, divorced, and never married)",281,36.4
47,"Per 1,000 unmarried women",42,
48,"Per 1,000 women 15 to 50 years old",58,
49,"Per 1,000 women 15 to 19 years old",43,
50,"Per 1,000 women 20 to 34 years old",94,
51,"Per 1,000 women 35 to 50 years old",34,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,"1,131",100.0
55,Responsible for grandchildren,267,23.6
56,Years responsible for grandchildren,,
57,Less than 1 year,107,9.5
58,1 or 2 years,73,6.5
59,3 or 4 years,0,0.0
60,5 or more years,87,7.7
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,267,23.6
63,Who are female,155,13.7
64,Who are married,117,10.3
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"13,899",100.0
68,"Nursery school, preschool",648,4.7
69,Kindergarten,639,4.6
70,Elementary school (grades 1-8),"5,298",38.1
71,High school (grades 9-12),"3,273",23.5
72,College or graduate school,"4,041",29.1
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"36,004",100.0
76,Less than 9th grade,725,2.0
77,"9th to 12th grade, no diploma","2,441",6.8
78,High school graduate (includes equivalency),"10,382",28.8
79,"Some college, no degree","10,645",29.6
80,Associate's degree,"3,318",9.2
81,Bachelor's degree,"5,740",15.9
82,Graduate or professional degree,"2,753",7.6
83,,,
84,Percent high school graduate or higher,91.2,
85,Percent bachelor's degree or higher,23.6,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"42,063",100.0
89,Civilian veterans,"5,210",12.4
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"54,021",100.0
93,Same house,"45,097",83.5
94,Different house in the U.S.,"8,885",16.4
95,Same county,"5,244",9.7
96,Different county,"3,641",6.7
97,Same state,"2,389",4.4
98,Different state,"1,252",2.3
99,Abroad,39,0.1
100,,,
101,PLACE OF BIRTH,,
102,Total population,"54,882",100.0
103,Native,"51,636",94.1
104,Born in United States,"51,411",93.7
105,State of residence,"31,721",57.8
106,Different state,"19,690",35.9
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",225,0.4
108,Foreign born,"3,246",5.9
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,"3,246",100.0
112,Naturalized U.S. citizen,"1,313",40.4
113,Not a U.S. citizen,"1,933",59.6
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,"3,471",100.0
117,,,
118,Native,225,6.5
119,Entered 2000 or later,0,0.0
120,Entered before 2000,225,6.5
121,,,
122,Foreign born,"3,246",93.5
123,Entered 2000 or later,977,28.1
124,Entered before 2000,"2,269",65.4
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea","3,246",100.0
128,Europe,"1,110",34.2
129,Asia,609,18.8
130,Africa,15,0.5
131,Oceania,86,2.6
132,Latin America,"1,139",35.1
133,Northern America,287,8.8
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,"51,343",100.0
137,English only,"46,225",90.0
138,Language other than English,"5,118",10.0
139,"Speak English less than ""very well""","1,721",3.4
140,Spanish,"2,677",5.2
141,"Speak English less than ""very well""","1,155",2.2
142,Other Indo-European languages,"1,785",3.5
143,"Speak English less than ""very well""",441,0.9
144,Asian and Pacific Islander languages,604,1.2
145,"Speak English less than ""very well""",125,0.2
146,Other languages,52,0.1
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,"54,882",100.0
151,American,"2,732",5.0
152,Arab,53,0.1
153,Czech,394,0.7
154,Danish,956,1.7
155,Dutch,"1,649",3.0
156,English,"9,803",17.9
157,French (except Basque),"2,721",5.0
158,French Canadian,450,0.8
159,German,"14,789",26.9
160,Greek,213,0.4
161,Hungarian,272,0.5
162,Irish,"6,756",12.3
163,Italian,"1,500",2.7
164,Lithuanian,18,0.0
165,Norwegian,"2,971",5.4
166,Polish,968,1.8
167,Portuguese,323,0.6
168,Russian,"1,067",1.9
169,Scotch-Irish,"1,567",2.9
170,Scottish,"2,078",3.8
171,Slovak,49,0.1
172,Subsaharan African,9,0.0
173,Swedish,"2,209",4.0
174,Swiss,515,0.9
175,Ukrainian,651,1.2
176,Welsh,588,1.1
177,West Indian (excluding Hispanic origin groups),0,0.0
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
