,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"21,234",100.0
3,In labor force,"13,430",63.2
4,Civilian labor force,"13,421",63.2
5,Employed,"12,480",58.8
6,Unemployed,941,4.4
7,Armed Forces,9,0.0
8,Not in labor force,"7,804",36.8
9,,,
10,Civilian labor force,"13,421",63.2
11,Percent Unemployed,7.0,
12,,,
13,Females 16 years and over,"10,778",50.8
14,In labor force,"6,457",30.4
15,Civilian labor force,"6,457",30.4
16,Employed,"6,033",28.4
17,,,
18,Own children under 6 years,"2,252",10.6
19,All parents in family in labor force,"1,256",5.9
20,,,
21,Own children 6 to 17 years,"4,006",18.9
22,All parents in family in labor force,"2,737",12.9
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"12,216",100.0
26,"Car, truck, or van -- drove alone","8,652",70.8
27,"Car, truck, or van -- carpooled","1,438",11.8
28,Public transportation (excluding taxicab),"1,130",9.3
29,Walked,193,1.6
30,Other means,221,1.8
31,Worked at home,582,4.8
32,,,
33,Mean travel time to work (minutes),24.6,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"12,480",100.0
37,"Management, professional, and related occupations","3,640",29.2
38,Service occupations,"2,288",18.3
39,Sales and office occupations,"3,390",27.2
40,"Farming, fishing, and forestry occupations",44,0.4
41,"Construction, extraction, maintenance, and repair occupations","1,102",8.8
42,"Production, transportation, and material moving occupations","2,016",16.2
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"12,480",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",44,0.4
47,Construction,846,6.8
48,Manufacturing,"1,298",10.4
49,Wholesale trade,556,4.5
50,Retail trade,"1,393",11.2
51,"Transportation and warehousing, and utilities",932,7.5
52,Information,236,1.9
53,"Finance and insurance, & real estate & rental & leasing",930,7.5
54,"Professional, scientific & mgmt, & admin & waste mgmt services","1,202",9.6
55,Educational services & health care & social assistance,"2,558",20.5
56,"Arts, entertainment & recreation & accommodation & food services","1,488",11.9
57,"Other services, except public administration",734,5.9
58,Public administration,263,2.1
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"12,480",100.0
62,Private wage and salary workers,"10,146",81.3
63,Government workers,"1,238",9.9
64,Self-employed in own not incorporated business workers,"1,083",8.7
65,Unpaid family workers,13,0.1
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"9,954",100.0
69,"Less than $10,000",589,5.9
70,"$10,000 to $14,999",622,6.2
71,"$15,000 to $24,999","1,029",10.3
72,"$25,000 to $34,999","1,400",14.1
73,"$35,000 to $49,999","1,461",14.7
74,"$50,000 to $74,999","2,199",22.1
75,"$75,000 to $99,999","1,171",11.8
76,"$100,000 to $149,999",981,9.9
77,"$150,000 to $199,999",314,3.2
78,"$200,000 or more",188,1.9
79,Median household income (dollars),"48,735",
80,Mean household income (dollars),"59,069",
81,,,
82,With earnings,"7,929",79.7
83,Mean earnings (dollars),"58,366",
84,With Social Security,"2,434",24.5
85,Mean Social Security income (dollars),"15,315",
86,With retirement income,"1,693",17.0
87,Mean retirement income (dollars),"22,550",
88,,,
89,With Supplemental Security Income,348,3.5
90,Mean Supplemental Security Income (dollars),"8,373",
91,With cash public assistance income,520,5.2
92,Mean cash public assistance income (dollars),"3,147",
93,With Food Stamp/SNAP benefits in the past 12 months,"1,154",11.6
94,,,
95,Families,"6,226",100.0
96,"Less than $10,000",352,5.7
97,"$10,000 to $14,999",223,3.6
98,"$15,000 to $24,999",447,7.2
99,"$25,000 to $34,999",866,13.9
100,"$35,000 to $49,999",800,12.8
101,"$50,000 to $74,999","1,448",23.3
102,"$75,000 to $99,999",964,15.5
103,"$100,000 to $149,999",813,13.1
104,"$150,000 to $199,999",201,3.2
105,"$200,000 or more",112,1.8
106,Median family income (dollars),"56,049",
107,Mean family income (dollars),"64,740",
108,,,
109,Per capita income (dollars),"22,725",
110,,,
111,Nonfamily households,"3,728",59.9
112,Median nonfamily income (dollars),"33,630",
113,Mean nonfamily income (dollars),"44,209",
114,,,
115,Median earnings for workers (dollars),"28,090",
116,"Median earnings for male full-time, year-round workers (dollars)","38,703",
117,"Median earnings for female full-time, year-round workers (dollars)","33,930",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,10.8,
121,With related children under 18 years,16.4,
122,With related children under 5 years only,13.7,
123,Married couple families,3.8,
124,With related children under 18 years,6.2,
125,With related children under 5 years only,8.2,
126,"Families with female householder, no husband present",28.8,
127,With related children under 18 years,34.7,
128,With related children under 5 years only,38.7,
129,,,
130,All people,13.6,
131,Under 18 years,20.1,
132,Related children under 18 years,19.5,
133,Related children under 5 years,17.7,
134,Related children 5 to 17 years,20.4,
135,18 years and over,11.5,
136,18 to 64 years,12.2,
137,65 years and over,7.1,
138,People in families,11.6,
139,Unrelated individuals 15 years and over,20.9,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
