,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"8,742",100.0
3,Occupied housing units,"7,817",89.4
4,Vacant housing units,925,10.6
5,,,
6,Homeowner vacancy rate,3.5,
7,Rental vacancy rate,11.1,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"8,742",100.0
11,"1-unit, detached","5,655",64.7
12,"1-unit, attached",94,1.1
13,2 units,601,6.9
14,3 or 4 units,491,5.6
15,5 to 9 units,414,4.7
16,10 to 19 units,108,1.2
17,20 or more units,438,5.0
18,Mobile home,925,10.6
19,"Boat, RV, van, etc.",16,0.2
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"8,742",100.0
23,Built 2005 or later,114,1.3
24,Built 2000 to 2004,475,5.4
25,Built 1990 to 1999,"1,130",12.9
26,Built 1980 to 1989,823,9.4
27,Built 1970 to 1979,"1,953",22.3
28,Built 1960 to 1969,860,9.8
29,Built 1950 to 1959,"1,347",15.4
30,Built 1940 to 1949,693,7.9
31,Built 1939 or earlier,"1,347",15.4
32,,,
33,ROOMS,,
34,Total housing units,"8,742",100.0
35,1 room,193,2.2
36,2 rooms,263,3.0
37,3 rooms,976,11.2
38,4 rooms,"1,575",18.0
39,5 rooms,"1,534",17.5
40,6 rooms,"1,456",16.7
41,7 rooms,"1,051",12.0
42,8 rooms,712,8.1
43,9 rooms or more,982,11.2
44,Median rooms,5.4,
45,,,
46,BEDROOMS,,
47,Total housing units,"8,742",100.0
48,No bedroom,202,2.3
49,1 bedroom,"1,224",14.0
50,2 bedrooms,"2,355",26.9
51,3 bedrooms,"3,306",37.8
52,4 bedrooms,"1,209",13.8
53,5 or more bedrooms,446,5.1
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"7,817",100.0
57,Owner-occupied,"4,831",61.8
58,Renter-occupied,"2,986",38.2
59,,,
60,Average household size of owner-occupied unit,2.54,
61,Average household size of renter-occupied unit,2.14,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"7,817",100.0
65,Moved in 2005 or later,"2,375",30.4
66,Moved in 2000 to 2004,"1,917",24.5
67,Moved in 1990 to 1999,"1,881",24.1
68,Moved in 1980 to 1989,713,9.1
69,Moved in 1970 to 1979,568,7.3
70,Moved in 1969 or earlier,363,4.6
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"7,817",100.0
74,No vehicles available,799,10.2
75,1 vehicle available,"2,246",28.7
76,2 vehicles available,"2,572",32.9
77,3 or more vehicles available,"2,200",28.1
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"7,817",100.0
81,Utility gas,"3,541",45.3
82,"Bottled, tank, or LP gas",444,5.7
83,Electricity,"2,918",37.3
84,"Fuel oil, kerosene, etc.",376,4.8
85,Coal or coke,0,0.0
86,Wood,465,5.9
87,Solar energy,0,0.0
88,Other fuel,73,0.9
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"7,817",100.0
93,Lacking complete plumbing facilities,70,0.9
94,Lacking complete kitchen facilities,235,3.0
95,No telephone service available,398,5.1
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"7,817",100.0
99,1.00 or less,"7,660",98.0
100,1.01 to 1.50,105,1.3
101,1.51 or more,52,0.7
102,,,
103,VALUE,,
104,Owner-occupied units,"4,831",100.0
105,"Less than $50,000",295,6.1
106,"$50,000 to $99,999",907,18.8
107,"$100,000 to $149,999","1,291",26.7
108,"$150,000 to $199,999","1,131",23.4
109,"$200,000 to $299,999",695,14.4
110,"$300,000 to $499,999",407,8.4
111,"$500,000 to $999,999",73,1.5
112,"$1,000,000 or more",32,0.7
113,Median (dollars),"147,200",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"4,831",100.0
117,Housing units with a mortgage,"3,083",63.8
118,Housing units without a mortgage,"1,748",36.2
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"3,083",100.0
122,Less than $300,9,0.3
123,$300 to $499,40,1.3
124,$500 to $699,188,6.1
125,$700 to $999,706,22.9
126,"$1,000 to $1,499","1,240",40.2
127,"$1,500 to $1,999",630,20.4
128,"$2,000 or more",270,8.8
129,Median (dollars),"1,231",
130,,,
131,Housing units without a mortgage,"1,748",100.0
132,Less than $100,47,2.7
133,$100 to $199,127,7.3
134,$200 to $299,330,18.9
135,$300 to $399,452,25.9
136,$400 or more,792,45.3
137,Median (dollars),383,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"3,083",100.0
141,Less than 20.0 percent,"1,398",45.3
142,20.0 to 24.9 percent,646,21.0
143,25.0 to 29.9 percent,358,11.6
144,30.0 to 34.9 percent,203,6.6
145,35.0 percent or more,478,15.5
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"1,737",100.0
150,Less than 10.0 percent,889,51.2
151,10.0 to 14.9 percent,375,21.6
152,15.0 to 19.9 percent,155,8.9
153,20.0 to 24.9 percent,105,6.0
