,label,value,percent
0,-- Table/Item --,Value,Percent
1,GENDER AND AGE,,
2,Total population,"8,464",100.0
3,Male,"4,373",51.7
4,Female,"4,091",48.3
5,,,
6,Under 5 years,579,6.8
7,5 to 9 years,674,8.0
8,10 to 14 years,511,6.0
9,15 to 19 years,557,6.6
10,20 to 24 years,667,7.9
11,25 to 34 years,653,7.7
12,35 to 44 years,"1,019",12.0
13,45 to 54 years,"1,559",18.4
14,55 to 59 years,758,9.0
15,60 to 64 years,529,6.3
16,65 to 74 years,480,5.7
17,75 to 84 years,395,4.7
18,85 years and over,83,1.0
19,,,
20,Median age (years),40.7,
21,,,
22,18 years and over,"6,291",74.3
23,21 years and over,"6,046",71.4
24,62 years and over,"1,264",14.9
25,65 years and over,958,11.3
26,,,
27,18 years and over,"6,291",74.3
28,Male,"3,149",37.2
29,Female,"3,142",37.1
30,,,
31,65 years and over,958,11.3
32,Male,460,5.4
33,Female,498,5.9
34,,,
35,RACE,,
36,Total population,"8,464",100.0
37,One race,"8,244",97.4
38,Two or more races,220,2.6
39,,,
40,One race,"8,244",97.4
41,White,"7,781",91.9
42,Black or African American,12,0.1
43,American Indian and Alaska Native,134,1.6
44,Cherokee tribal grouping,0,0.0
45,Chippewa tribal grouping,35,0.4
46,Navajo tribal grouping,0,0.0
47,Sioux tribal grouping,0,0.0
48,Asian,123,1.5
49,Asian Indian,30,0.4
50,Chinese,40,0.5
51,Filipino,0,0.0
52,Japanese,14,0.2
53,Korean,0,0.0
54,Vietnamese,39,0.5
55,Other Asian,0,0.0
56,Native Hawaiian and Other Pacific Islander,8,0.1
57,Native Hawaiian,0,0.0
58,Guamanian or Chamorro,0,0.0
59,Samoan,0,0.0
60,Other Pacific Islander,8,0.1
61,Some other race,186,2.2
62,Two or more races,220,2.6
63,White and Black or African American,14,0.2
64,White and American Indian and Alaska Native,136,1.6
65,White and Asian,47,0.6
66,Black or African American and American Indian and Alaska Native,0,0.0
67,,,
68,Race alone or in combination with one or more other races,,
69,Total population,"8,464",100.0
70,White,"8,001",94.5
71,Black or African American,49,0.6
72,American Indian and Alaska Native,293,3.5
73,Asian,170,2.0
74,Native Hawaiian and Other Pacific Islander,8,0.1
75,Some other race,186,2.2
76,,,
77,HISPANIC OR LATINO AND RACE,,
78,Total population,"8,464",100.0
79,Hispanic or Latino (of any race),486,5.7
80,Mexican,437,5.2
81,Puerto Rican,0,0.0
82,Cuban,0,0.0
83,Other Hispanic or Latino,49,0.6
84,Not Hispanic or Latino,"7,978",94.3
85,White alone,"7,617",90.0
86,Black or African American alone,12,0.1
87,American Indian and Alaska Native alone,134,1.6
88,Asian alone,123,1.5
89,Native Hawaiian and Other Pacific Islander alone,8,0.1
90,Some other race alone,0,0.0
91,Two or more races,84,1.0
92,Two races including Some other race,0,0.0
93,Two races excl Some other race & three or more races,84,1.0
94,,,
95,Total housing units,"3,656",100.0
96,,,
97,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
