,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"20,164",100.0
3,In labor force,"11,254",55.8
4,Civilian labor force,"11,254",55.8
5,Employed,"10,163",50.4
6,Unemployed,"1,091",5.4
7,Armed Forces,0,0.0
8,Not in labor force,"8,910",44.2
9,,,
10,Civilian labor force,"11,254",55.8
11,Percent Unemployed,9.7,
12,,,
13,Females 16 years and over,"10,579",52.5
14,In labor force,"5,417",26.9
15,Civilian labor force,"5,417",26.9
16,Employed,"4,892",24.3
17,,,
18,Own children under 6 years,"1,273",6.3
19,All parents in family in labor force,931,4.6
20,,,
21,Own children 6 to 17 years,"2,535",12.6
22,All parents in family in labor force,"1,858",9.2
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"9,808",100.0
26,"Car, truck, or van -- drove alone","7,304",74.5
27,"Car, truck, or van -- carpooled","1,078",11.0
28,Public transportation (excluding taxicab),150,1.5
29,Walked,332,3.4
30,Other means,209,2.1
31,Worked at home,735,7.5
32,,,
33,Mean travel time to work (minutes),17.2,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"10,163",100.0
37,"Management, professional, and related occupations","3,289",32.4
38,Service occupations,"1,756",17.3
39,Sales and office occupations,"2,745",27.0
40,"Farming, fishing, and forestry occupations",83,0.8
41,"Construction, extraction, maintenance, and repair occupations",981,9.7
42,"Production, transportation, and material moving occupations","1,309",12.9
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"10,163",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",228,2.2
47,Construction,764,7.5
48,Manufacturing,878,8.6
49,Wholesale trade,261,2.6
50,Retail trade,"1,695",16.7
51,"Transportation and warehousing, and utilities",348,3.4
52,Information,344,3.4
53,"Finance and insurance, & real estate & rental & leasing",626,6.2
54,"Professional, scientific & mgmt, & admin & waste mgmt services",967,9.5
55,Educational services & health care & social assistance,"1,980",19.5
56,"Arts, entertainment & recreation & accommodation & food services","1,034",10.2
57,"Other services, except public administration",452,4.4
58,Public administration,586,5.8
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"10,163",100.0
62,Private wage and salary workers,"7,627",75.0
63,Government workers,"1,211",11.9
64,Self-employed in own not incorporated business workers,"1,314",12.9
65,Unpaid family workers,11,0.1
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"10,993",100.0
69,"Less than $10,000",939,8.5
70,"$10,000 to $14,999",889,8.1
71,"$15,000 to $24,999","1,710",15.6
72,"$25,000 to $34,999","1,425",13.0
73,"$35,000 to $49,999","1,604",14.6
74,"$50,000 to $74,999","2,097",19.1
75,"$75,000 to $99,999",972,8.8
76,"$100,000 to $149,999",935,8.5
77,"$150,000 to $199,999",206,1.9
78,"$200,000 or more",216,2.0
79,Median household income (dollars),"40,285",
80,Mean household income (dollars),"53,359",
81,,,
82,With earnings,"7,113",64.7
83,Mean earnings (dollars),"51,364",
84,With Social Security,"4,685",42.6
85,Mean Social Security income (dollars),"15,983",
86,With retirement income,"2,564",23.3
87,Mean retirement income (dollars),"24,429",
88,,,
89,With Supplemental Security Income,413,3.8
90,Mean Supplemental Security Income (dollars),"9,310",
91,With cash public assistance income,332,3.0
92,Mean cash public assistance income (dollars),"1,634",
93,With Food Stamp/SNAP benefits in the past 12 months,"1,509",13.7
94,,,
95,Families,"6,110",100.0
96,"Less than $10,000",218,3.6
97,"$10,000 to $14,999",268,4.4
98,"$15,000 to $24,999",593,9.7
99,"$25,000 to $34,999",698,11.4
100,"$35,000 to $49,999","1,105",18.1
101,"$50,000 to $74,999","1,515",24.8
102,"$75,000 to $99,999",777,12.7
103,"$100,000 to $149,999",652,10.7
104,"$150,000 to $199,999",136,2.2
105,"$200,000 or more",148,2.4
106,Median family income (dollars),"51,856",
107,Mean family income (dollars),"62,954",
108,,,
109,Per capita income (dollars),"25,352",
110,,,
111,Nonfamily households,"4,883",79.9
112,Median nonfamily income (dollars),"24,581",
113,Mean nonfamily income (dollars),"40,588",
114,,,
115,Median earnings for workers (dollars),"22,202",
116,"Median earnings for male full-time, year-round workers (dollars)","34,199",
117,"Median earnings for female full-time, year-round workers (dollars)","28,293",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,8.8,
121,With related children under 18 years,17.9,
122,With related children under 5 years only,30.0,
123,Married couple families,5.0,
124,With related children under 18 years,9.0,
125,With related children under 5 years only,16.5,
126,"Families with female householder, no husband present",21.3,
127,With related children under 18 years,30.0,
128,With related children under 5 years only,46.4,
129,,,
130,All people,12.7,
131,Under 18 years,18.3,
132,Related children under 18 years,18.3,
133,Related children under 5 years,24.7,
134,Related children 5 to 17 years,16.2,
135,18 years and over,11.6,
136,18 to 64 years,13.2,
137,65 years and over,8.0,
138,People in families,9.7,
139,Unrelated individuals 15 years and over,20.6,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
