,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"1,218",100.0
3,Occupied housing units,851,69.9
4,Vacant housing units,367,30.1
5,,,
6,Homeowner vacancy rate,4.9,
7,Rental vacancy rate,14.0,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"1,218",100.0
11,"1-unit, detached",859,70.5
12,"1-unit, attached",8,0.7
13,2 units,23,1.9
14,3 or 4 units,50,4.1
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,7,0.6
18,Mobile home,271,22.2
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"1,218",100.0
23,Built 2005 or later,6,0.5
24,Built 2000 to 2004,35,2.9
25,Built 1990 to 1999,107,8.8
26,Built 1980 to 1989,180,14.8
27,Built 1970 to 1979,232,19.0
28,Built 1960 to 1969,58,4.8
29,Built 1950 to 1959,113,9.3
30,Built 1940 to 1949,44,3.6
31,Built 1939 or earlier,443,36.4
32,,,
33,ROOMS,,
34,Total housing units,"1,218",100.0
35,1 room,30,2.5
36,2 rooms,48,3.9
37,3 rooms,61,5.0
38,4 rooms,336,27.6
39,5 rooms,282,23.2
40,6 rooms,253,20.8
41,7 rooms,108,8.9
42,8 rooms,70,5.7
43,9 rooms or more,30,2.5
44,Median rooms,5.0,
45,,,
46,BEDROOMS,,
47,Total housing units,"1,218",100.0
48,No bedroom,30,2.5
49,1 bedroom,109,8.9
50,2 bedrooms,449,36.9
51,3 bedrooms,470,38.6
52,4 bedrooms,123,10.1
53,5 or more bedrooms,37,3.0
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,851,100.0
57,Owner-occupied,606,71.2
58,Renter-occupied,245,28.8
59,,,
60,Average household size of owner-occupied unit,1.96,
61,Average household size of renter-occupied unit,2.03,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,851,100.0
65,Moved in 2005 or later,133,15.6
66,Moved in 2000 to 2004,260,30.6
67,Moved in 1990 to 1999,219,25.7
68,Moved in 1980 to 1989,123,14.5
69,Moved in 1970 to 1979,60,7.1
70,Moved in 1969 or earlier,56,6.6
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,851,100.0
74,No vehicles available,26,3.1
75,1 vehicle available,272,32.0
76,2 vehicles available,371,43.6
77,3 or more vehicles available,182,21.4
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,851,100.0
81,Utility gas,42,4.9
82,"Bottled, tank, or LP gas",150,17.6
83,Electricity,263,30.9
84,"Fuel oil, kerosene, etc.",86,10.1
85,Coal or coke,0,0.0
86,Wood,308,36.2
87,Solar energy,0,0.0
88,Other fuel,2,0.2
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,851,100.0
93,Lacking complete plumbing facilities,23,2.7
94,Lacking complete kitchen facilities,2,0.2
95,No telephone service available,0,0.0
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,851,100.0
99,1.00 or less,841,98.8
100,1.01 to 1.50,10,1.2
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,606,100.0
105,"Less than $50,000",120,19.8
106,"$50,000 to $99,999",95,15.7
107,"$100,000 to $149,999",96,15.8
108,"$150,000 to $199,999",54,8.9
109,"$200,000 to $299,999",163,26.9
110,"$300,000 to $499,999",38,6.3
111,"$500,000 to $999,999",40,6.6
112,"$1,000,000 or more",0,0.0
113,Median (dollars),"143,800",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,606,100.0
117,Housing units with a mortgage,207,34.2
118,Housing units without a mortgage,399,65.8
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,207,100.0
122,Less than $300,0,0.0
123,$300 to $499,5,2.4
124,$500 to $699,29,14.0
125,$700 to $999,50,24.2
126,"$1,000 to $1,499",67,32.4
127,"$1,500 to $1,999",22,10.6
128,"$2,000 or more",34,16.4
129,Median (dollars),"1,108",
130,,,
131,Housing units without a mortgage,399,100.0
132,Less than $100,53,13.3
133,$100 to $199,70,17.5
134,$200 to $299,157,39.3
135,$300 to $399,46,11.5
136,$400 or more,73,18.3
137,Median (dollars),245,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),205,100.0
141,Less than 20.0 percent,36,17.6
142,20.0 to 24.9 percent,31,15.1
143,25.0 to 29.9 percent,48,23.4
144,30.0 to 34.9 percent,22,10.7
145,35.0 percent or more,68,33.2
146,,,
147,Not computed,2,1.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),389,100.0
150,Less than 10.0 percent,124,31.9
151,10.0 to 14.9 percent,75,19.3
152,15.0 to 19.9 percent,63,16.2
153,20.0 to 24.9 percent,31,8.0
154,25.0 to 29.9 percent,15,3.9
155,30.0 to 34.9 percent,27,6.9
156,35.0 percent or more,54,13.9
157,,,
158,Not computed,10,2.6
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,226,100.0
162,Less than $200,23,10.2
163,$200 to $299,15,6.6
