,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"5,214",100.0
3,In labor force,"3,385",64.9
4,Civilian labor force,"3,385",64.9
5,Employed,"3,132",60.1
6,Unemployed,253,4.9
7,Armed Forces,0,0.0
8,Not in labor force,"1,829",35.1
9,,,
10,Civilian labor force,"3,385",64.9
11,Percent Unemployed,7.5,
12,,,
13,Females 16 years and over,"2,641",50.7
14,In labor force,"1,491",28.6
15,Civilian labor force,"1,491",28.6
16,Employed,"1,386",26.6
17,,,
18,Own children under 6 years,351,6.7
19,All parents in family in labor force,176,3.4
20,,,
21,Own children 6 to 17 years,"1,148",22.0
22,All parents in family in labor force,767,14.7
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"2,993",100.0
26,"Car, truck, or van -- drove alone","2,136",71.4
27,"Car, truck, or van -- carpooled",431,14.4
28,Public transportation (excluding taxicab),0,0.0
29,Walked,56,1.9
30,Other means,52,1.7
31,Worked at home,318,10.6
32,,,
33,Mean travel time to work (minutes),27.4,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"3,132",100.0
37,"Management, professional, and related occupations","1,109",35.4
38,Service occupations,431,13.8
39,Sales and office occupations,801,25.6
40,"Farming, fishing, and forestry occupations",100,3.2
41,"Construction, extraction, maintenance, and repair occupations",429,13.7
42,"Production, transportation, and material moving occupations",262,8.4
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"3,132",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",159,5.1
47,Construction,333,10.6
48,Manufacturing,331,10.6
49,Wholesale trade,67,2.1
50,Retail trade,413,13.2
51,"Transportation and warehousing, and utilities",194,6.2
52,Information,78,2.5
53,"Finance and insurance, & real estate & rental & leasing",207,6.6
54,"Professional, scientific & mgmt, & admin & waste mgmt services",251,8.0
55,Educational services & health care & social assistance,495,15.8
56,"Arts, entertainment & recreation & accommodation & food services",187,6.0
57,"Other services, except public administration",245,7.8
58,Public administration,172,5.5
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"3,132",100.0
62,Private wage and salary workers,"2,406",76.8
63,Government workers,433,13.8
64,Self-employed in own not incorporated business workers,293,9.4
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"2,508",100.0
69,"Less than $10,000",85,3.4
70,"$10,000 to $14,999",107,4.3
71,"$15,000 to $24,999",292,11.6
72,"$25,000 to $34,999",292,11.6
73,"$35,000 to $49,999",329,13.1
74,"$50,000 to $74,999",487,19.4
75,"$75,000 to $99,999",236,9.4
76,"$100,000 to $149,999",418,16.7
77,"$150,000 to $199,999",166,6.6
78,"$200,000 or more",96,3.8
79,Median household income (dollars),"53,509",
80,Mean household income (dollars),"80,488",
81,,,
82,With earnings,"1,958",78.1
83,Mean earnings (dollars),"65,502",
84,With Social Security,796,31.7
85,Mean Social Security income (dollars),"15,443",
86,With retirement income,516,20.6
87,Mean retirement income (dollars),"18,034",
88,,,
89,With Supplemental Security Income,85,3.4
90,Mean Supplemental Security Income (dollars),"7,289",
91,With cash public assistance income,51,2.0
92,Mean cash public assistance income (dollars),310,
93,With Food Stamp/SNAP benefits in the past 12 months,187,7.5
94,,,
95,Families,"1,883",100.0
96,"Less than $10,000",22,1.2
97,"$10,000 to $14,999",14,0.7
98,"$15,000 to $24,999",153,8.1
99,"$25,000 to $34,999",234,12.4
100,"$35,000 to $49,999",258,13.7
101,"$50,000 to $74,999",352,18.7
102,"$75,000 to $99,999",192,10.2
103,"$100,000 to $149,999",396,21.0
104,"$150,000 to $199,999",166,8.8
105,"$200,000 or more",96,5.1
106,Median family income (dollars),"71,910",
107,Mean family income (dollars),"94,584",
108,,,
109,Per capita income (dollars),"30,901",
110,,,
111,Nonfamily households,625,33.2
112,Median nonfamily income (dollars),"23,767",
113,Mean nonfamily income (dollars),"34,630",
114,,,
115,Median earnings for workers (dollars),"26,389",
116,"Median earnings for male full-time, year-round workers (dollars)","56,165",
117,"Median earnings for female full-time, year-round workers (dollars)","33,575",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,4.4,
121,With related children under 18 years,6.7,
122,With related children under 5 years only,0.0,
123,Married couple families,3.1,
124,With related children under 18 years,3.7,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",10.1,
127,With related children under 18 years,13.6,
128,With related children under 5 years only,0.0,
129,,,
130,All people,8.4,
131,Under 18 years,7.0,
132,Related children under 18 years,7.0,
133,Related children under 5 years,11.8,
134,Related children 5 to 17 years,6.1,
135,18 years and over,8.8,
136,18 to 64 years,9.0,
137,65 years and over,7.9,
138,People in families,4.7,
139,Unrelated individuals 15 years and over,29.7,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
