,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"194,796",100.0
2,Family households (families),"94,358",48.4
3,With own children under 18 years,"42,309",21.7
4,Married-couple family,"70,073",36.0
5,With own children under 18 years,"28,399",14.6
6,"Male householder, no wife present, family","6,354",3.3
7,With own children under 18 years,"3,583",1.8
8,"Female householder, no husband present, family","17,931",9.2
9,With own children under 18 years,"10,327",5.3
10,Nonfamily households,"100,438",51.6
11,Householder living alone,"73,848",37.9
12,65 years and over,"15,642",8.0
13,,,
14,Households with one or more people under 18 years,"45,170",23.2
15,Households with one or more people 65 years and over,"31,668",16.3
16,,,
17,Average household size,2.18,
18,Average family size,2.92,
19,,,
20,RELATIONSHIP,,
21,Population in households,"424,732",100.0
22,Householder,"194,796",45.9
23,Spouse,"70,102",16.5
24,Child,"93,699",22.1
25,Other relatives,"17,412",4.1
26,Nonrelatives,"48,723",11.5
27,Unmarried partner,"18,627",4.4
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"181,471",100.0
31,Never married,"79,432",43.8
32,"Now married, except separated","75,426",41.6
33,Separated,"3,120",1.7
34,Widowed,"3,123",1.7
35,Divorced,"20,370",11.2
36,,,
37,Females 15 years and over,"186,788",100.0
38,Never married,"68,236",36.5
39,"Now married, except separated","74,262",39.8
40,Separated,"3,810",2.0
41,Widowed,"13,476",7.2
42,Divorced,"27,004",14.5
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,"5,525",100.0
46,"Unmarried women (widowed, divorced, and never married)","1,394",25.2
47,"Per 1,000 unmarried women",19,
48,"Per 1,000 women 15 to 50 years old",44,
49,"Per 1,000 women 15 to 19 years old",13,
50,"Per 1,000 women 20 to 34 years old",59,
51,"Per 1,000 women 35 to 50 years old",33,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,"4,422",100.0
55,Responsible for grandchildren,"1,865",42.2
56,Years responsible for grandchildren,,
57,Less than 1 year,385,8.7
58,1 or 2 years,388,8.8
59,3 or 4 years,288,6.5
60,5 or more years,804,18.2
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,"1,865",42.2
63,Who are female,"1,308",29.6
64,Who are married,"1,029",23.3
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"103,007",100.0
68,"Nursery school, preschool","7,478",7.3
69,Kindergarten,"4,631",4.5
70,Elementary school (grades 1-8),"31,702",30.8
71,High school (grades 9-12),"15,883",15.4
72,College or graduate school,"43,313",42.0
73,,,
74,EDUCATIONAL ATTAINMENT,,
