,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,415,100.0
3,Occupied housing units,348,83.9
4,Vacant housing units,67,16.1
5,,,
6,Homeowner vacancy rate,4.2,
7,Rental vacancy rate,9.6,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,415,100.0
11,"1-unit, detached",303,73.0
12,"1-unit, attached",0,0.0
13,2 units,3,0.7
14,3 or 4 units,12,2.9
15,5 to 9 units,10,2.4
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,71,17.1
19,"Boat, RV, van, etc.",16,3.9
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,415,100.0
23,Built 2005 or later,6,1.4
24,Built 2000 to 2004,8,1.9
25,Built 1990 to 1999,57,13.7
26,Built 1980 to 1989,71,17.1
27,Built 1970 to 1979,70,16.9
28,Built 1960 to 1969,25,6.0
29,Built 1950 to 1959,44,10.6
30,Built 1940 to 1949,16,3.9
31,Built 1939 or earlier,118,28.4
32,,,
33,ROOMS,,
34,Total housing units,415,100.0
35,1 room,11,2.7
36,2 rooms,5,1.2
37,3 rooms,78,18.8
38,4 rooms,86,20.7
39,5 rooms,132,31.8
40,6 rooms,38,9.2
41,7 rooms,42,10.1
42,8 rooms,17,4.1
43,9 rooms or more,6,1.4
44,Median rooms,4.7,
45,,,
46,BEDROOMS,,
47,Total housing units,415,100.0
48,No bedroom,11,2.7
49,1 bedroom,53,12.8
50,2 bedrooms,187,45.1
51,3 bedrooms,145,34.9
52,4 bedrooms,14,3.4
53,5 or more bedrooms,5,1.2
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,348,100.0
57,Owner-occupied,254,73.0
58,Renter-occupied,94,27.0
59,,,
60,Average household size of owner-occupied unit,2.75,
61,Average household size of renter-occupied unit,2.54,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,348,100.0
65,Moved in 2005 or later,64,18.4
66,Moved in 2000 to 2004,74,21.3
67,Moved in 1990 to 1999,88,25.3
68,Moved in 1980 to 1989,77,22.1
69,Moved in 1970 to 1979,9,2.6
70,Moved in 1969 or earlier,36,10.3
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,348,100.0
74,No vehicles available,32,9.2
75,1 vehicle available,114,32.8
76,2 vehicles available,137,39.4
77,3 or more vehicles available,65,18.7
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,348,100.0
81,Utility gas,11,3.2
82,"Bottled, tank, or LP gas",15,4.3
83,Electricity,133,38.2
84,"Fuel oil, kerosene, etc.",36,10.3
85,Coal or coke,0,0.0
86,Wood,131,37.6
87,Solar energy,0,0.0
88,Other fuel,17,4.9
89,No fuel used,5,1.4
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,348,100.0
93,Lacking complete plumbing facilities,6,1.7
94,Lacking complete kitchen facilities,6,1.7
95,No telephone service available,16,4.6
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,348,100.0
99,1.00 or less,326,93.7
100,1.01 to 1.50,11,3.2
101,1.51 or more,11,3.2
102,,,
103,VALUE,,
104,Owner-occupied units,254,100.0
105,"Less than $50,000",28,11.0
106,"$50,000 to $99,999",97,38.2
107,"$100,000 to $149,999",45,17.7
108,"$150,000 to $199,999",32,12.6
109,"$200,000 to $299,999",34,13.4
110,"$300,000 to $499,999",4,1.6
111,"$500,000 to $999,999",11,4.3
112,"$1,000,000 or more",3,1.2
113,Median (dollars),"101,100",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,254,100.0
117,Housing units with a mortgage,149,58.7
118,Housing units without a mortgage,105,41.3
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,149,100.0
122,Less than $300,0,0.0
123,$300 to $499,16,10.7
124,$500 to $699,13,8.7
125,$700 to $999,82,55.0
126,"$1,000 to $1,499",35,23.5
127,"$1,500 to $1,999",3,2.0
128,"$2,000 or more",0,0.0
129,Median (dollars),891,
130,,,
131,Housing units without a mortgage,105,100.0
132,Less than $100,0,0.0
133,$100 to $199,9,8.6
134,$200 to $299,73,69.5
135,$300 to $399,11,10.5
136,$400 or more,12,11.4
137,Median (dollars),277,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),145,100.0
141,Less than 20.0 percent,70,48.3
142,20.0 to 24.9 percent,11,7.6
143,25.0 to 29.9 percent,11,7.6
144,30.0 to 34.9 percent,3,2.1
145,35.0 percent or more,50,34.5
146,,,
147,Not computed,4,2.8
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),92,100.0
150,Less than 10.0 percent,43,46.7
151,10.0 to 14.9 percent,20,21.7
152,15.0 to 19.9 percent,11,12.0
153,20.0 to 24.9 percent,4,4.3
154,25.0 to 29.9 percent,0,0.0
155,30.0 to 34.9 percent,10,10.9
156,35.0 percent or more,4,4.3
157,,,
158,Not computed,13,14.1
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,66,100.0
162,Less than $200,0,0.0
163,$200 to $299,17,25.8
164,$300 to $499,11,16.7
