,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,825,100.0
3,In labor force,383,46.4
4,Civilian labor force,383,46.4
5,Employed,374,45.3
6,Unemployed,9,1.1
7,Armed Forces,0,0.0
8,Not in labor force,442,53.6
9,,,
10,Civilian labor force,383,46.4
11,Percent Unemployed,2.3,
12,,,
13,Females 16 years and over,427,51.8
14,In labor force,205,24.8
15,Civilian labor force,205,24.8
16,Employed,205,24.8
17,,,
18,Own children under 6 years,25,3.0
19,All parents in family in labor force,25,3.0
20,,,
21,Own children 6 to 17 years,181,21.9
22,All parents in family in labor force,136,16.5
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,371,100.0
26,"Car, truck, or van -- drove alone",246,66.3
27,"Car, truck, or van -- carpooled",93,25.1
28,Public transportation (excluding taxicab),0,0.0
29,Walked,14,3.8
30,Other means,2,0.5
31,Worked at home,16,4.3
32,,,
33,Mean travel time to work (minutes),33.7,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,374,100.0
37,"Management, professional, and related occupations",78,20.9
38,Service occupations,137,36.6
39,Sales and office occupations,67,17.9
40,"Farming, fishing, and forestry occupations",2,0.5
41,"Construction, extraction, maintenance, and repair occupations",55,14.7
42,"Production, transportation, and material moving occupations",35,9.4
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,374,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",18,4.8
47,Construction,46,12.3
48,Manufacturing,22,5.9
49,Wholesale trade,5,1.3
50,Retail trade,37,9.9
51,"Transportation and warehousing, and utilities",22,5.9
52,Information,0,0.0
53,"Finance and insurance, & real estate & rental & leasing",3,0.8
54,"Professional, scientific & mgmt, & admin & waste mgmt services",11,2.9
55,Educational services & health care & social assistance,76,20.3
56,"Arts, entertainment & recreation & accommodation & food services",113,30.2
57,"Other services, except public administration",7,1.9
58,Public administration,14,3.7
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,374,100.0
62,Private wage and salary workers,222,59.4
63,Government workers,93,24.9
64,Self-employed in own not incorporated business workers,59,15.8
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,413,100.0
69,"Less than $10,000",19,4.6
70,"$10,000 to $14,999",55,13.3
71,"$15,000 to $24,999",52,12.6
72,"$25,000 to $34,999",65,15.7
73,"$35,000 to $49,999",93,22.5
74,"$50,000 to $74,999",46,11.1
75,"$75,000 to $99,999",52,12.6
76,"$100,000 to $149,999",31,7.5
77,"$150,000 to $199,999",0,0.0
78,"$200,000 or more",0,0.0
79,Median household income (dollars),"38,917",
80,Mean household income (dollars),"45,015",
81,,,
82,With earnings,275,66.6
83,Mean earnings (dollars),"45,035",
84,With Social Security,174,42.1
85,Mean Social Security income (dollars),"15,133",
86,With retirement income,104,25.2
87,Mean retirement income (dollars),"18,314",
88,,,
89,With Supplemental Security Income,21,5.1
90,Mean Supplemental Security Income (dollars),"5,914",
91,With cash public assistance income,16,3.9
92,Mean cash public assistance income (dollars),"3,825",
93,With Food Stamp/SNAP benefits in the past 12 months,47,11.4
94,,,
95,Families,338,100.0
96,"Less than $10,000",12,3.6
97,"$10,000 to $14,999",39,11.5
98,"$15,000 to $24,999",36,10.7
99,"$25,000 to $34,999",57,16.9
100,"$35,000 to $49,999",89,26.3
101,"$50,000 to $74,999",30,8.9
102,"$75,000 to $99,999",44,13.0
103,"$100,000 to $149,999",31,9.2
104,"$150,000 to $199,999",0,0.0
105,"$200,000 or more",0,0.0
106,Median family income (dollars),"40,833",
107,Mean family income (dollars),"47,520",
108,,,
109,Per capita income (dollars),"18,409",
110,,,
111,Nonfamily households,75,22.2
112,Median nonfamily income (dollars),"23,750",
113,Mean nonfamily income (dollars),"33,724",
114,,,
115,Median earnings for workers (dollars),"19,063",
116,"Median earnings for male full-time, year-round workers (dollars)","37,813",
117,"Median earnings for female full-time, year-round workers (dollars)","26,000",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,16.0,
121,With related children under 18 years,15.9,
122,With related children under 5 years only,0.0,
123,Married couple families,12.7,
124,With related children under 18 years,13.2,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",33.3,
127,With related children under 18 years,0.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,13.5,
131,Under 18 years,13.3,
132,Related children under 18 years,13.3,
133,Related children under 5 years,76.9,
134,Related children 5 to 17 years,9.3,
135,18 years and over,13.5,
136,18 to 64 years,16.4,
137,65 years and over,5.6,
138,People in families,13.6,
139,Unrelated individuals 15 years and over,11.8,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
