,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"16,876",100.0
2,Family households (families),"12,090",71.6
3,With own children under 18 years,"4,800",28.4
4,Married-couple family,"9,908",58.7
5,With own children under 18 years,"3,475",20.6
6,"Male householder, no wife present, family",765,4.5
7,With own children under 18 years,446,2.6
8,"Female householder, no husband present, family","1,417",8.4
9,With own children under 18 years,879,5.2
10,Nonfamily households,"4,786",28.4
11,Householder living alone,"3,788",22.4
12,65 years and over,"1,380",8.2
13,,,
14,Households with one or more people under 18 years,"5,017",29.7
15,Households with one or more people 65 years and over,"4,211",25.0
16,,,
17,Average household size,2.51,
18,Average family size,2.90,
19,,,
20,RELATIONSHIP,,
21,Population in households,"42,286",100.0
22,Householder,"16,876",39.9
23,Spouse,"9,828",23.2
24,Child,"11,487",27.2
25,Other relatives,"1,662",3.9
26,Nonrelatives,"2,433",5.8
27,Unmarried partner,"1,081",2.6
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"16,883",100.0
31,Never married,"4,341",25.7
32,"Now married, except separated","10,329",61.2
33,Separated,245,1.5
34,Widowed,415,2.5
35,Divorced,"1,553",9.2
36,,,
37,Females 15 years and over,"17,320",100.0
38,Never married,"3,252",18.8
39,"Now married, except separated","10,143",58.6
40,Separated,506,2.9
41,Widowed,"1,316",7.6
42,Divorced,"2,103",12.1
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,403,100.0
46,"Unmarried women (widowed, divorced, and never married)",111,27.5
47,"Per 1,000 unmarried women",27,
48,"Per 1,000 women 15 to 50 years old",41,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",94,
51,"Per 1,000 women 35 to 50 years old",11,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,449,100.0
55,Responsible for grandchildren,184,41.0
56,Years responsible for grandchildren,,
57,Less than 1 year,19,4.2
58,1 or 2 years,24,5.3
59,3 or 4 years,50,11.1
60,5 or more years,91,20.3
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,184,41.0
63,Who are female,116,25.8
64,Who are married,123,27.4
65,,,
66,SCHOOL ENROLLMENT,,
