,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"3,162",100.0
3,Occupied housing units,"2,628",83.1
4,Vacant housing units,534,16.9
5,,,
6,Homeowner vacancy rate,1.9,
7,Rental vacancy rate,4.2,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"3,162",100.0
11,"1-unit, detached","1,846",58.4
12,"1-unit, attached",51,1.6
13,2 units,104,3.3
14,3 or 4 units,198,6.3
15,5 to 9 units,205,6.5
16,10 to 19 units,99,3.1
17,20 or more units,45,1.4
18,Mobile home,565,17.9
19,"Boat, RV, van, etc.",49,1.5
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"3,162",100.0
23,Built 2005 or later,58,1.8
24,Built 2000 to 2004,77,2.4
25,Built 1990 to 1999,395,12.5
26,Built 1980 to 1989,339,10.7
27,Built 1970 to 1979,674,21.3
28,Built 1960 to 1969,669,21.2
29,Built 1950 to 1959,346,10.9
30,Built 1940 to 1949,309,9.8
31,Built 1939 or earlier,295,9.3
32,,,
33,ROOMS,,
34,Total housing units,"3,162",100.0
35,1 room,39,1.2
36,2 rooms,143,4.5
37,3 rooms,143,4.5
38,4 rooms,870,27.5
39,5 rooms,619,19.6
40,6 rooms,740,23.4
41,7 rooms,285,9.0
42,8 rooms,187,5.9
43,9 rooms or more,136,4.3
44,Median rooms,5.1,
45,,,
46,BEDROOMS,,
47,Total housing units,"3,162",100.0
48,No bedroom,39,1.2
49,1 bedroom,318,10.1
50,2 bedrooms,"1,196",37.8
51,3 bedrooms,"1,269",40.1
52,4 bedrooms,248,7.8
53,5 or more bedrooms,92,2.9
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"2,628",100.0
57,Owner-occupied,"1,719",65.4
58,Renter-occupied,909,34.6
59,,,
60,Average household size of owner-occupied unit,2.05,
61,Average household size of renter-occupied unit,2.19,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"2,628",100.0
65,Moved in 2005 or later,683,26.0
66,Moved in 2000 to 2004,629,23.9
67,Moved in 1990 to 1999,692,26.3
68,Moved in 1980 to 1989,249,9.5
69,Moved in 1970 to 1979,141,5.4
70,Moved in 1969 or earlier,234,8.9
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"2,628",100.0
74,No vehicles available,178,6.8
75,1 vehicle available,841,32.0
76,2 vehicles available,"1,215",46.2
77,3 or more vehicles available,394,15.0
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"2,628",100.0
81,Utility gas,117,4.5
82,"Bottled, tank, or LP gas",58,2.2
83,Electricity,"1,845",70.2
84,"Fuel oil, kerosene, etc.",52,2.0
85,Coal or coke,0,0.0
86,Wood,514,19.6
87,Solar energy,0,0.0
88,Other fuel,42,1.6
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"2,628",100.0
93,Lacking complete plumbing facilities,30,1.1
94,Lacking complete kitchen facilities,30,1.1
95,No telephone service available,135,5.1
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"2,628",100.0
99,1.00 or less,"2,503",95.2
100,1.01 to 1.50,114,4.3
101,1.51 or more,11,0.4
102,,,
103,VALUE,,
104,Owner-occupied units,"1,719",100.0
105,"Less than $50,000",199,11.6
106,"$50,000 to $99,999",266,15.5
107,"$100,000 to $149,999",231,13.4
108,"$150,000 to $199,999",251,14.6
109,"$200,000 to $299,999",386,22.5
110,"$300,000 to $499,999",287,16.7
111,"$500,000 to $999,999",99,5.8
112,"$1,000,000 or more",0,0.0
113,Median (dollars),"184,600",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"1,719",100.0
117,Housing units with a mortgage,785,45.7
118,Housing units without a mortgage,934,54.3
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,785,100.0
122,Less than $300,0,0.0
123,$300 to $499,37,4.7
124,$500 to $699,140,17.8
125,$700 to $999,186,23.7
126,"$1,000 to $1,499",222,28.3
127,"$1,500 to $1,999",136,17.3
128,"$2,000 or more",64,8.2
129,Median (dollars),"1,056",
130,,,
131,Housing units without a mortgage,934,100.0
132,Less than $100,25,2.7
133,$100 to $199,32,3.4
134,$200 to $299,204,21.8
135,$300 to $399,315,33.7
136,$400 or more,358,38.3
137,Median (dollars),369,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),785,100.0
141,Less than 20.0 percent,252,32.1
142,20.0 to 24.9 percent,108,13.8
143,25.0 to 29.9 percent,77,9.8
144,30.0 to 34.9 percent,110,14.0
145,35.0 percent or more,238,30.3
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),913,100.0
150,Less than 10.0 percent,303,33.2
151,10.0 to 14.9 percent,232,25.4
152,15.0 to 19.9 percent,102,11.2
153,20.0 to 24.9 percent,39,4.3
154,25.0 to 29.9 percent,22,2.4
155,30.0 to 34.9 percent,79,8.7
156,35.0 percent or more,136,14.9
157,,,
158,Not computed,21,2.3
159,,,
160,GROSS RENT,,
