,label,value,percent
0,-- Table/Item --,Value,Percent
1,GENDER AND AGE,,
2,Total population,"67,173",100.0
3,Male,"33,336",49.6
4,Female,"33,837",50.4
5,,,
6,Under 5 years,"6,370",9.5
7,5 to 9 years,"4,985",7.4
8,10 to 14 years,"4,820",7.2
9,15 to 19 years,"3,902",5.8
10,20 to 24 years,"4,568",6.8
11,25 to 34 years,"10,955",16.3
12,35 to 44 years,"9,248",13.8
13,45 to 54 years,"9,034",13.4
14,55 to 59 years,"3,613",5.4
15,60 to 64 years,"2,695",4.0
16,65 to 74 years,"3,505",5.2
17,75 to 84 years,"2,525",3.8
18,85 years and over,953,1.4
19,,,
20,Median age (years),33.2,
21,,,
22,18 years and over,"48,598",72.3
23,21 years and over,"46,268",68.9
24,62 years and over,"8,339",12.4
25,65 years and over,"6,983",10.4
26,,,
27,18 years and over,"48,598",72.3
28,Male,"23,551",35.1
29,Female,"25,047",37.3
30,,,
31,65 years and over,"6,983",10.4
32,Male,"3,004",4.5
33,Female,"3,979",5.9
34,,,
35,RACE,,
36,Total population,"67,173",100.0
37,One race,"64,835",96.5
38,Two or more races,"2,338",3.5
39,,,
40,One race,"64,835",96.5
41,White,"50,212",74.8
42,Black or African American,"3,779",5.6
43,American Indian and Alaska Native,"2,923",4.4
44,Cherokee tribal grouping,48,0.1
45,Chippewa tribal grouping,35,0.1
46,Navajo tribal grouping,6,0.0
47,Sioux tribal grouping,0,0.0
48,Asian,"3,655",5.4
49,Asian Indian,25,0.0
50,Chinese,241,0.4
51,Filipino,482,0.7
52,Japanese,177,0.3
53,Korean,244,0.4
54,Vietnamese,"1,516",2.3
55,Other Asian,970,1.4
56,Native Hawaiian and Other Pacific Islander,439,0.7
57,Native Hawaiian,126,0.2
58,Guamanian or Chamorro,0,0.0
59,Samoan,0,0.0
60,Other Pacific Islander,313,0.5
61,Some other race,"3,827",5.7
62,Two or more races,"2,338",3.5
63,White and Black or African American,566,0.8
64,White and American Indian and Alaska Native,711,1.1
65,White and Asian,813,1.2
66,Black or African American and American Indian and Alaska Native,0,0.0
67,,,
68,Race alone or in combination with one or more other races,,
69,Total population,"67,173",100.0
70,White,"52,480",78.1
71,Black or African American,"4,393",6.5
72,American Indian and Alaska Native,"3,642",5.4
73,Asian,"4,530",6.7
74,Native Hawaiian and Other Pacific Islander,483,0.7
75,Some other race,"3,983",5.9
76,,,
77,HISPANIC OR LATINO AND RACE,,
78,Total population,"67,173",100.0
79,Hispanic or Latino (of any race),"13,930",20.7
80,Mexican,"12,422",18.5
81,Puerto Rican,141,0.2
82,Cuban,160,0.2
83,Other Hispanic or Latino,"1,207",1.8
84,Not Hispanic or Latino,"53,243",79.3
85,White alone,"43,017",64.0
86,Black or African American alone,"3,731",5.6
87,American Indian and Alaska Native alone,416,0.6
88,Asian alone,"3,655",5.4
89,Native Hawaiian and Other Pacific Islander alone,439,0.7
90,Some other race alone,48,0.1
91,Two or more races,"1,937",2.9
92,Two races including Some other race,13,0.0
93,Two races excl Some other race & three or more races,"1,924",2.9
94,,,
95,Total housing units,"26,643",100.0
96,,,
97,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
