,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,898,100.0
3,Occupied housing units,817,91.0
4,Vacant housing units,81,9.0
5,,,
6,Homeowner vacancy rate,6.0,
7,Rental vacancy rate,11.3,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,898,100.0
11,"1-unit, detached",680,75.7
12,"1-unit, attached",0,0.0
13,2 units,14,1.6
14,3 or 4 units,8,0.9
15,5 to 9 units,23,2.6
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,173,19.3
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,898,100.0
23,Built 2005 or later,18,2.0
24,Built 2000 to 2004,23,2.6
25,Built 1990 to 1999,62,6.9
26,Built 1980 to 1989,108,12.0
27,Built 1970 to 1979,171,19.0
28,Built 1960 to 1969,89,9.9
29,Built 1950 to 1959,197,21.9
30,Built 1940 to 1949,105,11.7
31,Built 1939 or earlier,125,13.9
32,,,
33,ROOMS,,
34,Total housing units,898,100.0
35,1 room,5,0.6
36,2 rooms,16,1.8
37,3 rooms,51,5.7
38,4 rooms,160,17.8
39,5 rooms,223,24.8
40,6 rooms,282,31.4
41,7 rooms,111,12.4
42,8 rooms,24,2.7
43,9 rooms or more,26,2.9
44,Median rooms,5.5,
45,,,
46,BEDROOMS,,
47,Total housing units,898,100.0
48,No bedroom,17,1.9
49,1 bedroom,58,6.5
50,2 bedrooms,261,29.1
51,3 bedrooms,447,49.8
52,4 bedrooms,92,10.2
53,5 or more bedrooms,23,2.6
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,817,100.0
57,Owner-occupied,677,82.9
58,Renter-occupied,140,17.1
59,,,
60,Average household size of owner-occupied unit,2.55,
61,Average household size of renter-occupied unit,2.39,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,817,100.0
65,Moved in 2005 or later,176,21.5
66,Moved in 2000 to 2004,173,21.2
67,Moved in 1990 to 1999,217,26.6
68,Moved in 1980 to 1989,130,15.9
69,Moved in 1970 to 1979,79,9.7
70,Moved in 1969 or earlier,42,5.1
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,817,100.0
74,No vehicles available,35,4.3
75,1 vehicle available,224,27.4
76,2 vehicles available,217,26.6
77,3 or more vehicles available,341,41.7
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,817,100.0
81,Utility gas,166,20.3
82,"Bottled, tank, or LP gas",0,0.0
83,Electricity,368,45.0
84,"Fuel oil, kerosene, etc.",52,6.4
85,Coal or coke,0,0.0
86,Wood,191,23.4
87,Solar energy,0,0.0
88,Other fuel,40,4.9
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,817,100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,54,6.6
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,817,100.0
99,1.00 or less,796,97.4
100,1.01 to 1.50,0,0.0
101,1.51 or more,21,2.6
102,,,
103,VALUE,,
104,Owner-occupied units,677,100.0
105,"Less than $50,000",28,4.1
106,"$50,000 to $99,999",90,13.3
107,"$100,000 to $149,999",197,29.1
108,"$150,000 to $199,999",167,24.7
109,"$200,000 to $299,999",117,17.3
110,"$300,000 to $499,999",53,7.8
111,"$500,000 to $999,999",16,2.4
112,"$1,000,000 or more",9,1.3
113,Median (dollars),"154,200",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,677,100.0
117,Housing units with a mortgage,399,58.9
118,Housing units without a mortgage,278,41.1
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,399,100.0
122,Less than $300,0,0.0
123,$300 to $499,10,2.5
124,$500 to $699,36,9.0
125,$700 to $999,167,41.9
126,"$1,000 to $1,499",134,33.6
127,"$1,500 to $1,999",35,8.8
128,"$2,000 or more",17,4.3
129,Median (dollars),960,
130,,,
131,Housing units without a mortgage,278,100.0
132,Less than $100,0,0.0
133,$100 to $199,54,19.4
134,$200 to $299,68,24.5
135,$300 to $399,64,23.0
136,$400 or more,92,33.1
137,Median (dollars),331,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),399,100.0
141,Less than 20.0 percent,130,32.6
142,20.0 to 24.9 percent,64,16.0
143,25.0 to 29.9 percent,49,12.3
144,30.0 to 34.9 percent,47,11.8
145,35.0 percent or more,109,27.3
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),278,100.0
150,Less than 10.0 percent,111,39.9
151,10.0 to 14.9 percent,80,28.8
152,15.0 to 19.9 percent,54,19.4
153,20.0 to 24.9 percent,23,8.3
154,25.0 to 29.9 percent,0,0.0
155,30.0 to 34.9 percent,6,2.2
156,35.0 percent or more,4,1.4
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,125,100.0
162,Less than $200,0,0.0
163,$200 to $299,0,0.0
164,$300 to $499,37,29.6
