,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"8,221",100.0
3,In labor force,"4,425",53.8
4,Civilian labor force,"4,412",53.7
5,Employed,"3,913",47.6
6,Unemployed,499,6.1
7,Armed Forces,13,0.2
8,Not in labor force,"3,796",46.2
9,,,
10,Civilian labor force,"4,412",53.7
11,Percent Unemployed,11.3,
12,,,
13,Females 16 years and over,"4,269",51.9
14,In labor force,"2,290",27.9
15,Civilian labor force,"2,290",27.9
16,Employed,"2,008",24.4
17,,,
18,Own children under 6 years,581,7.1
19,All parents in family in labor force,246,3.0
20,,,
21,Own children 6 to 17 years,"1,342",16.3
22,All parents in family in labor force,848,10.3
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"3,864",100.0
26,"Car, truck, or van -- drove alone","3,105",80.4
27,"Car, truck, or van -- carpooled",386,10.0
28,Public transportation (excluding taxicab),0,0.0
29,Walked,85,2.2
30,Other means,5,0.1
31,Worked at home,283,7.3
32,,,
33,Mean travel time to work (minutes),25.7,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"3,913",100.0
37,"Management, professional, and related occupations","1,136",29.0
38,Service occupations,709,18.1
39,Sales and office occupations,941,24.0
40,"Farming, fishing, and forestry occupations",57,1.5
41,"Construction, extraction, maintenance, and repair occupations",455,11.6
42,"Production, transportation, and material moving occupations",615,15.7
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"3,913",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",202,5.2
47,Construction,277,7.1
48,Manufacturing,484,12.4
49,Wholesale trade,73,1.9
50,Retail trade,585,15.0
51,"Transportation and warehousing, and utilities",184,4.7
52,Information,68,1.7
53,"Finance and insurance, & real estate & rental & leasing",147,3.8
54,"Professional, scientific & mgmt, & admin & waste mgmt services",251,6.4
55,Educational services & health care & social assistance,857,21.9
56,"Arts, entertainment & recreation & accommodation & food services",290,7.4
57,"Other services, except public administration",258,6.6
58,Public administration,237,6.1
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"3,913",100.0
62,Private wage and salary workers,"2,742",70.1
63,Government workers,590,15.1
64,Self-employed in own not incorporated business workers,581,14.8
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"4,201",100.0
69,"Less than $10,000",350,8.3
70,"$10,000 to $14,999",400,9.5
71,"$15,000 to $24,999",523,12.4
72,"$25,000 to $34,999",520,12.4
73,"$35,000 to $49,999",619,14.7
74,"$50,000 to $74,999",975,23.2
75,"$75,000 to $99,999",418,10.0
76,"$100,000 to $149,999",253,6.0
77,"$150,000 to $199,999",79,1.9
78,"$200,000 or more",64,1.5
79,Median household income (dollars),"40,908",
80,Mean household income (dollars),"51,478",
81,,,
82,With earnings,"2,718",64.7
83,Mean earnings (dollars),"53,281",
84,With Social Security,"1,900",45.2
85,Mean Social Security income (dollars),"15,096",
86,With retirement income,"1,100",26.2
87,Mean retirement income (dollars),"19,624",
88,,,
89,With Supplemental Security Income,143,3.4
90,Mean Supplemental Security Income (dollars),"7,718",
91,With cash public assistance income,147,3.5
92,Mean cash public assistance income (dollars),"4,682",
93,With Food Stamp/SNAP benefits in the past 12 months,541,12.9
94,,,
95,Families,"2,949",100.0
96,"Less than $10,000",153,5.2
97,"$10,000 to $14,999",106,3.6
98,"$15,000 to $24,999",273,9.3
99,"$25,000 to $34,999",389,13.2
100,"$35,000 to $49,999",516,17.5
101,"$50,000 to $74,999",793,26.9
102,"$75,000 to $99,999",381,12.9
103,"$100,000 to $149,999",215,7.3
104,"$150,000 to $199,999",72,2.4
105,"$200,000 or more",51,1.7
106,Median family income (dollars),"51,267",
107,Mean family income (dollars),"59,621",
108,,,
109,Per capita income (dollars),"21,852",
110,,,
111,Nonfamily households,"1,252",42.5
112,Median nonfamily income (dollars),"18,933",
113,Mean nonfamily income (dollars),"30,944",
114,,,
115,Median earnings for workers (dollars),"26,100",
116,"Median earnings for male full-time, year-round workers (dollars)","39,771",
117,"Median earnings for female full-time, year-round workers (dollars)","27,717",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,10.6,
121,With related children under 18 years,14.2,
122,With related children under 5 years only,25.7,
123,Married couple families,8.8,
124,With related children under 18 years,12.9,
125,With related children under 5 years only,22.9,
126,"Families with female householder, no husband present",13.9,
127,With related children under 18 years,30.7,
128,With related children under 5 years only,48.0,
129,,,
130,All people,14.8,
131,Under 18 years,18.2,
132,Related children under 18 years,17.7,
133,Related children under 5 years,30.0,
134,Related children 5 to 17 years,14.0,
135,18 years and over,13.9,
136,18 to 64 years,15.7,
137,65 years and over,9.4,
138,People in families,12.5,
139,Unrelated individuals 15 years and over,27.1,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
