,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"5,986",100.0
3,Occupied housing units,"5,670",94.7
4,Vacant housing units,316,5.3
5,,,
6,Homeowner vacancy rate,1.1,
7,Rental vacancy rate,2.2,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"5,986",100.0
11,"1-unit, detached","4,228",70.6
12,"1-unit, attached",172,2.9
13,2 units,57,1.0
14,3 or 4 units,252,4.2
15,5 to 9 units,46,0.8
16,10 to 19 units,71,1.2
17,20 or more units,92,1.5
18,Mobile home,912,15.2
19,"Boat, RV, van, etc.",156,2.6
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"5,986",100.0
23,Built 2005 or later,264,4.4
24,Built 2000 to 2004,602,10.1
25,Built 1990 to 1999,"1,312",21.9
26,Built 1980 to 1989,729,12.2
27,Built 1970 to 1979,"1,206",20.1
28,Built 1960 to 1969,676,11.3
29,Built 1950 to 1959,410,6.8
30,Built 1940 to 1949,235,3.9
31,Built 1939 or earlier,552,9.2
32,,,
33,ROOMS,,
34,Total housing units,"5,986",100.0
35,1 room,95,1.6
36,2 rooms,76,1.3
37,3 rooms,372,6.2
38,4 rooms,747,12.5
39,5 rooms,"1,241",20.7
40,6 rooms,"1,135",19.0
41,7 rooms,"1,034",17.3
42,8 rooms,576,9.6
43,9 rooms or more,710,11.9
44,Median rooms,5.9,
45,,,
46,BEDROOMS,,
47,Total housing units,"5,986",100.0
48,No bedroom,116,1.9
49,1 bedroom,373,6.2
50,2 bedrooms,"1,275",21.3
51,3 bedrooms,"2,846",47.5
52,4 bedrooms,"1,171",19.6
53,5 or more bedrooms,205,3.4
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"5,670",100.0
57,Owner-occupied,"4,598",81.1
58,Renter-occupied,"1,072",18.9
59,,,
60,Average household size of owner-occupied unit,2.54,
61,Average household size of renter-occupied unit,2.66,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"5,670",100.0
65,Moved in 2005 or later,"1,297",22.9
66,Moved in 2000 to 2004,"1,435",25.3
67,Moved in 1990 to 1999,"1,479",26.1
68,Moved in 1980 to 1989,771,13.6
69,Moved in 1970 to 1979,520,9.2
70,Moved in 1969 or earlier,168,3.0
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"5,670",100.0
74,No vehicles available,177,3.1
75,1 vehicle available,"1,318",23.2
76,2 vehicles available,"2,183",38.5
77,3 or more vehicles available,"1,992",35.1
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"5,670",100.0
81,Utility gas,"1,791",31.6
82,"Bottled, tank, or LP gas",195,3.4
83,Electricity,"2,504",44.2
84,"Fuel oil, kerosene, etc.",520,9.2
85,Coal or coke,0,0.0
86,Wood,607,10.7
87,Solar energy,9,0.2
88,Other fuel,34,0.6
89,No fuel used,10,0.2
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"5,670",100.0
93,Lacking complete plumbing facilities,12,0.2
94,Lacking complete kitchen facilities,62,1.1
95,No telephone service available,152,2.7
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"5,670",100.0
99,1.00 or less,"5,647",99.6
100,1.01 to 1.50,6,0.1
101,1.51 or more,17,0.3
102,,,
103,VALUE,,
104,Owner-occupied units,"4,598",100.0
105,"Less than $50,000",432,9.4
106,"$50,000 to $99,999",147,3.2
107,"$100,000 to $149,999",178,3.9
108,"$150,000 to $199,999",537,11.7
109,"$200,000 to $299,999","1,357",29.5
110,"$300,000 to $499,999","1,344",29.2
111,"$500,000 to $999,999",458,10.0
112,"$1,000,000 or more",145,3.2
113,Median (dollars),"262,300",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"4,598",100.0
117,Housing units with a mortgage,"3,079",67.0
118,Housing units without a mortgage,"1,519",33.0
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"3,079",100.0
122,Less than $300,0,0.0
123,$300 to $499,25,0.8
124,$500 to $699,51,1.7
125,$700 to $999,341,11.1
126,"$1,000 to $1,499","1,159",37.6
127,"$1,500 to $1,999",784,25.5
128,"$2,000 or more",719,23.4
129,Median (dollars),"1,485",
130,,,
131,Housing units without a mortgage,"1,519",100.0
132,Less than $100,63,4.1
133,$100 to $199,117,7.7
134,$200 to $299,221,14.5
135,$300 to $399,352,23.2
136,$400 or more,766,50.4
137,Median (dollars),403,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"3,079",100.0
141,Less than 20.0 percent,"1,120",36.4
142,20.0 to 24.9 percent,586,19.0
143,25.0 to 29.9 percent,413,13.4
144,30.0 to 34.9 percent,313,10.2
145,35.0 percent or more,647,21.0
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"1,519",100.0
150,Less than 10.0 percent,725,47.7
151,10.0 to 14.9 percent,319,21.0
152,15.0 to 19.9 percent,140,9.2
153,20.0 to 24.9 percent,126,8.3
154,25.0 to 29.9 percent,59,3.9
