,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"1,264",100.0
2,Family households (families),"1,007",79.7
3,With own children under 18 years,468,37.0
4,Married-couple family,812,64.2
5,With own children under 18 years,399,31.6
6,"Male householder, no wife present, family",122,9.7
7,With own children under 18 years,51,4.0
8,"Female householder, no husband present, family",73,5.8
9,With own children under 18 years,18,1.4
10,Nonfamily households,257,20.3
11,Householder living alone,229,18.1
12,65 years and over,87,6.9
13,,,
14,Households with one or more people under 18 years,544,43.0
15,Households with one or more people 65 years and over,338,26.7
16,,,
17,Average household size,2.70,
18,Average family size,3.06,
19,,,
20,RELATIONSHIP,,
21,Population in households,"3,418",100.0
22,Householder,"1,264",37.0
23,Spouse,810,23.7
24,Child,"1,069",31.3
25,Other relatives,192,5.6
26,Nonrelatives,83,2.4
27,Unmarried partner,50,1.5
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"1,410",100.0
31,Never married,424,30.1
32,"Now married, except separated",832,59.0
33,Separated,0,0.0
34,Widowed,31,2.2
35,Divorced,123,8.7
36,,,
37,Females 15 years and over,"1,315",100.0
38,Never married,245,18.6
39,"Now married, except separated",854,64.9
40,Separated,18,1.4
41,Widowed,82,6.2
42,Divorced,116,8.8
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,35,100.0
46,"Unmarried women (widowed, divorced, and never married)",22,62.9
47,"Per 1,000 unmarried women",71,
48,"Per 1,000 women 15 to 50 years old",41,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",100,
51,"Per 1,000 women 35 to 50 years old",8,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,90,100.0
55,Responsible for grandchildren,77,85.6
56,Years responsible for grandchildren,,
57,Less than 1 year,62,68.9
58,1 or 2 years,0,0.0
59,3 or 4 years,0,0.0
60,5 or more years,15,16.7
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,77,85.6
63,Who are female,54,60.0
64,Who are married,20,22.2
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,839,100.0
68,"Nursery school, preschool",42,5.0
69,Kindergarten,4,0.5
70,Elementary school (grades 1-8),397,47.3
71,High school (grades 9-12),245,29.2
72,College or graduate school,151,18.0
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"2,279",100.0
76,Less than 9th grade,51,2.2
77,"9th to 12th grade, no diploma",377,16.5
78,High school graduate (includes equivalency),920,40.4
79,"Some college, no degree",516,22.6
80,Associate's degree,83,3.6
81,Bachelor's degree,183,8.0
82,Graduate or professional degree,149,6.5
83,,,
84,Percent high school graduate or higher,81.2,
85,Percent bachelor's degree or higher,14.6,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"2,489",100.0
89,Civilian veterans,421,16.9
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"3,381",100.0
93,Same house,"2,892",85.5
94,Different house in the U.S.,488,14.4
95,Same county,172,5.1
96,Different county,316,9.3
97,Same state,135,4.0
98,Different state,181,5.4
99,Abroad,1,0.0
100,,,
101,PLACE OF BIRTH,,
102,Total population,"3,418",100.0
103,Native,"3,344",97.8
104,Born in United States,"3,316",97.0
105,State of residence,"2,005",58.7
106,Different state,"1,311",38.4
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",28,0.8
108,Foreign born,74,2.2
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,74,100.0
112,Naturalized U.S. citizen,19,25.7
113,Not a U.S. citizen,55,74.3
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,102,100.0
117,,,
118,Native,28,27.5
119,Entered 2000 or later,28,27.5
120,Entered before 2000,0,0.0
121,,,
122,Foreign born,74,72.5
123,Entered 2000 or later,13,12.7
124,Entered before 2000,61,59.8
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",74,100.0
128,Europe,1,1.4
129,Asia,19,25.7
130,Africa,0,0.0
131,Oceania,0,0.0
132,Latin America,13,17.6
133,Northern America,41,55.4
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,"3,217",100.0
137,English only,"3,110",96.7
138,Language other than English,107,3.3
139,"Speak English less than ""very well""",17,0.5
140,Spanish,74,2.3
141,"Speak English less than ""very well""",17,0.5
142,Other Indo-European languages,0,0.0
143,"Speak English less than ""very well""",0,0.0
144,Asian and Pacific Islander languages,22,0.7
145,"Speak English less than ""very well""",0,0.0
146,Other languages,11,0.3
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,"3,418",100.0
151,American,199,5.8
152,Arab,0,0.0
153,Czech,34,1.0
154,Danish,40,1.2
155,Dutch,331,9.7
156,English,456,13.3
157,French (except Basque),74,2.2
158,French Canadian,25,0.7
159,German,783,22.9
160,Greek,0,0.0
161,Hungarian,0,0.0
162,Irish,473,13.8
163,Italian,94,2.8
164,Lithuanian,1,0.0
165,Norwegian,147,4.3
166,Polish,9,0.3
167,Portuguese,45,1.3
168,Russian,25,0.7
169,Scotch-Irish,126,3.7
170,Scottish,51,1.5
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,116,3.4
174,Swiss,14,0.4
175,Ukrainian,0,0.0
176,Welsh,71,2.1
177,West Indian (excluding Hispanic origin groups),0,0.0
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
