,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"5,424",100.0
2,Family households (families),"3,116",57.4
3,With own children under 18 years,"1,203",22.2
4,Married-couple family,"2,227",41.1
5,With own children under 18 years,597,11.0
6,"Male householder, no wife present, family",237,4.4
7,With own children under 18 years,159,2.9
8,"Female householder, no husband present, family",652,12.0
9,With own children under 18 years,447,8.2
10,Nonfamily households,"2,308",42.6
11,Householder living alone,"1,904",35.1
12,65 years and over,765,14.1
13,,,
14,Households with one or more people under 18 years,"1,316",24.3
15,Households with one or more people 65 years and over,"1,688",31.1
16,,,
17,Average household size,2.10,
18,Average family size,2.61,
19,,,
20,RELATIONSHIP,,
21,Population in households,"11,409",100.0
22,Householder,"5,424",47.5
23,Spouse,"2,262",19.8
24,Child,"2,410",21.1
25,Other relatives,355,3.1
26,Nonrelatives,958,8.4
27,Unmarried partner,540,4.7
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"4,602",100.0
31,Never married,"1,453",31.6
32,"Now married, except separated","2,350",51.1
33,Separated,71,1.5
34,Widowed,155,3.4
35,Divorced,573,12.5
36,,,
37,Females 15 years and over,"5,104",100.0
38,Never married,"1,121",22.0
39,"Now married, except separated","2,343",45.9
40,Separated,112,2.2
41,Widowed,596,11.7
42,Divorced,932,18.3
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,68,100.0
46,"Unmarried women (widowed, divorced, and never married)",50,73.5
47,"Per 1,000 unmarried women",36,
48,"Per 1,000 women 15 to 50 years old",27,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",70,
51,"Per 1,000 women 35 to 50 years old",3,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,159,100.0
55,Responsible for grandchildren,117,73.6
56,Years responsible for grandchildren,,
57,Less than 1 year,50,31.4
58,1 or 2 years,0,0.0
59,3 or 4 years,17,10.7
60,5 or more years,50,31.4
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,117,73.6
63,Who are female,62,39.0
64,Who are married,110,69.2
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"2,295",100.0
68,"Nursery school, preschool",171,7.5
69,Kindergarten,80,3.5
70,Elementary school (grades 1-8),"1,030",44.9
71,High school (grades 9-12),557,24.3
72,College or graduate school,457,19.9
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"8,454",100.0
76,Less than 9th grade,186,2.2
77,"9th to 12th grade, no diploma",607,7.2
78,High school graduate (includes equivalency),"2,121",25.1
79,"Some college, no degree","2,728",32.3
80,Associate's degree,592,7.0
81,Bachelor's degree,"1,349",16.0
82,Graduate or professional degree,871,10.3
83,,,
84,Percent high school graduate or higher,90.6,
85,Percent bachelor's degree or higher,26.3,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"9,341",100.0
89,Civilian veterans,"1,526",16.3
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"11,526",100.0
93,Same house,"8,696",75.4
94,Different house in the U.S.,"2,829",24.5
95,Same county,"1,673",14.5
96,Different county,"1,156",10.0
97,Same state,631,5.5
98,Different state,525,4.6
99,Abroad,1,0.0
100,,,
101,PLACE OF BIRTH,,
102,Total population,"11,627",100.0
103,Native,"11,115",95.6
104,Born in United States,"11,058",95.1
105,State of residence,"5,577",48.0
106,Different state,"5,481",47.1
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",57,0.5
108,Foreign born,512,4.4
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,512,100.0
112,Naturalized U.S. citizen,194,37.9
113,Not a U.S. citizen,318,62.1
114,,,
115,YEAR OF ENTRY,,
