,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"14,299",100.0
3,In labor force,"9,097",63.6
4,Civilian labor force,"9,072",63.4
5,Employed,"8,486",59.3
6,Unemployed,586,4.1
7,Armed Forces,25,0.2
8,Not in labor force,"5,202",36.4
9,,,
10,Civilian labor force,"9,072",63.4
11,Percent Unemployed,6.5,
12,,,
13,Females 16 years and over,"7,291",51.0
14,In labor force,"4,013",28.1
15,Civilian labor force,"4,013",28.1
16,Employed,"3,840",26.9
17,,,
18,Own children under 6 years,"1,738",12.2
19,All parents in family in labor force,"1,061",7.4
20,,,
21,Own children 6 to 17 years,"3,610",25.2
22,All parents in family in labor force,"2,290",16.0
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"8,235",100.0
26,"Car, truck, or van -- drove alone","6,206",75.4
27,"Car, truck, or van -- carpooled","1,115",13.5
28,Public transportation (excluding taxicab),0,0.0
29,Walked,292,3.5
30,Other means,114,1.4
31,Worked at home,508,6.2
32,,,
33,Mean travel time to work (minutes),25.7,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"8,486",100.0
37,"Management, professional, and related occupations","2,619",30.9
38,Service occupations,"1,215",14.3
39,Sales and office occupations,"1,919",22.6
40,"Farming, fishing, and forestry occupations",523,6.2
41,"Construction, extraction, maintenance, and repair occupations","1,203",14.2
42,"Production, transportation, and material moving occupations","1,007",11.9
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"8,486",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",836,9.9
47,Construction,825,9.7
48,Manufacturing,923,10.9
49,Wholesale trade,331,3.9
50,Retail trade,753,8.9
51,"Transportation and warehousing, and utilities",393,4.6
52,Information,141,1.7
53,"Finance and insurance, & real estate & rental & leasing",533,6.3
54,"Professional, scientific & mgmt, & admin & waste mgmt services",644,7.6
55,Educational services & health care & social assistance,"1,738",20.5
56,"Arts, entertainment & recreation & accommodation & food services",648,7.6
57,"Other services, except public administration",329,3.9
58,Public administration,392,4.6
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"8,486",100.0
62,Private wage and salary workers,"6,089",71.8
63,Government workers,"1,377",16.2
64,Self-employed in own not incorporated business workers,938,11.1
65,Unpaid family workers,82,1.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"6,734",100.0
69,"Less than $10,000",291,4.3
70,"$10,000 to $14,999",314,4.7
71,"$15,000 to $24,999",744,11.0
72,"$25,000 to $34,999",506,7.5
73,"$35,000 to $49,999","1,157",17.2
74,"$50,000 to $74,999","1,392",20.7
75,"$75,000 to $99,999","1,156",17.2
76,"$100,000 to $149,999",846,12.6
77,"$150,000 to $199,999",214,3.2
78,"$200,000 or more",114,1.7
79,Median household income (dollars),"56,215",
80,Mean household income (dollars),"65,092",
81,,,
82,With earnings,"5,475",81.3
83,Mean earnings (dollars),"61,071",
84,With Social Security,"2,208",32.8
85,Mean Social Security income (dollars),"15,067",
86,With retirement income,"1,284",19.1
87,Mean retirement income (dollars),"22,460",
88,,,
89,With Supplemental Security Income,156,2.3
90,Mean Supplemental Security Income (dollars),"9,226",
91,With cash public assistance income,177,2.6
92,Mean cash public assistance income (dollars),"4,341",
93,With Food Stamp/SNAP benefits in the past 12 months,682,10.1
94,,,
95,Families,"5,008",100.0
96,"Less than $10,000",176,3.5
97,"$10,000 to $14,999",160,3.2
98,"$15,000 to $24,999",367,7.3
99,"$25,000 to $34,999",275,5.5
100,"$35,000 to $49,999",855,17.1
101,"$50,000 to $74,999","1,122",22.4
102,"$75,000 to $99,999","1,045",20.9
103,"$100,000 to $149,999",717,14.3
104,"$150,000 to $199,999",189,3.8
105,"$200,000 or more",102,2.0
106,Median family income (dollars),"64,433",
107,Mean family income (dollars),"72,130",
108,,,
109,Per capita income (dollars),"23,205",
110,,,
111,Nonfamily households,"1,726",34.5
112,Median nonfamily income (dollars),"32,925",
113,Mean nonfamily income (dollars),"40,949",
114,,,
115,Median earnings for workers (dollars),"28,833",
116,"Median earnings for male full-time, year-round workers (dollars)","44,738",
117,"Median earnings for female full-time, year-round workers (dollars)","34,564",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,9.3,
121,With related children under 18 years,16.5,
122,With related children under 5 years only,19.1,
123,Married couple families,5.6,
124,With related children under 18 years,10.0,
125,With related children under 5 years only,4.2,
126,"Families with female householder, no husband present",24.8,
127,With related children under 18 years,31.5,
128,With related children under 5 years only,27.8,
129,,,
130,All people,12.4,
131,Under 18 years,20.0,
132,Related children under 18 years,19.3,
133,Related children under 5 years,31.5,
134,Related children 5 to 17 years,14.6,
135,18 years and over,9.2,
136,18 to 64 years,9.6,
137,65 years and over,7.4,
138,People in families,11.3,
139,Unrelated individuals 15 years and over,20.1,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
