,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"2,745",100.0
2,Family households (families),"2,218",80.8
3,With own children under 18 years,749,27.3
4,Married-couple family,"1,931",70.3
5,With own children under 18 years,624,22.7
6,"Male householder, no wife present, family",124,4.5
7,With own children under 18 years,33,1.2
8,"Female householder, no husband present, family",163,5.9
9,With own children under 18 years,92,3.4
10,Nonfamily households,527,19.2
11,Householder living alone,428,15.6
12,65 years and over,224,8.2
13,,,
14,Households with one or more people under 18 years,778,28.3
15,Households with one or more people 65 years and over,795,29.0
16,,,
17,Average household size,2.52,
18,Average family size,2.79,
19,,,
20,RELATIONSHIP,,
21,Population in households,"6,906",100.0
22,Householder,"2,745",39.7
23,Spouse,"1,924",27.9
24,Child,"1,704",24.7
25,Other relatives,349,5.1
26,Nonrelatives,184,2.7
27,Unmarried partner,79,1.1
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"3,015",100.0
31,Never married,652,21.6
32,"Now married, except separated","2,032",67.4
33,Separated,28,0.9
34,Widowed,67,2.2
35,Divorced,236,7.8
36,,,
37,Females 15 years and over,"2,919",100.0
38,Never married,461,15.8
39,"Now married, except separated","1,995",68.3
40,Separated,23,0.8
41,Widowed,160,5.5
42,Divorced,280,9.6
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,24,100.0
46,"Unmarried women (widowed, divorced, and never married)",12,50.0
47,"Per 1,000 unmarried women",22,
48,"Per 1,000 women 15 to 50 years old",18,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",32,
51,"Per 1,000 women 35 to 50 years old",18,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,45,100.0
55,Responsible for grandchildren,0,0.0
56,Years responsible for grandchildren,,
57,Less than 1 year,0,0.0
58,1 or 2 years,0,0.0
59,3 or 4 years,0,0.0
60,5 or more years,0,0.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,0,0.0
63,Who are female,0,0.0
64,Who are married,0,0.0
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"1,458",100.0
68,"Nursery school, preschool",20,1.4
69,Kindergarten,53,3.6
70,Elementary school (grades 1-8),649,44.5
71,High school (grades 9-12),492,33.7
72,College or graduate school,244,16.7
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"5,176",100.0
76,Less than 9th grade,34,0.7
77,"9th to 12th grade, no diploma",113,2.2
78,High school graduate (includes equivalency),"1,271",24.6
79,"Some college, no degree","1,340",25.9
80,Associate's degree,417,8.1
81,Bachelor's degree,"1,240",24.0
82,Graduate or professional degree,761,14.7
83,,,
84,Percent high school graduate or higher,97.2,
85,Percent bachelor's degree or higher,38.7,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"5,593",100.0
89,Civilian veterans,738,13.2
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"6,888",100.0
93,Same house,"6,000",87.1
94,Different house in the U.S.,870,12.6
95,Same county,506,7.3
96,Different county,364,5.3
97,Same state,267,3.9
98,Different state,97,1.4
99,Abroad,18,0.3
100,,,
101,PLACE OF BIRTH,,
102,Total population,"6,906",100.0
103,Native,"6,637",96.1
104,Born in United States,"6,589",95.4
105,State of residence,"2,705",39.2
106,Different state,"3,884",56.2
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)",48,0.7
108,Foreign born,269,3.9
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,269,100.0
112,Naturalized U.S. citizen,189,70.3
113,Not a U.S. citizen,80,29.7
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,317,100.0
117,,,
118,Native,48,15.1
119,Entered 2000 or later,9,2.8
120,Entered before 2000,39,12.3
121,,,
122,Foreign born,269,84.9
123,Entered 2000 or later,92,29.0
124,Entered before 2000,177,55.8
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea",269,100.0
128,Europe,153,56.9
129,Asia,18,6.7
130,Africa,0,0.0
131,Oceania,21,7.8
132,Latin America,77,28.6
133,Northern America,0,0.0
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,"6,693",100.0
137,English only,"6,463",96.6
138,Language other than English,230,3.4
139,"Speak English less than ""very well""",84,1.3
140,Spanish,161,2.4
141,"Speak English less than ""very well""",84,1.3
142,Other Indo-European languages,58,0.9
143,"Speak English less than ""very well""",0,0.0
144,Asian and Pacific Islander languages,0,0.0
145,"Speak English less than ""very well""",0,0.0
146,Other languages,11,0.2
147,"Speak English less than ""very well""",0,0.0
148,,,
149,ANCESTRY,,
150,Total population,"6,906",100.0
151,American,296,4.3
152,Arab,0,0.0
153,Czech,45,0.7
154,Danish,82,1.2
155,Dutch,174,2.5
156,English,"1,555",22.5
157,French (except Basque),338,4.9
158,French Canadian,10,0.1
159,German,"2,063",29.9
160,Greek,0,0.0
161,Hungarian,118,1.7
162,Irish,"1,021",14.8
163,Italian,256,3.7
164,Lithuanian,0,0.0
165,Norwegian,275,4.0
166,Polish,77,1.1
167,Portuguese,53,0.8
168,Russian,134,1.9
169,Scotch-Irish,479,6.9
170,Scottish,425,6.2
171,Slovak,0,0.0
172,Subsaharan African,0,0.0
173,Swedish,245,3.5
174,Swiss,131,1.9
175,Ukrainian,13,0.2
176,Welsh,143,2.1
177,West Indian (excluding Hispanic origin groups),0,0.0
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
