,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"12,880",100.0
3,In labor force,"5,177",40.2
4,Civilian labor force,"5,162",40.1
5,Employed,"4,818",37.4
6,Unemployed,344,2.7
7,Armed Forces,15,0.1
8,Not in labor force,"7,703",59.8
9,,,
10,Civilian labor force,"5,162",40.1
11,Percent Unemployed,6.7,
12,,,
13,Females 16 years and over,"6,864",53.3
14,In labor force,"2,525",19.6
15,Civilian labor force,"2,525",19.6
16,Employed,"2,344",18.2
17,,,
18,Own children under 6 years,410,3.2
19,All parents in family in labor force,314,2.4
20,,,
21,Own children 6 to 17 years,"1,202",9.3
22,All parents in family in labor force,680,5.3
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"4,742",100.0
26,"Car, truck, or van -- drove alone","3,668",77.4
27,"Car, truck, or van -- carpooled",433,9.1
28,Public transportation (excluding taxicab),0,0.0
29,Walked,189,4.0
30,Other means,111,2.3
31,Worked at home,341,7.2
32,,,
33,Mean travel time to work (minutes),14.6,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"4,818",100.0
37,"Management, professional, and related occupations","1,252",26.0
38,Service occupations,"1,086",22.5
39,Sales and office occupations,"1,141",23.7
40,"Farming, fishing, and forestry occupations",32,0.7
41,"Construction, extraction, maintenance, and repair occupations",667,13.8
42,"Production, transportation, and material moving occupations",640,13.3
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"4,818",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",173,3.6
47,Construction,540,11.2
48,Manufacturing,220,4.6
49,Wholesale trade,101,2.1
50,Retail trade,659,13.7
51,"Transportation and warehousing, and utilities",202,4.2
52,Information,131,2.7
53,"Finance and insurance, & real estate & rental & leasing",314,6.5
54,"Professional, scientific & mgmt, & admin & waste mgmt services",351,7.3
55,Educational services & health care & social assistance,928,19.3
56,"Arts, entertainment & recreation & accommodation & food services",751,15.6
57,"Other services, except public administration",311,6.5
58,Public administration,137,2.8
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"4,818",100.0
62,Private wage and salary workers,"3,649",75.7
63,Government workers,536,11.1
64,Self-employed in own not incorporated business workers,621,12.9
65,Unpaid family workers,12,0.2
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"7,037",100.0
69,"Less than $10,000",628,8.9
70,"$10,000 to $14,999",517,7.3
71,"$15,000 to $24,999","1,104",15.7
72,"$25,000 to $34,999","1,053",15.0
73,"$35,000 to $49,999","1,208",17.2
74,"$50,000 to $74,999","1,317",18.7
75,"$75,000 to $99,999",683,9.7
76,"$100,000 to $149,999",317,4.5
77,"$150,000 to $199,999",105,1.5
78,"$200,000 or more",105,1.5
79,Median household income (dollars),"36,388",
80,Mean household income (dollars),"47,417",
81,,,
82,With earnings,"3,400",48.3
83,Mean earnings (dollars),"46,642",
84,With Social Security,"4,106",58.3
85,Mean Social Security income (dollars),"15,483",
86,With retirement income,"2,415",34.3
87,Mean retirement income (dollars),"25,084",
88,,,
89,With Supplemental Security Income,211,3.0
90,Mean Supplemental Security Income (dollars),"9,061",
91,With cash public assistance income,127,1.8
92,Mean cash public assistance income (dollars),"9,383",
93,With Food Stamp/SNAP benefits in the past 12 months,533,7.6
94,,,
95,Families,"4,234",100.0
96,"Less than $10,000",150,3.5
97,"$10,000 to $14,999",61,1.4
98,"$15,000 to $24,999",546,12.9
99,"$25,000 to $34,999",715,16.9
100,"$35,000 to $49,999",888,21.0
101,"$50,000 to $74,999",996,23.5
102,"$75,000 to $99,999",503,11.9
103,"$100,000 to $149,999",195,4.6
104,"$150,000 to $199,999",105,2.5
105,"$200,000 or more",75,1.8
106,Median family income (dollars),"45,025",
107,Mean family income (dollars),"56,201",
108,,,
109,Per capita income (dollars),"23,878",
110,,,
111,Nonfamily households,"2,803",66.2
112,Median nonfamily income (dollars),"21,438",
113,Mean nonfamily income (dollars),"32,416",
114,,,
115,Median earnings for workers (dollars),"20,371",
116,"Median earnings for male full-time, year-round workers (dollars)","41,623",
117,"Median earnings for female full-time, year-round workers (dollars)","27,252",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,5.9,
121,With related children under 18 years,8.7,
122,With related children under 5 years only,0.0,
123,Married couple families,4.3,
124,With related children under 18 years,2.7,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",18.2,
127,With related children under 18 years,35.5,
128,With related children under 5 years only,0.0,
129,,,
130,All people,10.6,
131,Under 18 years,10.0,
132,Related children under 18 years,10.0,
133,Related children under 5 years,4.2,
134,Related children 5 to 17 years,11.2,
135,18 years and over,10.7,
136,18 to 64 years,10.8,
137,65 years and over,10.6,
138,People in families,6.4,
139,Unrelated individuals 15 years and over,23.5,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
