,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,187,100.0
3,In labor force,163,87.2
4,Civilian labor force,163,87.2
5,Employed,163,87.2
6,Unemployed,0,0.0
7,Armed Forces,0,0.0
8,Not in labor force,24,12.8
9,,,
10,Civilian labor force,163,87.2
11,Percent Unemployed,0.0,
12,,,
13,Females 16 years and over,93,49.7
14,In labor force,79,42.2
15,Civilian labor force,79,42.2
16,Employed,79,42.2
17,,,
18,Own children under 6 years,41,21.9
19,All parents in family in labor force,41,21.9
20,,,
21,Own children 6 to 17 years,29,15.5
22,All parents in family in labor force,29,15.5
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,162,100.0
26,"Car, truck, or van -- drove alone",15,9.3
27,"Car, truck, or van -- carpooled",5,3.1
28,Public transportation (excluding taxicab),0,0.0
29,Walked,12,7.4
30,Other means,11,6.8
31,Worked at home,119,73.5
32,,,
33,Mean travel time to work (minutes),16.0,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,163,100.0
37,"Management, professional, and related occupations",41,25.2
38,Service occupations,8,4.9
39,Sales and office occupations,26,16.0
40,"Farming, fishing, and forestry occupations",57,35.0
41,"Construction, extraction, maintenance, and repair occupations",28,17.2
42,"Production, transportation, and material moving occupations",3,1.8
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,163,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",96,58.9
47,Construction,21,12.9
48,Manufacturing,0,0.0
49,Wholesale trade,0,0.0
50,Retail trade,25,15.3
51,"Transportation and warehousing, and utilities",4,2.5
52,Information,0,0.0
53,"Finance and insurance, & real estate & rental & leasing",0,0.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",0,0.0
55,Educational services & health care & social assistance,9,5.5
56,"Arts, entertainment & recreation & accommodation & food services",8,4.9
57,"Other services, except public administration",0,0.0
58,Public administration,0,0.0
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,163,100.0
62,Private wage and salary workers,138,84.7
63,Government workers,7,4.3
64,Self-employed in own not incorporated business workers,18,11.0
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,94,100.0
69,"Less than $10,000",0,0.0
70,"$10,000 to $14,999",0,0.0
71,"$15,000 to $24,999",27,28.7
72,"$25,000 to $34,999",21,22.3
73,"$35,000 to $49,999",8,8.5
74,"$50,000 to $74,999",0,0.0
75,"$75,000 to $99,999",13,13.8
76,"$100,000 to $149,999",25,26.6
77,"$150,000 to $199,999",0,0.0
78,"$200,000 or more",0,0.0
79,Median household income (dollars),"32,250",
80,Mean household income (dollars),"65,578",
81,,,
82,With earnings,88,93.6
83,Mean earnings (dollars),"64,867",
84,With Social Security,9,9.6
85,Mean Social Security income (dollars),"15,711",
86,With retirement income,4,4.3
87,Mean retirement income (dollars),"63,975",
88,,,
89,With Supplemental Security Income,0,0.0
90,Mean Supplemental Security Income (dollars),0,
91,With cash public assistance income,0,0.0
92,Mean cash public assistance income (dollars),0,
93,With Food Stamp/SNAP benefits in the past 12 months,19,20.2
94,,,
95,Families,82,100.0
96,"Less than $10,000",0,0.0
97,"$10,000 to $14,999",0,0.0
98,"$15,000 to $24,999",21,25.6
99,"$25,000 to $34,999",21,25.6
100,"$35,000 to $49,999",6,7.3
101,"$50,000 to $74,999",0,0.0
102,"$75,000 to $99,999",9,11.0
103,"$100,000 to $149,999",25,30.5
104,"$150,000 to $199,999",0,0.0
105,"$200,000 or more",0,0.0
106,Median family income (dollars),"32,250",
107,Mean family income (dollars),"69,027",
108,,,
109,Per capita income (dollars),"21,373",
110,,,
111,Nonfamily households,12,14.6
112,Median nonfamily income (dollars),"30,000",
113,Mean nonfamily income (dollars),"42,008",
114,,,
115,Median earnings for workers (dollars),"21,406",
116,"Median earnings for male full-time, year-round workers (dollars)","36,875",
117,"Median earnings for female full-time, year-round workers (dollars)","25,850",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,23.2,
121,With related children under 18 years,70.4,
122,With related children under 5 years only,0.0,
123,Married couple families,23.2,
124,With related children under 18 years,70.4,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",0.0,
127,With related children under 18 years,0.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,36.4,
131,Under 18 years,71.4,
132,Related children under 18 years,71.4,
133,Related children under 5 years,80.5,
134,Related children 5 to 17 years,58.6,
135,18 years and over,23.0,
136,18 to 64 years,25.0,
137,65 years and over,0.0,
138,People in families,37.7,
139,Unrelated individuals 15 years and over,14.3,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
