,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"14,118",100.0
3,In labor force,"8,405",59.5
4,Civilian labor force,"8,405",59.5
5,Employed,"7,681",54.4
6,Unemployed,724,5.1
7,Armed Forces,0,0.0
8,Not in labor force,"5,713",40.5
9,,,
10,Civilian labor force,"8,405",59.5
11,Percent Unemployed,8.6,
12,,,
13,Females 16 years and over,"7,266",51.5
14,In labor force,"3,901",27.6
15,Civilian labor force,"3,901",27.6
16,Employed,"3,615",25.6
17,,,
18,Own children under 6 years,"1,212",8.6
19,All parents in family in labor force,829,5.9
20,,,
21,Own children 6 to 17 years,"3,097",21.9
22,All parents in family in labor force,"1,902",13.5
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"7,509",100.0
26,"Car, truck, or van -- drove alone","5,661",75.4
27,"Car, truck, or van -- carpooled",999,13.3
28,Public transportation (excluding taxicab),98,1.3
29,Walked,243,3.2
30,Other means,99,1.3
31,Worked at home,409,5.4
32,,,
33,Mean travel time to work (minutes),25.4,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"7,681",100.0
37,"Management, professional, and related occupations","1,705",22.2
38,Service occupations,"1,564",20.4
39,Sales and office occupations,"1,878",24.4
40,"Farming, fishing, and forestry occupations",265,3.5
41,"Construction, extraction, maintenance, and repair occupations",905,11.8
42,"Production, transportation, and material moving occupations","1,364",17.8
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"7,681",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",347,4.5
47,Construction,642,8.4
48,Manufacturing,"1,338",17.4
49,Wholesale trade,248,3.2
50,Retail trade,"1,059",13.8
51,"Transportation and warehousing, and utilities",252,3.3
52,Information,142,1.8
53,"Finance and insurance, & real estate & rental & leasing",424,5.5
54,"Professional, scientific & mgmt, & admin & waste mgmt services",479,6.2
55,Educational services & health care & social assistance,"1,367",17.8
56,"Arts, entertainment & recreation & accommodation & food services",670,8.7
57,"Other services, except public administration",378,4.9
58,Public administration,335,4.4
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"7,681",100.0
62,Private wage and salary workers,"5,922",77.1
63,Government workers,"1,056",13.7
64,Self-employed in own not incorporated business workers,686,8.9
65,Unpaid family workers,17,0.2
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"6,702",100.0
69,"Less than $10,000",525,7.8
70,"$10,000 to $14,999",320,4.8
71,"$15,000 to $24,999","1,021",15.2
72,"$25,000 to $34,999",749,11.2
73,"$35,000 to $49,999","1,039",15.5
74,"$50,000 to $74,999","1,480",22.1
75,"$75,000 to $99,999",750,11.2
76,"$100,000 to $149,999",599,8.9
77,"$150,000 to $199,999",133,2.0
78,"$200,000 or more",86,1.3
79,Median household income (dollars),"46,051",
80,Mean household income (dollars),"54,621",
81,,,
82,With earnings,"4,917",73.4
83,Mean earnings (dollars),"54,868",
84,With Social Security,"2,414",36.0
85,Mean Social Security income (dollars),"15,833",
86,With retirement income,"1,363",20.3
87,Mean retirement income (dollars),"18,394",
88,,,
89,With Supplemental Security Income,400,6.0
90,Mean Supplemental Security Income (dollars),"7,296",
91,With cash public assistance income,271,4.0
92,Mean cash public assistance income (dollars),"2,533",
93,With Food Stamp/SNAP benefits in the past 12 months,"1,341",20.0
94,,,
95,Families,"4,992",100.0
96,"Less than $10,000",216,4.3
97,"$10,000 to $14,999",192,3.8
98,"$15,000 to $24,999",575,11.5
99,"$25,000 to $34,999",550,11.0
100,"$35,000 to $49,999",830,16.6
101,"$50,000 to $74,999","1,219",24.4
102,"$75,000 to $99,999",628,12.6
103,"$100,000 to $149,999",563,11.3
104,"$150,000 to $199,999",133,2.7
105,"$200,000 or more",86,1.7
106,Median family income (dollars),"51,646",
107,Mean family income (dollars),"61,563",
108,,,
109,Per capita income (dollars),"20,370",
110,,,
111,Nonfamily households,"1,710",34.3
112,Median nonfamily income (dollars),"21,228",
113,Mean nonfamily income (dollars),"29,841",
114,,,
115,Median earnings for workers (dollars),"24,961",
116,"Median earnings for male full-time, year-round workers (dollars)","43,546",
117,"Median earnings for female full-time, year-round workers (dollars)","32,830",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,9.9,
121,With related children under 18 years,17.7,
122,With related children under 5 years only,34.7,
123,Married couple families,4.4,
124,With related children under 18 years,5.9,
125,With related children under 5 years only,15.1,
126,"Families with female householder, no husband present",36.2,
127,With related children under 18 years,48.0,
128,With related children under 5 years only,56.0,
129,,,
130,All people,13.1,
131,Under 18 years,20.3,
132,Related children under 18 years,19.0,
133,Related children under 5 years,27.9,
134,Related children 5 to 17 years,16.1,
135,18 years and over,10.7,
136,18 to 64 years,12.1,
137,65 years and over,5.3,
138,People in families,10.5,
139,Unrelated individuals 15 years and over,28.8,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
