,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"4,609",100.0
2,Family households (families),"3,145",68.2
3,With own children under 18 years,988,21.4
4,Married-couple family,"2,516",54.6
5,With own children under 18 years,761,16.5
6,"Male householder, no wife present, family",302,6.6
7,With own children under 18 years,106,2.3
8,"Female householder, no husband present, family",327,7.1
9,With own children under 18 years,121,2.6
10,Nonfamily households,"1,464",31.8
11,Householder living alone,"1,258",27.3
12,65 years and over,616,13.4
13,,,
14,Households with one or more people under 18 years,"1,211",26.3
15,Households with one or more people 65 years and over,"1,710",37.1
16,,,
17,Average household size,2.48,
18,Average family size,2.98,
19,,,
20,RELATIONSHIP,,
21,Population in households,"11,435",100.0
22,Householder,"4,609",40.3
23,Spouse,"2,496",21.8
24,Child,"2,736",23.9
25,Other relatives,983,8.6
26,Nonrelatives,611,5.3
27,Unmarried partner,281,2.5
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"4,717",100.0
31,Never married,"1,038",22.0
32,"Now married, except separated","2,697",57.2
33,Separated,64,1.4
34,Widowed,163,3.5
35,Divorced,755,16.0
36,,,
37,Females 15 years and over,"4,862",100.0
38,Never married,746,15.3
39,"Now married, except separated","2,652",54.5
40,Separated,87,1.8
41,Widowed,540,11.1
42,Divorced,837,17.2
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,221,100.0
46,"Unmarried women (widowed, divorced, and never married)",102,46.2
47,"Per 1,000 unmarried women",96,
48,"Per 1,000 women 15 to 50 years old",93,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",191,
51,"Per 1,000 women 35 to 50 years old",44,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,451,100.0
55,Responsible for grandchildren,320,71.0
56,Years responsible for grandchildren,,
57,Less than 1 year,49,10.9
58,1 or 2 years,79,17.5
59,3 or 4 years,73,16.2
60,5 or more years,119,26.4
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,320,71.0
63,Who are female,190,42.1
64,Who are married,290,64.3
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"1,998",100.0
68,"Nursery school, preschool",306,15.3
69,Kindergarten,72,3.6
70,Elementary school (grades 1-8),631,31.6
71,High school (grades 9-12),643,32.2
72,College or graduate school,346,17.3
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"8,028",100.0
76,Less than 9th grade,491,6.1
77,"9th to 12th grade, no diploma","1,086",13.5
78,High school graduate (includes equivalency),"3,172",39.5
79,"Some college, no degree","1,991",24.8
80,Associate's degree,656,8.2
81,Bachelor's degree,463,5.8
82,Graduate or professional degree,169,2.1
83,,,
84,Percent high school graduate or higher,80.4,
85,Percent bachelor's degree or higher,7.9,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"9,167",100.0
89,Civilian veterans,"1,772",19.3
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"11,225",100.0
93,Same house,"8,677",77.3
94,Different house in the U.S.,"2,529",22.5
95,Same county,"1,859",16.6
96,Different county,670,6.0
97,Same state,358,3.2
98,Different state,312,2.8
99,Abroad,19,0.2
100,,,
101,PLACE OF BIRTH,,
102,Total population,"11,435",100.0
103,Native,"11,176",97.7
104,Born in United States,"11,163",97.6
105,State of residence,"5,153",45.1
106,Different state,"6,010",52.6
