,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"57,245",100.0
3,In labor force,"37,569",65.6
4,Civilian labor force,"37,551",65.6
5,Employed,"34,027",59.4
6,Unemployed,"3,524",6.2
7,Armed Forces,18,0.0
8,Not in labor force,"19,676",34.4
9,,,
10,Civilian labor force,"37,551",65.6
11,Percent Unemployed,9.4,
12,,,
13,Females 16 years and over,"28,931",50.5
14,In labor force,"17,725",31.0
15,Civilian labor force,"17,725",31.0
16,Employed,"16,393",28.6
17,,,
18,Own children under 6 years,"5,786",10.1
19,All parents in family in labor force,"3,909",6.8
20,,,
21,Own children 6 to 17 years,"9,537",16.7
22,All parents in family in labor force,"6,935",12.1
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"33,454",100.0
26,"Car, truck, or van -- drove alone","25,507",76.2
27,"Car, truck, or van -- carpooled","3,683",11.0
28,Public transportation (excluding taxicab),"1,057",3.2
29,Walked,837,2.5
30,Other means,810,2.4
31,Worked at home,"1,560",4.7
32,,,
33,Mean travel time to work (minutes),20.8,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"34,027",100.0
37,"Management, professional, and related occupations","8,761",25.7
38,Service occupations,"6,185",18.2
39,Sales and office occupations,"9,301",27.3
40,"Farming, fishing, and forestry occupations",617,1.8
41,"Construction, extraction, maintenance, and repair occupations","3,445",10.1
42,"Production, transportation, and material moving occupations","5,718",16.8
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"34,027",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",801,2.4
47,Construction,"2,501",7.4
48,Manufacturing,"5,112",15.0
49,Wholesale trade,840,2.5
50,Retail trade,"5,103",15.0
51,"Transportation and warehousing, and utilities","1,468",4.3
52,Information,569,1.7
53,"Finance and insurance, & real estate & rental & leasing","2,453",7.2
54,"Professional, scientific & mgmt, & admin & waste mgmt services","2,534",7.4
55,Educational services & health care & social assistance,"6,435",18.9
56,"Arts, entertainment & recreation & accommodation & food services","3,163",9.3
57,"Other services, except public administration","1,784",5.2
58,Public administration,"1,264",3.7
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"34,027",100.0
62,Private wage and salary workers,"27,023",79.4
63,Government workers,"4,565",13.4
64,Self-employed in own not incorporated business workers,"2,380",7.0
65,Unpaid family workers,59,0.2
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"28,732",100.0
69,"Less than $10,000","2,531",8.8
70,"$10,000 to $14,999","1,755",6.1
71,"$15,000 to $24,999","3,846",13.4
72,"$25,000 to $34,999","4,109",14.3
73,"$35,000 to $49,999","4,893",17.0
74,"$50,000 to $74,999","5,764",20.1
75,"$75,000 to $99,999","3,078",10.7
76,"$100,000 to $149,999","2,081",7.2
77,"$150,000 to $199,999",413,1.4
78,"$200,000 or more",262,0.9
79,Median household income (dollars),"41,377",
80,Mean household income (dollars),"50,640",
81,,,
82,With earnings,"22,843",79.5
83,Mean earnings (dollars),"49,464",
84,With Social Security,"7,962",27.7
85,Mean Social Security income (dollars),"14,848",
86,With retirement income,"4,768",16.6
87,Mean retirement income (dollars),"17,267",
88,,,
89,With Supplemental Security Income,"1,376",4.8
90,Mean Supplemental Security Income (dollars),"7,256",
91,With cash public assistance income,"1,061",3.7
92,Mean cash public assistance income (dollars),"2,435",
93,With Food Stamp/SNAP benefits in the past 12 months,"5,744",20.0
94,,,
95,Families,"18,549",100.0
96,"Less than $10,000","1,199",6.5
97,"$10,000 to $14,999",632,3.4
98,"$15,000 to $24,999","2,187",11.8
99,"$25,000 to $34,999","2,300",12.4
100,"$35,000 to $49,999","3,117",16.8
101,"$50,000 to $74,999","4,108",22.1
102,"$75,000 to $99,999","2,634",14.2
103,"$100,000 to $149,999","1,780",9.6
104,"$150,000 to $199,999",352,1.9
105,"$200,000 or more",240,1.3
106,Median family income (dollars),"49,292",
107,Mean family income (dollars),"58,320",
108,,,
109,Per capita income (dollars),"20,703",
110,,,
111,Nonfamily households,"10,183",54.9
112,Median nonfamily income (dollars),"27,764",
113,Mean nonfamily income (dollars),"33,081",
114,,,
115,Median earnings for workers (dollars),"24,989",
116,"Median earnings for male full-time, year-round workers (dollars)","38,990",
117,"Median earnings for female full-time, year-round workers (dollars)","31,241",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,11.7,
121,With related children under 18 years,17.5,
122,With related children under 5 years only,24.5,
123,Married couple families,5.1,
124,With related children under 18 years,7.1,
125,With related children under 5 years only,5.8,
126,"Families with female householder, no husband present",31.6,
127,With related children under 18 years,37.8,
128,With related children under 5 years only,53.9,
129,,,
130,All people,15.5,
131,Under 18 years,18.1,
132,Related children under 18 years,17.6,
133,Related children under 5 years,22.6,
134,Related children 5 to 17 years,15.3,
135,18 years and over,14.7,
136,18 to 64 years,15.8,
137,65 years and over,8.9,
138,People in families,11.3,
139,Unrelated individuals 15 years and over,29.8,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
