,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"7,201",100.0
3,In labor force,"3,898",54.1
4,Civilian labor force,"3,889",54.0
5,Employed,"3,562",49.5
6,Unemployed,327,4.5
7,Armed Forces,9,0.1
8,Not in labor force,"3,303",45.9
9,,,
10,Civilian labor force,"3,889",54.0
11,Percent Unemployed,8.4,
12,,,
13,Females 16 years and over,"3,863",53.6
14,In labor force,"1,908",26.5
15,Civilian labor force,"1,899",26.4
16,Employed,"1,752",24.3
17,,,
18,Own children under 6 years,597,8.3
19,All parents in family in labor force,376,5.2
20,,,
21,Own children 6 to 17 years,"1,087",15.1
22,All parents in family in labor force,891,12.4
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"3,420",100.0
26,"Car, truck, or van -- drove alone","2,670",78.1
27,"Car, truck, or van -- carpooled",296,8.7
28,Public transportation (excluding taxicab),54,1.6
29,Walked,114,3.3
30,Other means,119,3.5
31,Worked at home,167,4.9
32,,,
33,Mean travel time to work (minutes),21.3,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"3,562",100.0
37,"Management, professional, and related occupations",889,25.0
38,Service occupations,652,18.3
39,Sales and office occupations,923,25.9
40,"Farming, fishing, and forestry occupations",97,2.7
41,"Construction, extraction, maintenance, and repair occupations",440,12.4
42,"Production, transportation, and material moving occupations",561,15.7
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"3,562",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",183,5.1
47,Construction,245,6.9
48,Manufacturing,486,13.6
49,Wholesale trade,95,2.7
50,Retail trade,532,14.9
51,"Transportation and warehousing, and utilities",180,5.1
52,Information,53,1.5
53,"Finance and insurance, & real estate & rental & leasing",164,4.6
54,"Professional, scientific & mgmt, & admin & waste mgmt services",350,9.8
55,Educational services & health care & social assistance,614,17.2
56,"Arts, entertainment & recreation & accommodation & food services",287,8.1
57,"Other services, except public administration",250,7.0
58,Public administration,123,3.5
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"3,562",100.0
62,Private wage and salary workers,"2,644",74.2
63,Government workers,462,13.0
64,Self-employed in own not incorporated business workers,439,12.3
65,Unpaid family workers,17,0.5
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"3,648",100.0
69,"Less than $10,000",299,8.2
70,"$10,000 to $14,999",302,8.3
71,"$15,000 to $24,999",501,13.7
72,"$25,000 to $34,999",528,14.5
73,"$35,000 to $49,999",748,20.5
74,"$50,000 to $74,999",606,16.6
75,"$75,000 to $99,999",376,10.3
76,"$100,000 to $149,999",180,4.9
77,"$150,000 to $199,999",73,2.0
78,"$200,000 or more",35,1.0
79,Median household income (dollars),"39,127",
80,Mean household income (dollars),"48,467",
81,,,
82,With earnings,"2,326",63.8
83,Mean earnings (dollars),"50,295",
84,With Social Security,"1,626",44.6
85,Mean Social Security income (dollars),"16,527",
86,With retirement income,"1,024",28.1
87,Mean retirement income (dollars),"14,413",
88,,,
89,With Supplemental Security Income,201,5.5
90,Mean Supplemental Security Income (dollars),"4,263",
91,With cash public assistance income,79,2.2
92,Mean cash public assistance income (dollars),"4,062",
93,With Food Stamp/SNAP benefits in the past 12 months,515,14.1
94,,,
95,Families,"2,404",100.0
96,"Less than $10,000",31,1.3
97,"$10,000 to $14,999",74,3.1
98,"$15,000 to $24,999",273,11.4
99,"$25,000 to $34,999",357,14.9
100,"$35,000 to $49,999",534,22.2
101,"$50,000 to $74,999",557,23.2
102,"$75,000 to $99,999",311,12.9
103,"$100,000 to $149,999",159,6.6
104,"$150,000 to $199,999",73,3.0
105,"$200,000 or more",35,1.5
106,Median family income (dollars),"47,218",
107,Mean family income (dollars),"59,656",
108,,,
109,Per capita income (dollars),"20,560",
110,,,
111,Nonfamily households,"1,244",51.7
112,Median nonfamily income (dollars),"17,250",
113,Mean nonfamily income (dollars),"24,725",
114,,,
115,Median earnings for workers (dollars),"21,305",
116,"Median earnings for male full-time, year-round workers (dollars)","36,569",
117,"Median earnings for female full-time, year-round workers (dollars)","27,815",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,7.7,
121,With related children under 18 years,12.2,
122,With related children under 5 years only,14.4,
123,Married couple families,4.3,
124,With related children under 18 years,9.2,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",24.6,
127,With related children under 18 years,17.4,
128,With related children under 5 years only,100.0,
129,,,
130,All people,13.8,
131,Under 18 years,17.7,
132,Related children under 18 years,17.7,
133,Related children under 5 years,13.0,
134,Related children 5 to 17 years,19.7,
135,18 years and over,12.9,
136,18 to 64 years,15.2,
137,65 years and over,7.6,
138,People in families,9.5,
139,Unrelated individuals 15 years and over,31.7,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
