,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,"6,001",100.0
3,Occupied housing units,"5,467",91.1
4,Vacant housing units,534,8.9
5,,,
6,Homeowner vacancy rate,4.5,
7,Rental vacancy rate,10.6,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,"6,001",100.0
11,"1-unit, detached","4,324",72.1
12,"1-unit, attached",61,1.0
13,2 units,77,1.3
14,3 or 4 units,185,3.1
15,5 to 9 units,170,2.8
16,10 to 19 units,19,0.3
17,20 or more units,25,0.4
18,Mobile home,"1,140",19.0
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,"6,001",100.0
23,Built 2005 or later,193,3.2
24,Built 2000 to 2004,410,6.8
25,Built 1990 to 1999,738,12.3
26,Built 1980 to 1989,615,10.2
27,Built 1970 to 1979,"1,447",24.1
28,Built 1960 to 1969,630,10.5
29,Built 1950 to 1959,610,10.2
30,Built 1940 to 1949,816,13.6
31,Built 1939 or earlier,542,9.0
32,,,
33,ROOMS,,
34,Total housing units,"6,001",100.0
35,1 room,0,0.0
36,2 rooms,53,0.9
37,3 rooms,231,3.8
38,4 rooms,"1,143",19.0
39,5 rooms,"1,833",30.5
40,6 rooms,"1,224",20.4
41,7 rooms,751,12.5
42,8 rooms,320,5.3
43,9 rooms or more,446,7.4
44,Median rooms,5.4,
45,,,
46,BEDROOMS,,
47,Total housing units,"6,001",100.0
48,No bedroom,0,0.0
49,1 bedroom,391,6.5
50,2 bedrooms,"1,658",27.6
51,3 bedrooms,"3,187",53.1
52,4 bedrooms,567,9.4
53,5 or more bedrooms,198,3.3
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,"5,467",100.0
57,Owner-occupied,"4,201",76.8
58,Renter-occupied,"1,266",23.2
59,,,
60,Average household size of owner-occupied unit,2.56,
61,Average household size of renter-occupied unit,2.60,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,"5,467",100.0
65,Moved in 2005 or later,"1,492",27.3
66,Moved in 2000 to 2004,"1,278",23.4
67,Moved in 1990 to 1999,"1,393",25.5
68,Moved in 1980 to 1989,588,10.8
69,Moved in 1970 to 1979,482,8.8
70,Moved in 1969 or earlier,234,4.3
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,"5,467",100.0
74,No vehicles available,386,7.1
75,1 vehicle available,"1,553",28.4
76,2 vehicles available,"1,906",34.9
77,3 or more vehicles available,"1,622",29.7
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,"5,467",100.0
81,Utility gas,"1,841",33.7
82,"Bottled, tank, or LP gas",83,1.5
83,Electricity,"2,469",45.2
84,"Fuel oil, kerosene, etc.",128,2.3
85,Coal or coke,0,0.0
86,Wood,870,15.9
87,Solar energy,0,0.0
88,Other fuel,76,1.4
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,"5,467",100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,177,3.2
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,"5,467",100.0
99,1.00 or less,"5,323",97.4
100,1.01 to 1.50,128,2.3
101,1.51 or more,16,0.3
102,,,
103,VALUE,,
104,Owner-occupied units,"4,201",100.0
105,"Less than $50,000",525,12.5
106,"$50,000 to $99,999",520,12.4
107,"$100,000 to $149,999",937,22.3
108,"$150,000 to $199,999",523,12.4
109,"$200,000 to $299,999","1,053",25.1
110,"$300,000 to $499,999",432,10.3
111,"$500,000 to $999,999",155,3.7
112,"$1,000,000 or more",56,1.3
113,Median (dollars),"157,300",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,"4,201",100.0
117,Housing units with a mortgage,"2,425",57.7
118,Housing units without a mortgage,"1,776",42.3
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,"2,425",100.0
122,Less than $300,0,0.0
123,$300 to $499,8,0.3
124,$500 to $699,165,6.8
125,$700 to $999,592,24.4
126,"$1,000 to $1,499",955,39.4
127,"$1,500 to $1,999",369,15.2
128,"$2,000 or more",336,13.9
129,Median (dollars),"1,275",
130,,,
131,Housing units without a mortgage,"1,776",100.0
132,Less than $100,94,5.3
133,$100 to $199,210,11.8
134,$200 to $299,529,29.8
135,$300 to $399,451,25.4
136,$400 or more,492,27.7
137,Median (dollars),310,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),"2,425",100.0
141,Less than 20.0 percent,780,32.2
142,20.0 to 24.9 percent,418,17.2
143,25.0 to 29.9 percent,293,12.1
144,30.0 to 34.9 percent,154,6.4
145,35.0 percent or more,780,32.2
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),"1,776",100.0
150,Less than 10.0 percent,827,46.6
151,10.0 to 14.9 percent,272,15.3
152,15.0 to 19.9 percent,138,7.8
153,20.0 to 24.9 percent,159,9.0
154,25.0 to 29.9 percent,98,5.5
155,30.0 to 34.9 percent,55,3.1
