,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"31,396",100.0
2,Family households (families),"20,032",63.8
3,With own children under 18 years,"10,103",32.2
4,Married-couple family,"16,065",51.2
5,With own children under 18 years,"7,614",24.3
6,"Male householder, no wife present, family","1,368",4.4
7,With own children under 18 years,932,3.0
8,"Female householder, no husband present, family","2,599",8.3
9,With own children under 18 years,"1,557",5.0
10,Nonfamily households,"11,364",36.2
11,Householder living alone,"8,961",28.5
12,65 years and over,"2,918",9.3
13,,,
14,Households with one or more people under 18 years,"10,676",34.0
15,Households with one or more people 65 years and over,"6,305",20.1
16,,,
17,Average household size,2.52,
18,Average family size,3.11,
19,,,
20,RELATIONSHIP,,
21,Population in households,"79,271",100.0
22,Householder,"31,396",39.6
23,Spouse,"16,018",20.2
24,Child,"23,123",29.2
25,Other relatives,"3,105",3.9
26,Nonrelatives,"5,629",7.1
27,Unmarried partner,"2,079",2.6
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"30,636",100.0
31,Never married,"8,953",29.2
32,"Now married, except separated","17,361",56.7
33,Separated,339,1.1
34,Widowed,506,1.7
35,Divorced,"3,477",11.3
36,,,
37,Females 15 years and over,"32,516",100.0
38,Never married,"8,389",25.8
39,"Now married, except separated","16,511",50.8
40,Separated,474,1.5
41,Widowed,"2,755",8.5
42,Divorced,"4,387",13.5
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,"1,432",100.0
46,"Unmarried women (widowed, divorced, and never married)",359,25.1
47,"Per 1,000 unmarried women",37,
48,"Per 1,000 women 15 to 50 years old",70,
49,"Per 1,000 women 15 to 19 years old",32,
50,"Per 1,000 women 20 to 34 years old",116,
51,"Per 1,000 women 35 to 50 years old",37,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,"1,048",100.0
55,Responsible for grandchildren,292,27.9
56,Years responsible for grandchildren,,
57,Less than 1 year,78,7.4
58,1 or 2 years,58,5.5
59,3 or 4 years,14,1.3
60,5 or more years,142,13.5
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,292,27.9
63,Who are female,205,19.6
64,Who are married,151,14.4
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"19,487",100.0
68,"Nursery school, preschool","1,199",6.2
69,Kindergarten,"1,331",6.8
70,Elementary school (grades 1-8),"8,139",41.8
71,High school (grades 9-12),"4,090",21.0
72,College or graduate school,"4,728",24.3
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"53,921",100.0
76,Less than 9th grade,"1,588",2.9
77,"9th to 12th grade, no diploma","2,444",4.5
78,High school graduate (includes equivalency),"10,743",19.9
79,"Some college, no degree","13,732",25.5
80,Associate's degree,"4,330",8.0
81,Bachelor's degree,"14,928",27.7
82,Graduate or professional degree,"6,156",11.4
83,,,
84,Percent high school graduate or higher,92.5,
85,Percent bachelor's degree or higher,39.1,
86,,,
87,VETERAN STATUS,,
88,Civilian population 18 years and over,"59,854",100.0
89,Civilian veterans,"6,333",10.6
90,,,
91,RESIDENCE 1 YEAR AGO,,
92,Population 1 year and over,"77,999",100.0
93,Same house,"63,465",81.4
94,Different house in the U.S.,"14,007",18.0
95,Same county,"7,081",9.1
96,Different county,"6,926",8.9
97,Same state,"4,178",5.4
98,Different state,"2,748",3.5
99,Abroad,527,0.7
100,,,
101,PLACE OF BIRTH,,
102,Total population,"79,356",100.0
103,Native,"68,396",86.2
104,Born in United States,"67,374",84.9
105,State of residence,"34,467",43.4
106,Different state,"32,907",41.5
107,"Born in P.R, U.S. Island areas, or abroad to American parent(s)","1,022",1.3
108,Foreign born,"10,960",13.8
109,,,
110,U.S. CITIZENSHIP STATUS,,
111,Foreign-born population,"10,960",100.0
112,Naturalized U.S. citizen,"4,029",36.8
113,Not a U.S. citizen,"6,931",63.2
114,,,
115,YEAR OF ENTRY,,
116,Population born outside the United States,"11,982",100.0
117,,,
118,Native,"1,022",8.5
119,Entered 2000 or later,214,1.8
120,Entered before 2000,808,6.7
121,,,
122,Foreign born,"10,960",91.5
123,Entered 2000 or later,"3,503",29.2
124,Entered before 2000,"7,457",62.2
125,,,
126,WORLD REGION OF BIRTH OF FOREIGN BORN,,
127,"Foreign-born population, excluding population born at sea","10,960",100.0
128,Europe,"1,365",12.5
129,Asia,"3,025",27.6
130,Africa,229,2.1
131,Oceania,307,2.8
132,Latin America,"5,573",50.8
133,Northern America,461,4.2
134,,,
135,LANGUAGE SPOKEN AT HOME,,
136,Population 5 years and over,"73,766",100.0
137,English only,"59,703",80.9
138,Language other than English,"14,063",19.1
139,"Speak English less than ""very well""","6,499",8.8
140,Spanish,"8,550",11.6
141,"Speak English less than ""very well""","4,677",6.3
142,Other Indo-European languages,"2,563",3.5
143,"Speak English less than ""very well""",700,0.9
144,Asian and Pacific Islander languages,"2,689",3.6
145,"Speak English less than ""very well""","1,045",1.4
146,Other languages,261,0.4
147,"Speak English less than ""very well""",77,0.1
148,,,
149,ANCESTRY,,
150,Total population,"79,356",100.0
151,American,"2,938",3.7
152,Arab,420,0.5
153,Czech,445,0.6
154,Danish,856,1.1
155,Dutch,"1,866",2.4
156,English,"14,011",17.7
157,French (except Basque),"3,030",3.8
158,French Canadian,495,0.6
159,German,"18,257",23.0
160,Greek,430,0.5
161,Hungarian,285,0.4
162,Irish,"9,554",12.0
163,Italian,"3,436",4.3
164,Lithuanian,177,0.2
165,Norwegian,"3,692",4.7
166,Polish,"1,768",2.2
167,Portuguese,425,0.5
168,Russian,"1,095",1.4
169,Scotch-Irish,"2,002",2.5
170,Scottish,"3,107",3.9
171,Slovak,85,0.1
172,Subsaharan African,392,0.5
173,Swedish,"2,806",3.5
174,Swiss,629,0.8
175,Ukrainian,267,0.3
176,Welsh,809,1.0
177,West Indian (excluding Hispanic origin groups),52,0.1
178,,,
179,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
