,label,value,percent
0,-- Table/Item --,Value,Percent
1,Total households,"5,587",100.0
2,Family households (families),"3,572",63.9
3,With own children under 18 years,"1,622",29.0
4,Married-couple family,"2,889",51.7
5,With own children under 18 years,"1,074",19.2
6,"Male householder, no wife present, family",159,2.8
7,With own children under 18 years,139,2.5
8,"Female householder, no husband present, family",524,9.4
9,With own children under 18 years,409,7.3
10,Nonfamily households,"2,015",36.1
11,Householder living alone,"1,770",31.7
12,65 years and over,708,12.7
13,,,
14,Households with one or more people under 18 years,"1,709",30.6
15,Households with one or more people 65 years and over,"1,567",28.0
16,,,
17,Average household size,2.35,
18,Average family size,2.91,
19,,,
20,RELATIONSHIP,,
21,Population in households,"13,154",100.0
22,Householder,"5,587",42.5
23,Spouse,"2,868",21.8
24,Child,"3,430",26.1
25,Other relatives,540,4.1
26,Nonrelatives,729,5.5
27,Unmarried partner,508,3.9
28,,,
29,MARITAL STATUS,,
30,Males 15 years and over,"5,408",100.0
31,Never married,"1,300",24.0
32,"Now married, except separated","3,033",56.1
33,Separated,96,1.8
34,Widowed,211,3.9
35,Divorced,768,14.2
36,,,
37,Females 15 years and over,"5,536",100.0
38,Never married,"1,277",23.1
39,"Now married, except separated","2,870",51.8
40,Separated,47,0.8
41,Widowed,496,9.0
42,Divorced,846,15.3
43,,,
44,FERTILITY,,
45,Number of women 15 to 50 years old who had a birth in past 12 mo,155,100.0
46,"Unmarried women (widowed, divorced, and never married)",27,17.4
47,"Per 1,000 unmarried women",17,
48,"Per 1,000 women 15 to 50 years old",51,
49,"Per 1,000 women 15 to 19 years old",0,
50,"Per 1,000 women 20 to 34 years old",134,
51,"Per 1,000 women 35 to 50 years old",0,
52,,,
53,GRANDPARENTS,,
54,Number of grandparents living with own grandchildren under 18 years,199,100.0
55,Responsible for grandchildren,106,53.3
56,Years responsible for grandchildren,,
57,Less than 1 year,19,9.5
58,1 or 2 years,21,10.6
59,3 or 4 years,56,28.1
60,5 or more years,10,5.0
61,,,
62,Number of grandparents resp for own grandchildren under 18 yrs,106,53.3
63,Who are female,70,35.2
64,Who are married,68,34.2
65,,,
66,SCHOOL ENROLLMENT,,
67,Population 3 years and over enrolled in school,"3,059",100.0
68,"Nursery school, preschool",103,3.4
69,Kindergarten,238,7.8
70,Elementary school (grades 1-8),"1,274",41.6
71,High school (grades 9-12),940,30.7
72,College or graduate school,504,16.5
73,,,
74,EDUCATIONAL ATTAINMENT,,
75,Population 25 years and over,"9,159",100.0
76,Less than 9th grade,458,5.0
77,"9th to 12th grade, no diploma",622,6.8
78,High school graduate (includes equivalency),"3,308",36.1
79,"Some college, no degree","2,564",28.0
80,Associate's degree,648,7.1
81,Bachelor's degree,881,9.6
