,label,value,percent
0,-- Table/Item --,Value,Percent
1,HOUSING OCCUPANCY,,
2,Total housing units,214,100.0
3,Occupied housing units,96,44.9
4,Vacant housing units,118,55.1
5,,,
6,Homeowner vacancy rate,16.1,
7,Rental vacancy rate,17.9,
8,,,
9,UNITS IN STRUCTURE,,
10,Total housing units,214,100.0
11,"1-unit, detached",145,67.8
12,"1-unit, attached",4,1.9
13,2 units,0,0.0
14,3 or 4 units,0,0.0
15,5 to 9 units,0,0.0
16,10 to 19 units,0,0.0
17,20 or more units,0,0.0
18,Mobile home,65,30.4
19,"Boat, RV, van, etc.",0,0.0
20,,,
21,YEAR STRUCTURE BUILT,,
22,Total housing units,214,100.0
23,Built 2005 or later,0,0.0
24,Built 2000 to 2004,0,0.0
25,Built 1990 to 1999,32,15.0
26,Built 1980 to 1989,32,15.0
27,Built 1970 to 1979,38,17.8
28,Built 1960 to 1969,11,5.1
29,Built 1950 to 1959,28,13.1
30,Built 1940 to 1949,3,1.4
31,Built 1939 or earlier,70,32.7
32,,,
33,ROOMS,,
34,Total housing units,214,100.0
35,1 room,4,1.9
36,2 rooms,14,6.5
37,3 rooms,15,7.0
38,4 rooms,30,14.0
39,5 rooms,94,43.9
40,6 rooms,42,19.6
41,7 rooms,11,5.1
42,8 rooms,0,0.0
43,9 rooms or more,4,1.9
44,Median rooms,5.0,
45,,,
46,BEDROOMS,,
47,Total housing units,214,100.0
48,No bedroom,14,6.5
49,1 bedroom,15,7.0
50,2 bedrooms,66,30.8
51,3 bedrooms,113,52.8
52,4 bedrooms,2,0.9
53,5 or more bedrooms,4,1.9
54,,,
55,HOUSING TENURE,,
56,Occupied housing units,96,100.0
57,Owner-occupied,73,76.0
58,Renter-occupied,23,24.0
59,,,
60,Average household size of owner-occupied unit,1.71,
61,Average household size of renter-occupied unit,2.52,
62,,,
63,YEAR HOUSEHOLDER MOVED INTO UNIT,,
64,Occupied housing units,96,100.0
65,Moved in 2005 or later,25,26.0
66,Moved in 2000 to 2004,26,27.1
67,Moved in 1990 to 1999,18,18.8
68,Moved in 1980 to 1989,16,16.7
69,Moved in 1970 to 1979,7,7.3
70,Moved in 1969 or earlier,4,4.2
71,,,
72,VEHICLES AVAILABLE,,
73,Occupied housing units,96,100.0
74,No vehicles available,0,0.0
75,1 vehicle available,28,29.2
76,2 vehicles available,41,42.7
77,3 or more vehicles available,27,28.1
78,,,
79,HOUSE HEATING FUEL,,
80,Occupied housing units,96,100.0
81,Utility gas,0,0.0
82,"Bottled, tank, or LP gas",21,21.9
83,Electricity,11,11.5
84,"Fuel oil, kerosene, etc.",6,6.3
85,Coal or coke,0,0.0
86,Wood,54,56.3
87,Solar energy,0,0.0
88,Other fuel,4,4.2
89,No fuel used,0,0.0
90,,,
91,SELECTED CHARACTERISTICS,,
92,Occupied housing units,96,100.0
93,Lacking complete plumbing facilities,0,0.0
94,Lacking complete kitchen facilities,0,0.0
95,No telephone service available,4,4.2
96,,,
97,OCCUPANTS PER ROOM,,
98,Occupied housing units,96,100.0
99,1.00 or less,96,100.0
100,1.01 to 1.50,0,0.0
101,1.51 or more,0,0.0
102,,,
103,VALUE,,
104,Owner-occupied units,73,100.0
105,"Less than $50,000",10,13.7
106,"$50,000 to $99,999",13,17.8
107,"$100,000 to $149,999",18,24.7
108,"$150,000 to $199,999",13,17.8
109,"$200,000 to $299,999",19,26.0
110,"$300,000 to $499,999",0,0.0
111,"$500,000 to $999,999",0,0.0
112,"$1,000,000 or more",0,0.0
113,Median (dollars),"124,100",
114,,,
115,MORTGAGE STATUS,,
116,Owner-occupied units,73,100.0
117,Housing units with a mortgage,20,27.4
118,Housing units without a mortgage,53,72.6
119,,,
120,SELECTED MONTHLY OWNER COSTS (SMOC),,
121,Housing units with a mortgage,20,100.0
122,Less than $300,0,0.0
123,$300 to $499,0,0.0
124,$500 to $699,4,20.0
125,$700 to $999,12,60.0
126,"$1,000 to $1,499",4,20.0
127,"$1,500 to $1,999",0,0.0
128,"$2,000 or more",0,0.0
129,Median (dollars),825,
130,,,
131,Housing units without a mortgage,53,100.0
132,Less than $100,4,7.5
133,$100 to $199,3,5.7
134,$200 to $299,20,37.7
135,$300 to $399,8,15.1
136,$400 or more,18,34.0
137,Median (dollars),297,
138,,,
139,SELECTED MONTHLY OWNER COSTS AS PERCENT OF HOUSEHOLD INCOME (SMOCAPI),,
140,Housing units with mortgage (excl units where SMOCAPI cannot be computed),20,100.0
141,Less than 20.0 percent,8,40.0
142,20.0 to 24.9 percent,0,0.0
143,25.0 to 29.9 percent,0,0.0
144,30.0 to 34.9 percent,4,20.0
145,35.0 percent or more,8,40.0
146,,,
147,Not computed,0,0.0
148,,,
149,Housing units without mortgage (excl units where SMOCAPI cannot be computed),53,100.0
150,Less than 10.0 percent,18,34.0
151,10.0 to 14.9 percent,16,30.2
152,15.0 to 19.9 percent,6,11.3
153,20.0 to 24.9 percent,0,0.0
154,25.0 to 29.9 percent,0,0.0
155,30.0 to 34.9 percent,0,0.0
156,35.0 percent or more,13,24.5
157,,,
158,Not computed,0,0.0
159,,,
160,GROSS RENT,,
161,Occupied units paying rent,9,100.0
162,Less than $200,0,0.0
163,$200 to $299,0,0.0
164,$300 to $499,0,0.0
