,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"3,766",100.0
3,In labor force,"2,718",72.2
4,Civilian labor force,"2,718",72.2
5,Employed,"2,488",66.1
6,Unemployed,230,6.1
7,Armed Forces,0,0.0
8,Not in labor force,"1,048",27.8
9,,,
10,Civilian labor force,"2,718",72.2
11,Percent Unemployed,8.5,
12,,,
13,Females 16 years and over,"1,805",47.9
14,In labor force,"1,223",32.5
15,Civilian labor force,"1,223",32.5
16,Employed,"1,077",28.6
17,,,
18,Own children under 6 years,658,17.5
19,All parents in family in labor force,353,9.4
20,,,
21,Own children 6 to 17 years,"1,133",30.1
22,All parents in family in labor force,860,22.8
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"2,349",100.0
26,"Car, truck, or van -- drove alone","1,939",82.5
27,"Car, truck, or van -- carpooled",344,14.6
28,Public transportation (excluding taxicab),44,1.9
29,Walked,0,0.0
30,Other means,0,0.0
31,Worked at home,22,0.9
32,,,
33,Mean travel time to work (minutes),18.4,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"2,488",100.0
37,"Management, professional, and related occupations",363,14.6
38,Service occupations,319,12.8
39,Sales and office occupations,502,20.2
40,"Farming, fishing, and forestry occupations",287,11.5
41,"Construction, extraction, maintenance, and repair occupations",348,14.0
42,"Production, transportation, and material moving occupations",669,26.9
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"2,488",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",378,15.2
47,Construction,196,7.9
48,Manufacturing,505,20.3
49,Wholesale trade,64,2.6
50,Retail trade,410,16.5
51,"Transportation and warehousing, and utilities",130,5.2
52,Information,13,0.5
53,"Finance and insurance, & real estate & rental & leasing",100,4.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",58,2.3
55,Educational services & health care & social assistance,290,11.7
56,"Arts, entertainment & recreation & accommodation & food services",145,5.8
57,"Other services, except public administration",81,3.3
58,Public administration,118,4.7
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"2,488",100.0
62,Private wage and salary workers,"2,215",89.0
63,Government workers,260,10.5
64,Self-employed in own not incorporated business workers,13,0.5
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"1,915",100.0
69,"Less than $10,000",171,8.9
70,"$10,000 to $14,999",42,2.2
71,"$15,000 to $24,999",215,11.2
72,"$25,000 to $34,999",209,10.9
73,"$35,000 to $49,999",604,31.5
74,"$50,000 to $74,999",454,23.7
75,"$75,000 to $99,999",132,6.9
76,"$100,000 to $149,999",73,3.8
77,"$150,000 to $199,999",15,0.8
78,"$200,000 or more",0,0.0
79,Median household income (dollars),"42,362",
80,Mean household income (dollars),"45,338",
81,,,
82,With earnings,"1,664",86.9
83,Mean earnings (dollars),"43,238",
84,With Social Security,433,22.6
85,Mean Social Security income (dollars),"14,304",
86,With retirement income,270,14.1
87,Mean retirement income (dollars),"18,761",
88,,,
89,With Supplemental Security Income,23,1.2
90,Mean Supplemental Security Income (dollars),"9,839",
91,With cash public assistance income,55,2.9
92,Mean cash public assistance income (dollars),"8,182",
93,With Food Stamp/SNAP benefits in the past 12 months,363,19.0
94,,,
95,Families,"1,421",100.0
96,"Less than $10,000",161,11.3
97,"$10,000 to $14,999",11,0.8
98,"$15,000 to $24,999",204,14.4
99,"$25,000 to $34,999",209,14.7
100,"$35,000 to $49,999",342,24.1
101,"$50,000 to $74,999",315,22.2
102,"$75,000 to $99,999",109,7.7
103,"$100,000 to $149,999",55,3.9
104,"$150,000 to $199,999",15,1.1
105,"$200,000 or more",0,0.0
106,Median family income (dollars),"40,317",
107,Mean family income (dollars),"44,303",
108,,,
109,Per capita income (dollars),"15,568",
110,,,
111,Nonfamily households,494,34.8
112,Median nonfamily income (dollars),"35,463",
113,Mean nonfamily income (dollars),"40,232",
114,,,
115,Median earnings for workers (dollars),"22,098",
116,"Median earnings for male full-time, year-round workers (dollars)","35,967",
117,"Median earnings for female full-time, year-round workers (dollars)","29,128",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,17.2,
121,With related children under 18 years,25.9,
122,With related children under 5 years only,8.8,
123,Married couple families,14.4,
124,With related children under 18 years,23.3,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",30.9,
127,With related children under 18 years,44.4,
128,With related children under 5 years only,0.0,
129,,,
130,All people,24.3,
131,Under 18 years,35.2,
132,Related children under 18 years,35.2,
133,Related children under 5 years,29.9,
134,Related children 5 to 17 years,37.6,
135,18 years and over,18.9,
136,18 to 64 years,19.2,
137,65 years and over,15.6,
138,People in families,23.1,
139,Unrelated individuals 15 years and over,29.8,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
