,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"1,858",100.0
3,In labor force,"1,225",65.9
4,Civilian labor force,"1,225",65.9
5,Employed,"1,143",61.5
6,Unemployed,82,4.4
7,Armed Forces,0,0.0
8,Not in labor force,633,34.1
9,,,
10,Civilian labor force,"1,225",65.9
11,Percent Unemployed,6.7,
12,,,
13,Females 16 years and over,953,51.3
14,In labor force,566,30.5
15,Civilian labor force,566,30.5
16,Employed,529,28.5
17,,,
18,Own children under 6 years,213,11.5
19,All parents in family in labor force,136,7.3
20,,,
21,Own children 6 to 17 years,411,22.1
22,All parents in family in labor force,281,15.1
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"1,093",100.0
26,"Car, truck, or van -- drove alone",812,74.3
27,"Car, truck, or van -- carpooled",208,19.0
28,Public transportation (excluding taxicab),0,0.0
29,Walked,14,1.3
30,Other means,9,0.8
31,Worked at home,50,4.6
32,,,
33,Mean travel time to work (minutes),22.9,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"1,143",100.0
37,"Management, professional, and related occupations",253,22.1
38,Service occupations,208,18.2
39,Sales and office occupations,241,21.1
40,"Farming, fishing, and forestry occupations",64,5.6
41,"Construction, extraction, maintenance, and repair occupations",169,14.8
42,"Production, transportation, and material moving occupations",208,18.2
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"1,143",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",121,10.6
47,Construction,170,14.9
48,Manufacturing,113,9.9
49,Wholesale trade,22,1.9
50,Retail trade,98,8.6
51,"Transportation and warehousing, and utilities",126,11.0
52,Information,17,1.5
53,"Finance and insurance, & real estate & rental & leasing",52,4.5
54,"Professional, scientific & mgmt, & admin & waste mgmt services",74,6.5
55,Educational services & health care & social assistance,232,20.3
56,"Arts, entertainment & recreation & accommodation & food services",66,5.8
57,"Other services, except public administration",17,1.5
58,Public administration,35,3.1
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"1,143",100.0
62,Private wage and salary workers,752,65.8
63,Government workers,288,25.2
64,Self-employed in own not incorporated business workers,96,8.4
65,Unpaid family workers,7,0.6
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,938,100.0
69,"Less than $10,000",59,6.3
70,"$10,000 to $14,999",37,3.9
71,"$15,000 to $24,999",95,10.1
72,"$25,000 to $34,999",164,17.5
73,"$35,000 to $49,999",167,17.8
74,"$50,000 to $74,999",191,20.4
75,"$75,000 to $99,999",113,12.0
76,"$100,000 to $149,999",85,9.1
77,"$150,000 to $199,999",12,1.3
78,"$200,000 or more",15,1.6
79,Median household income (dollars),"42,768",
80,Mean household income (dollars),"56,665",
81,,,
82,With earnings,742,79.1
83,Mean earnings (dollars),"54,709",
84,With Social Security,317,33.8
85,Mean Social Security income (dollars),"15,131",
86,With retirement income,247,26.3
87,Mean retirement income (dollars),"16,449",
88,,,
89,With Supplemental Security Income,22,2.3
90,Mean Supplemental Security Income (dollars),"8,168",
91,With cash public assistance income,21,2.2
92,Mean cash public assistance income (dollars),"4,971",
93,With Food Stamp/SNAP benefits in the past 12 months,73,7.8
94,,,
95,Families,695,100.0
96,"Less than $10,000",49,7.1
97,"$10,000 to $14,999",21,3.0
98,"$15,000 to $24,999",30,4.3
99,"$25,000 to $34,999",124,17.8
100,"$35,000 to $49,999",131,18.8
101,"$50,000 to $74,999",160,23.0
102,"$75,000 to $99,999",92,13.2
103,"$100,000 to $149,999",76,10.9
104,"$150,000 to $199,999",12,1.7
105,"$200,000 or more",0,0.0
106,Median family income (dollars),"49,107",
107,Mean family income (dollars),"57,068",
108,,,
109,Per capita income (dollars),"21,594",
110,,,
111,Nonfamily households,243,35.0
112,Median nonfamily income (dollars),"32,292",
113,Mean nonfamily income (dollars),"53,054",
114,,,
115,Median earnings for workers (dollars),"26,552",
116,"Median earnings for male full-time, year-round workers (dollars)","42,663",
117,"Median earnings for female full-time, year-round workers (dollars)","29,792",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,10.5,
121,With related children under 18 years,19.6,
122,With related children under 5 years only,32.9,
123,Married couple families,3.6,
124,With related children under 18 years,6.3,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",39.7,
127,With related children under 18 years,41.3,
128,With related children under 5 years only,25.0,
129,,,
130,All people,13.4,
131,Under 18 years,21.6,
132,Related children under 18 years,21.6,
133,Related children under 5 years,28.4,
134,Related children 5 to 17 years,19.0,
135,18 years and over,10.4,
136,18 to 64 years,11.3,
137,65 years and over,7.2,
138,People in families,12.5,
139,Unrelated individuals 15 years and over,19.4,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
