,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"1,494",100.0
3,In labor force,"1,020",68.3
4,Civilian labor force,"1,020",68.3
5,Employed,952,63.7
6,Unemployed,68,4.6
7,Armed Forces,0,0.0
8,Not in labor force,474,31.7
9,,,
10,Civilian labor force,"1,020",68.3
11,Percent Unemployed,6.7,
12,,,
13,Females 16 years and over,702,47.0
14,In labor force,484,32.4
15,Civilian labor force,484,32.4
16,Employed,475,31.8
17,,,
18,Own children under 6 years,101,6.8
19,All parents in family in labor force,36,2.4
20,,,
21,Own children 6 to 17 years,338,22.6
22,All parents in family in labor force,273,18.3
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,942,100.0
26,"Car, truck, or van -- drove alone",612,65.0
27,"Car, truck, or van -- carpooled",131,13.9
28,Public transportation (excluding taxicab),6,0.6
29,Walked,108,11.5
30,Other means,6,0.6
31,Worked at home,79,8.4
32,,,
33,Mean travel time to work (minutes),22.5,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,952,100.0
37,"Management, professional, and related occupations",329,34.6
38,Service occupations,164,17.2
39,Sales and office occupations,168,17.6
40,"Farming, fishing, and forestry occupations",73,7.7
41,"Construction, extraction, maintenance, and repair occupations",68,7.1
42,"Production, transportation, and material moving occupations",150,15.8
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,952,100.0
46,"Agriculture, forestry, fishing and hunting, and mining",211,22.2
47,Construction,48,5.0
48,Manufacturing,74,7.8
49,Wholesale trade,17,1.8
50,Retail trade,78,8.2
51,"Transportation and warehousing, and utilities",39,4.1
52,Information,4,0.4
53,"Finance and insurance, & real estate & rental & leasing",67,7.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",30,3.2
55,Educational services & health care & social assistance,238,25.0
56,"Arts, entertainment & recreation & accommodation & food services",43,4.5
57,"Other services, except public administration",49,5.1
58,Public administration,54,5.7
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,952,100.0
62,Private wage and salary workers,584,61.3
63,Government workers,235,24.7
64,Self-employed in own not incorporated business workers,114,12.0
65,Unpaid family workers,19,2.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,780,100.0
69,"Less than $10,000",51,6.5
70,"$10,000 to $14,999",92,11.8
71,"$15,000 to $24,999",81,10.4
72,"$25,000 to $34,999",45,5.8
73,"$35,000 to $49,999",129,16.5
74,"$50,000 to $74,999",215,27.6
75,"$75,000 to $99,999",67,8.6
76,"$100,000 to $149,999",82,10.5
77,"$150,000 to $199,999",4,0.5
78,"$200,000 or more",14,1.8
79,Median household income (dollars),"48,571",
80,Mean household income (dollars),"57,566",
81,,,
82,With earnings,612,78.5
83,Mean earnings (dollars),"56,093",
84,With Social Security,267,34.2
85,Mean Social Security income (dollars),"14,317",
86,With retirement income,145,18.6
87,Mean retirement income (dollars),"18,995",
88,,,
89,With Supplemental Security Income,19,2.4
90,Mean Supplemental Security Income (dollars),"7,621",
91,With cash public assistance income,8,1.0
92,Mean cash public assistance income (dollars),"2,088",
93,With Food Stamp/SNAP benefits in the past 12 months,73,9.4
94,,,
95,Families,566,100.0
96,"Less than $10,000",30,5.3
97,"$10,000 to $14,999",27,4.8
98,"$15,000 to $24,999",52,9.2
99,"$25,000 to $34,999",52,9.2
100,"$35,000 to $49,999",96,17.0
101,"$50,000 to $74,999",145,25.6
102,"$75,000 to $99,999",64,11.3
103,"$100,000 to $149,999",82,14.5
104,"$150,000 to $199,999",4,0.7
105,"$200,000 or more",14,2.5
106,Median family income (dollars),"53,750",
107,Mean family income (dollars),"66,133",
108,,,
109,Per capita income (dollars),"23,431",
110,,,
111,Nonfamily households,214,37.8
112,Median nonfamily income (dollars),"18,421",
113,Mean nonfamily income (dollars),"30,635",
114,,,
115,Median earnings for workers (dollars),"23,243",
116,"Median earnings for male full-time, year-round workers (dollars)","34,318",
117,"Median earnings for female full-time, year-round workers (dollars)","30,450",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,10.2,
121,With related children under 18 years,23.3,
122,With related children under 5 years only,88.0,
123,Married couple families,7.2,
124,With related children under 18 years,18.0,
125,With related children under 5 years only,81.3,
126,"Families with female householder, no husband present",35.9,
127,With related children under 18 years,44.2,
128,With related children under 5 years only,100.0,
129,,,
130,All people,13.9,
131,Under 18 years,24.7,
132,Related children under 18 years,24.5,
133,Related children under 5 years,48.8,
134,Related children 5 to 17 years,18.9,
135,18 years and over,10.6,
136,18 to 64 years,11.3,
137,65 years and over,7.7,
138,People in families,13.0,
139,Unrelated individuals 15 years and over,19.0,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
