,label,value,percent
0,-- Table/Item --,Value,Percent
1,GENDER AND AGE,,
2,Total population,"47,489",100.0
3,Male,"24,060",50.7
4,Female,"23,429",49.3
5,,,
6,Under 5 years,"2,546",5.4
7,5 to 9 years,"3,349",7.1
8,10 to 14 years,"3,904",8.2
9,15 to 19 years,"3,584",7.5
10,20 to 24 years,"2,395",5.0
11,25 to 34 years,"5,741",12.1
12,35 to 44 years,"6,820",14.4
13,45 to 54 years,"8,503",17.9
14,55 to 59 years,"4,266",9.0
15,60 to 64 years,"2,119",4.5
16,65 to 74 years,"2,300",4.8
17,75 to 84 years,"1,475",3.1
18,85 years and over,487,1.0
19,,,
20,Median age (years),37.9,
21,,,
22,18 years and over,"35,260",74.2
23,21 years and over,"33,682",70.9
24,62 years and over,"5,336",11.2
25,65 years and over,"4,262",9.0
26,,,
27,18 years and over,"35,260",74.2
28,Male,"17,482",36.8
29,Female,"17,778",37.4
30,,,
31,65 years and over,"4,262",9.0
32,Male,"1,865",3.9
33,Female,"2,397",5.0
34,,,
35,RACE,,
36,Total population,"47,489",100.0
37,One race,"46,118",97.1
38,Two or more races,"1,371",2.9
39,,,
40,One race,"46,118",97.1
41,White,"43,119",90.8
42,Black or African American,405,0.9
43,American Indian and Alaska Native,252,0.5
44,Cherokee tribal grouping,0,0.0
45,Chippewa tribal grouping,14,0.0
46,Navajo tribal grouping,0,0.0
47,Sioux tribal grouping,0,0.0
48,Asian,"1,873",3.9
49,Asian Indian,172,0.4
50,Chinese,617,1.3
51,Filipino,182,0.4
52,Japanese,138,0.3
53,Korean,369,0.8
54,Vietnamese,378,0.8
55,Other Asian,17,0.0
56,Native Hawaiian and Other Pacific Islander,63,0.1
57,Native Hawaiian,63,0.1
58,Guamanian or Chamorro,0,0.0
59,Samoan,0,0.0
60,Other Pacific Islander,0,0.0
61,Some other race,406,0.9
62,Two or more races,"1,371",2.9
63,White and Black or African American,98,0.2
64,White and American Indian and Alaska Native,452,1.0
65,White and Asian,350,0.7
66,Black or African American and American Indian and Alaska Native,19,0.0
67,,,
68,Race alone or in combination with one or more other races,,
69,Total population,"47,489",100.0
70,White,"44,465",93.6
71,Black or African American,537,1.1
72,American Indian and Alaska Native,760,1.6
73,Asian,"2,281",4.8
74,Native Hawaiian and Other Pacific Islander,305,0.6
75,Some other race,580,1.2
76,,,
77,HISPANIC OR LATINO AND RACE,,
78,Total population,"47,489",100.0
79,Hispanic or Latino (of any race),"3,005",6.3
80,Mexican,"2,069",4.4
81,Puerto Rican,79,0.2
82,Cuban,116,0.2
83,Other Hispanic or Latino,741,1.6
84,Not Hispanic or Latino,"44,484",93.7
85,White alone,"40,998",86.3
86,Black or African American alone,405,0.9
87,American Indian and Alaska Native alone,43,0.1
88,Asian alone,"1,873",3.9
89,Native Hawaiian and Other Pacific Islander alone,63,0.1
90,Some other race alone,40,0.1
91,Two or more races,"1,062",2.2
92,Two races including Some other race,27,0.1
93,Two races excl Some other race & three or more races,"1,035",2.2
94,,,
95,Total housing units,"19,411",100.0
96,,,
97,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
