,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"4,028",100.0
3,In labor force,"2,418",60.0
4,Civilian labor force,"2,414",59.9
5,Employed,"1,996",49.6
6,Unemployed,418,10.4
7,Armed Forces,4,0.1
8,Not in labor force,"1,610",40.0
9,,,
10,Civilian labor force,"2,414",59.9
11,Percent Unemployed,17.3,
12,,,
13,Females 16 years and over,"2,116",52.5
14,In labor force,"1,139",28.3
15,Civilian labor force,"1,139",28.3
16,Employed,944,23.4
17,,,
18,Own children under 6 years,487,12.1
19,All parents in family in labor force,414,10.3
20,,,
21,Own children 6 to 17 years,802,19.9
22,All parents in family in labor force,633,15.7
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"1,940",100.0
26,"Car, truck, or van -- drove alone","1,494",77.0
27,"Car, truck, or van -- carpooled",208,10.7
28,Public transportation (excluding taxicab),0,0.0
29,Walked,77,4.0
30,Other means,14,0.7
31,Worked at home,147,7.6
32,,,
33,Mean travel time to work (minutes),26.0,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"1,996",100.0
37,"Management, professional, and related occupations",504,25.3
38,Service occupations,602,30.2
39,Sales and office occupations,327,16.4
40,"Farming, fishing, and forestry occupations",60,3.0
41,"Construction, extraction, maintenance, and repair occupations",204,10.2
42,"Production, transportation, and material moving occupations",299,15.0
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"1,996",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",82,4.1
47,Construction,154,7.7
48,Manufacturing,338,16.9
49,Wholesale trade,20,1.0
50,Retail trade,125,6.3
51,"Transportation and warehousing, and utilities",70,3.5
52,Information,14,0.7
53,"Finance and insurance, & real estate & rental & leasing",92,4.6
54,"Professional, scientific & mgmt, & admin & waste mgmt services",75,3.8
55,Educational services & health care & social assistance,335,16.8
56,"Arts, entertainment & recreation & accommodation & food services",441,22.1
57,"Other services, except public administration",66,3.3
58,Public administration,184,9.2
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"1,996",100.0
62,Private wage and salary workers,"1,506",75.5
63,Government workers,345,17.3
64,Self-employed in own not incorporated business workers,145,7.3
65,Unpaid family workers,0,0.0
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"1,907",100.0
69,"Less than $10,000",128,6.7
70,"$10,000 to $14,999",71,3.7
71,"$15,000 to $24,999",409,21.4
72,"$25,000 to $34,999",315,16.5
73,"$35,000 to $49,999",382,20.0
74,"$50,000 to $74,999",218,11.4
75,"$75,000 to $99,999",219,11.5
76,"$100,000 to $149,999",134,7.0
77,"$150,000 to $199,999",11,0.6
78,"$200,000 or more",20,1.0
79,Median household income (dollars),"37,865",
80,Mean household income (dollars),"50,251",
81,,,
82,With earnings,"1,455",76.3
83,Mean earnings (dollars),"41,605",
84,With Social Security,747,39.2
85,Mean Social Security income (dollars),"15,311",
86,With retirement income,432,22.7
87,Mean retirement income (dollars),"15,905",
88,,,
89,With Supplemental Security Income,58,3.0
90,Mean Supplemental Security Income (dollars),"4,259",
91,With cash public assistance income,30,1.6
92,Mean cash public assistance income (dollars),"4,037",
93,With Food Stamp/SNAP benefits in the past 12 months,314,16.5
94,,,
95,Families,"1,334",100.0
96,"Less than $10,000",70,5.2
97,"$10,000 to $14,999",36,2.7
98,"$15,000 to $24,999",213,16.0
99,"$25,000 to $34,999",186,13.9
100,"$35,000 to $49,999",327,24.5
101,"$50,000 to $74,999",193,14.5
102,"$75,000 to $99,999",188,14.1
103,"$100,000 to $149,999",94,7.0
104,"$150,000 to $199,999",11,0.8
105,"$200,000 or more",16,1.2
106,Median family income (dollars),"44,884",
107,Mean family income (dollars),"56,398",
108,,,
109,Per capita income (dollars),"19,095",
110,,,
111,Nonfamily households,573,43.0
112,Median nonfamily income (dollars),"24,246",
113,Mean nonfamily income (dollars),"33,733",
114,,,
115,Median earnings for workers (dollars),"17,768",
116,"Median earnings for male full-time, year-round workers (dollars)","38,039",
117,"Median earnings for female full-time, year-round workers (dollars)","25,833",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,10.2,
121,With related children under 18 years,21.8,
122,With related children under 5 years only,35.9,
123,Married couple families,6.8,
124,With related children under 18 years,16.8,
125,With related children under 5 years only,27.1,
126,"Families with female householder, no husband present",30.0,
127,With related children under 18 years,40.2,
128,With related children under 5 years only,85.0,
129,,,
130,All people,14.1,
131,Under 18 years,24.9,
132,Related children under 18 years,22.0,
133,Related children under 5 years,31.8,
134,Related children 5 to 17 years,17.8,
135,18 years and over,10.2,
136,18 to 64 years,10.8,
137,65 years and over,7.6,
138,People in families,12.3,
139,Unrelated individuals 15 years and over,23.4,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
