,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"8,158",100.0
3,In labor force,"4,705",57.7
4,Civilian labor force,"4,705",57.7
5,Employed,"4,026",49.4
6,Unemployed,679,8.3
7,Armed Forces,0,0.0
8,Not in labor force,"3,453",42.3
9,,,
10,Civilian labor force,"4,705",57.7
11,Percent Unemployed,14.4,
12,,,
13,Females 16 years and over,"4,330",53.1
14,In labor force,"2,215",27.2
15,Civilian labor force,"2,215",27.2
16,Employed,"1,910",23.4
17,,,
18,Own children under 6 years,461,5.7
19,All parents in family in labor force,74,0.9
20,,,
21,Own children 6 to 17 years,"1,819",22.3
22,All parents in family in labor force,814,10.0
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"3,906",100.0
26,"Car, truck, or van -- drove alone","2,982",76.3
27,"Car, truck, or van -- carpooled",610,15.6
28,Public transportation (excluding taxicab),0,0.0
29,Walked,101,2.6
30,Other means,56,1.4
31,Worked at home,157,4.0
32,,,
33,Mean travel time to work (minutes),18.6,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"4,026",100.0
37,"Management, professional, and related occupations",901,22.4
38,Service occupations,736,18.3
39,Sales and office occupations,"1,088",27.0
40,"Farming, fishing, and forestry occupations",23,0.6
41,"Construction, extraction, maintenance, and repair occupations",404,10.0
42,"Production, transportation, and material moving occupations",874,21.7
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"4,026",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",119,3.0
47,Construction,276,6.9
48,Manufacturing,616,15.3
49,Wholesale trade,250,6.2
50,Retail trade,617,15.3
51,"Transportation and warehousing, and utilities",180,4.5
52,Information,15,0.4
53,"Finance and insurance, & real estate & rental & leasing",344,8.5
54,"Professional, scientific & mgmt, & admin & waste mgmt services",158,3.9
55,Educational services & health care & social assistance,909,22.6
56,"Arts, entertainment & recreation & accommodation & food services",225,5.6
57,"Other services, except public administration",181,4.5
58,Public administration,136,3.4
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"4,026",100.0
62,Private wage and salary workers,"3,145",78.1
63,Government workers,597,14.8
64,Self-employed in own not incorporated business workers,259,6.4
65,Unpaid family workers,25,0.6
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"3,989",100.0
69,"Less than $10,000",220,5.5
70,"$10,000 to $14,999",358,9.0
71,"$15,000 to $24,999",275,6.9
72,"$25,000 to $34,999",621,15.6
73,"$35,000 to $49,999",956,24.0
74,"$50,000 to $74,999",676,16.9
75,"$75,000 to $99,999",584,14.6
76,"$100,000 to $149,999",164,4.1
77,"$150,000 to $199,999",135,3.4
78,"$200,000 or more",0,0.0
79,Median household income (dollars),"41,679",
80,Mean household income (dollars),"51,279",
81,,,
82,With earnings,"3,103",77.8
83,Mean earnings (dollars),"46,681",
84,With Social Security,"1,532",38.4
85,Mean Social Security income (dollars),"14,340",
86,With retirement income,"1,041",26.1
87,Mean retirement income (dollars),"20,482",
88,,,
89,With Supplemental Security Income,187,4.7
90,Mean Supplemental Security Income (dollars),"8,789",
91,With cash public assistance income,55,1.4
92,Mean cash public assistance income (dollars),"2,051",
93,With Food Stamp/SNAP benefits in the past 12 months,537,13.5
94,,,
95,Families,"2,721",100.0
96,"Less than $10,000",152,5.6
97,"$10,000 to $14,999",53,1.9
98,"$15,000 to $24,999",192,7.1
99,"$25,000 to $34,999",339,12.5
100,"$35,000 to $49,999",595,21.9
101,"$50,000 to $74,999",590,21.7
102,"$75,000 to $99,999",552,20.3
103,"$100,000 to $149,999",143,5.3
104,"$150,000 to $199,999",105,3.9
105,"$200,000 or more",0,0.0
106,Median family income (dollars),"52,379",
107,Mean family income (dollars),"58,672",
108,,,
109,Per capita income (dollars),"20,461",
110,,,
111,Nonfamily households,"1,268",46.6
112,Median nonfamily income (dollars),"29,879",
113,Mean nonfamily income (dollars),"33,201",
114,,,
115,Median earnings for workers (dollars),"24,039",
116,"Median earnings for male full-time, year-round workers (dollars)","39,184",
117,"Median earnings for female full-time, year-round workers (dollars)","26,740",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,10.1,
121,With related children under 18 years,20.6,
122,With related children under 5 years only,0.0,
123,Married couple families,3.7,
124,With related children under 18 years,7.9,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",46.3,
127,With related children under 18 years,61.1,
128,With related children under 5 years only,0.0,
129,,,
130,All people,13.8,
131,Under 18 years,23.6,
132,Related children under 18 years,23.6,
133,Related children under 5 years,29.5,
134,Related children 5 to 17 years,22.5,
135,18 years and over,10.7,
136,18 to 64 years,11.9,
137,65 years and over,6.3,
138,People in families,12.3,
139,Unrelated individuals 15 years and over,21.2,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
