,label,value,percent
0,-- Table/Item --,Value,Percent
1,EMPLOYMENT STATUS,,
2,Population 16 years and over,"5,176",100.0
3,In labor force,"3,542",68.4
4,Civilian labor force,"3,542",68.4
5,Employed,"3,176",61.4
6,Unemployed,366,7.1
7,Armed Forces,0,0.0
8,Not in labor force,"1,634",31.6
9,,,
10,Civilian labor force,"3,542",68.4
11,Percent Unemployed,10.3,
12,,,
13,Females 16 years and over,"2,608",50.4
14,In labor force,"1,504",29.1
15,Civilian labor force,"1,504",29.1
16,Employed,"1,378",26.6
17,,,
18,Own children under 6 years,341,6.6
19,All parents in family in labor force,99,1.9
20,,,
21,Own children 6 to 17 years,"1,424",27.5
22,All parents in family in labor force,878,17.0
23,,,
24,COMMUTING TO WORK,,
25,Workers 16 years and over,"3,035",100.0
26,"Car, truck, or van -- drove alone","2,373",78.2
27,"Car, truck, or van -- carpooled",325,10.7
28,Public transportation (excluding taxicab),0,0.0
29,Walked,108,3.6
30,Other means,39,1.3
31,Worked at home,190,6.3
32,,,
33,Mean travel time to work (minutes),32.1,
34,,,
35,OCCUPATION,,
36,Civilian employed population 16 years and over,"3,176",100.0
37,"Management, professional, and related occupations","1,018",32.1
38,Service occupations,453,14.3
39,Sales and office occupations,772,24.3
40,"Farming, fishing, and forestry occupations",24,0.8
41,"Construction, extraction, maintenance, and repair occupations",294,9.3
42,"Production, transportation, and material moving occupations",615,19.4
43,,,
44,INDUSTRY,,
45,Civilian employed population 16 years and over,"3,176",100.0
46,"Agriculture, forestry, fishing and hunting, and mining",163,5.1
47,Construction,256,8.1
48,Manufacturing,681,21.4
49,Wholesale trade,119,3.7
50,Retail trade,367,11.6
51,"Transportation and warehousing, and utilities",173,5.4
52,Information,50,1.6
53,"Finance and insurance, & real estate & rental & leasing",126,4.0
54,"Professional, scientific & mgmt, & admin & waste mgmt services",99,3.1
55,Educational services & health care & social assistance,733,23.1
56,"Arts, entertainment & recreation & accommodation & food services",210,6.6
57,"Other services, except public administration",90,2.8
58,Public administration,109,3.4
59,,,
60,CLASS OF WORKER,,
61,Civilian employed population 16 years and over,"3,176",100.0
62,Private wage and salary workers,"2,541",80.0
63,Government workers,388,12.2
64,Self-employed in own not incorporated business workers,234,7.4
65,Unpaid family workers,13,0.4
66,,,
67,INCOME AND BENEFITS (IN 2009 INFLATION-ADJUSTED DOLLARS),,
68,Total households,"2,228",100.0
69,"Less than $10,000",60,2.7
70,"$10,000 to $14,999",96,4.3
71,"$15,000 to $24,999",175,7.9
72,"$25,000 to $34,999",187,8.4
73,"$35,000 to $49,999",343,15.4
74,"$50,000 to $74,999",515,23.1
75,"$75,000 to $99,999",441,19.8
76,"$100,000 to $149,999",220,9.9
77,"$150,000 to $199,999",129,5.8
78,"$200,000 or more",62,2.8
79,Median household income (dollars),"61,408",
80,Mean household income (dollars),"74,258",
81,,,
82,With earnings,"1,866",83.8
83,Mean earnings (dollars),"73,983",
84,With Social Security,585,26.3
85,Mean Social Security income (dollars),"15,245",
86,With retirement income,400,18.0
87,Mean retirement income (dollars),"21,795",
88,,,
89,With Supplemental Security Income,25,1.1
90,Mean Supplemental Security Income (dollars),"6,016",
91,With cash public assistance income,63,2.8
92,Mean cash public assistance income (dollars),"6,240",
93,With Food Stamp/SNAP benefits in the past 12 months,199,8.9
94,,,
95,Families,"1,814",100.0
96,"Less than $10,000",45,2.5
97,"$10,000 to $14,999",30,1.7
98,"$15,000 to $24,999",132,7.3
99,"$25,000 to $34,999",154,8.5
100,"$35,000 to $49,999",248,13.7
101,"$50,000 to $74,999",419,23.1
102,"$75,000 to $99,999",414,22.8
103,"$100,000 to $149,999",199,11.0
104,"$150,000 to $199,999",111,6.1
105,"$200,000 or more",62,3.4
106,Median family income (dollars),"68,345",
107,Mean family income (dollars),"80,308",
108,,,
109,Per capita income (dollars),"25,315",
110,,,
111,Nonfamily households,414,22.8
112,Median nonfamily income (dollars),"40,227",
113,Mean nonfamily income (dollars),"43,162",
114,,,
115,Median earnings for workers (dollars),"30,795",
116,"Median earnings for male full-time, year-round workers (dollars)","45,000",
117,"Median earnings for female full-time, year-round workers (dollars)","40,511",
118,,,
119,PERCENT FAMILIES & PEOPLE WITH INCOME IN PAST 12 MO BELOW POVERTY LEVEL,,
120,All families,4.6,
121,With related children under 18 years,6.5,
122,With related children under 5 years only,0.0,
123,Married couple families,3.4,
124,With related children under 18 years,4.0,
125,With related children under 5 years only,0.0,
126,"Families with female householder, no husband present",12.5,
127,With related children under 18 years,16.0,
128,With related children under 5 years only,0.0,
129,,,
130,All people,6.4,
131,Under 18 years,7.5,
132,Related children under 18 years,7.5,
133,Related children under 5 years,0.0,
134,Related children 5 to 17 years,8.8,
135,18 years and over,6.0,
136,18 to 64 years,6.3,
137,65 years and over,3.9,
138,People in families,4.8,
139,Unrelated individuals 15 years and over,21.0,
140,,,
141,Developed by ProximityOne; Census Bureau ACS 2009 Estimates,,
